file,col,n,nrows,ncols,status,best_def,best_resid,best_form,d_PAIR,d_PAIRABS,d_PAIRPP,d_GRPMAX,deff,form,tol,is_metric
2026-09-04_earnings-season-avoidance_cloud.walkforward.csv,regret,12,12,11,REPRODUCED,PAIR,1.1102230246251565e-16,OOS_Sharpe - best_OOS_in_pool,1.1102230246251565e-16,1.1102230246251565e-16,0.41958279272626964,0.0545857036762168,PAIR,OOS_Sharpe - best_OOS_in_pool,1e-12,True
2026-09-04_is-window-has-no-crash_C.selections.csv,regret,36,36,11,UNREPRODUCED,GRPMAX,0.0993574484680638,vs_default - max(vs_default|WHOLE),0.1528094575596835,0.14722504808904338,0.16328003357128917,0.0993574484680638,,,,True
2026-09-04_selectability-pre-test_cloud.cells.csv,regret,22,22,16,REPRODUCED,PAIR,2.220446049250313e-16,R0_OOS - best_OOS,2.220446049250313e-16,2.220446049250313e-16,0.31045648782273005,0.16895013312039694,PAIR,R0_OOS - best_OOS,1e-12,True
2026-09-05_2011-the-opposite-outlier_C.l2o.csv,regret,1232,1232,14,UNREPRODUCED,GRPMAX,0.21917325286723893,max(OOS_Sharpe|universe|grid|cost_bps|window|years|pick|agree) - OOS_Sharpe,0.22194122479233513,0.22194122479233513,0.22194122479233247,0.21917325286723893,,,,True
2026-09-05_2011-the-opposite-outlier_C.recut.csv,regret,15,15,5,UNREPRODUCED,GRPMAX,0.01500440008304766,max(OOS_Sharpe|WHOLE) - OOS_Sharpe,0.045111064204059304,0.045111064204059304,0.045111064204039764,0.01500440008304766,,,,True
2026-09-05_2011-the-opposite-outlier_C.yearsplit.csv,regret_keep,8,8,14,UNREPRODUCED,GRPMAX,0.0178603483111761,max(dOOS|WHOLE) - dOOS,0.021818892851570126,0.021818892851570126,0.02181889284997851,0.0178603483111761,,,,True
2026-09-05_2011-the-opposite-outlier_C.yearsplit.csv,regret_drop,8,8,14,UNREPRODUCED,GRPMAX,0.01644194748855942,max(OOS_drop|WHOLE) - OOS_drop,0.02181889285159433,0.02181889285159433,0.028317581109149614,0.01644194748855942,,,,True
2026-09-05_2011-the-opposite-outlier_C.yearsplit.csv,dRegret,8,8,14,REPRODUCED,PAIR,4.440892098500626e-16,OOS_drop - OOS_keep,4.440892098500626e-16,4.440892098500626e-16,0.010457232792759896,0.0053769453630348,PAIR,OOS_drop - OOS_keep,1e-12,True
2026-09-05_V1u-small-negative-price_cloud.walkforward.csv,regret,2,2,18,REPRODUCED,PAIR,0.0,cost - cost,0.0,0.0,0.0,0.0,PAIR,cost - cost,EXACT,True
2026-09-05_cagr-floor-constrained-selector_cloud.picks.csv,regret,176,176,12,UNREPRODUCED,GRPMAX,0.1347221163812043,CAGR - max(CAGR|WHOLE),0.19222887818281362,0.144824706934879,0.22194122479232414,0.1347221163812043,,,,True
2026-09-05_crisis-beta-as-the-pre-registrable-selector_C.picks.csv,regret,484,484,15,UNREPRODUCED,PAIRABS,0.27371225715901354,|CAGR| - |spy_OOS_MaxDD|,0.3213816422566853,0.27371225715901354,0.5770916939990656,0.358948990861072,,,,True
2026-09-05_crisis-depth-as-the-price-denominator_B.walkforward.csv,S1_regret,17,18,22,UNREPRODUCED,PAIR,0.6336304467113878,v1_Sharpe - S1_OOS_CAGR,0.6336304467113878,0.6336304467113878,1.2491901512206027,1.0216753849434723,,,,True
2026-09-05_crisis-depth-as-the-price-denominator_B.walkforward.csv,Sdepth_regret,18,18,22,UNREPRODUCED,PAIR,0.5794293217581894,v1_Sharpe - v1_CAGR,0.5794293217581894,0.5794293217581894,1.2491901512206027,0.8987937955354695,,,,True
2026-09-05_defensive-overlays-are-rule-8-invisible_B.walkforward.csv,regret,132,132,16,UNREPRODUCED,PAIRABS,0.15115798246347728,|CAGR| - |MaxDD|,0.18871480910029814,0.15115798246347728,0.22194122479233247,0.1575602733250141,,,,True
2026-09-05_fixed-gross-S4-blend_cloud.walkforward.csv,regret,120,120,15,REPRODUCED,PAIR,2.220446049250313e-16,OOS_Sharpe - best_OOS,2.220446049250313e-16,2.220446049250313e-16,0.16598153163549512,0.1340035426846486,PAIR,OOS_Sharpe - best_OOS,1e-12,True
2026-09-05_price-list-tier-bar_B.walkforward.csv,S1_regret,17,18,23,UNREPRODUCED,PAIR,0.6336304467113878,v1_Sharpe - S1_OOS_CAGR,0.6336304467113878,0.6336304467113878,1.2491901512206027,1.0216753849434723,,,,True
2026-09-05_price-list-tier-bar_B.walkforward.csv,Stier_regret,16,18,23,UNREPRODUCED,PAIRABS,0.5481926857789836,|Stier_OOSrate| - |S1_OOS_CAGR|,0.6336304467113878,0.5481926857789836,1.3548408339021378,1.0216753849434723,,,,True
2026-09-05_relative-priceability-floor_C.walkforward.csv,regret,104,108,14,UNREPRODUCED,PAIR,3.3218721973240024,OOS_rate - ctl_OOS_MaxDD,3.3218721973240024,3.6812022666479614,6.137223194229335,5.133150782434825,,,,True
2026-09-05_scale-free-as-a-corpus-eligibility-rule_C.walkforward.csv,regret,54,54,16,UNREPRODUCED,GRPMAX,0.1698515262175679,max(OOS_CAGR|WHOLE) - OOS_CAGR,0.17303205008400002,0.18266517588905018,0.33840265823359417,0.1698515262175679,,,,True
2026-09-05_scale-free-as-a-corpus-eligibility-rule_C.wfagg.csv,regret,3,3,16,UNREPRODUCED,PAIRABS,0.021980549042707104,|p_OOS_MaxDD| - |p_OOS_CAGR|,0.044934799604157416,0.021980549042707104,0.09709104057797902,0.091852846927935,,,,True
2026-09-05_scale-free-as-a-corpus-eligibility-rule_C.wfagg.csv,p_regret,3,3,16,UNREPRODUCED,PAIR,0.020714904157243502,p_OOS_CAGR - OOS_CAGR,0.020714904157243502,0.020714904157243502,0.06553530718524936,0.055306089140039,,,,False
2026-09-05_sleeve-with-a-real-diversifier_cloud.walkforward.csv,regret,24,24,9,REPRODUCED,PAIR,2.220446049250313e-16,OOS_Sharpe_at_fstar - best_OOS_in_grid,2.220446049250313e-16,2.220446049250313e-16,0.25364519062189284,0.16500957782650072,PAIR,OOS_Sharpe_at_fstar - best_OOS_in_grid,1e-12,True
2026-09-05_stop-as-negative-insurance_cloud.walkforward.csv,regret,12,12,10,REPRODUCED,PAIR,1.1102230246251565e-16,OOS_Sharpe - ctl_OOS_Sharpe,1.1102230246251565e-16,1.1102230246251565e-16,0.0400438645625556,0.0400438645626106,PAIR,OOS_Sharpe - ctl_OOS_Sharpe,1e-12,True
2026-09-05_threshold-plateaus-are-the-general-case_cloud.plateaus.csv,regret,54,54,22,REPRODUCED,PAIR,4.440892098500626e-16,OOS_best_Sharpe - IS_pick_OOS_Sharpe,4.440892098500626e-16,4.440892098500626e-16,0.25574262071490494,0.09318381315124141,PAIR,OOS_best_Sharpe - IS_pick_OOS_Sharpe,1e-12,True
2026-09-05_which-asset-carries-S4_C.walkforward.csv,regret,8,8,12,REPRODUCED,PAIR,2.220446049250313e-16,OOS_Sharpe - best_OOS,2.220446049250313e-16,2.220446049250313e-16,0.2617602142944486,0.10329201773773479,PAIR,OOS_Sharpe - best_OOS,1e-12,True
