claimset,n_claimcells,n_distinct,survive_BOTH,n_survive_BOTH,survive_ROT,n_survive_ROT,survive_FIX,n_survive_FIX,mean_cert_legs_BOTH,p4b_here,survive_BOTH_nondegen,n_nondegen,n_p4b,survive_BOTH_p4b
STRICT,96,18,0.9444444444444444,17,0.9444444444444444,17,0.9444444444444444,17,2.111111111111111,0.2777777777777778,1.0,14,5,0.8
WIDE,1058,88,0.9772727272727273,86,0.9772727272727273,86,0.9772727272727273,86,2.6136363636363638,0.11363636363636363,1.0,70,10,0.8
STRUCT,10,10,0.8,8,0.8,8,0.8,8,1.4,1.0,1.0,8,10,0.8
