date,idea,MaxDD,verdict,script,monthly_strict,monthly_wide,dd_margin_pp
2026-09-03,dual-momentum-classes K=1 monthly,-0.33799999999999997,KILL,2026-09-03_dual-momentum-classes.py,True,True,-13.569658829961039
2026-09-03,dual-momentum-classes K=1 weekly,-0.361,KILL,2026-09-03_dual-momentum-classes.py,False,False,-15.869658829961041
2026-09-03,dual-momentum-classes K=2 monthly,-0.24100000000000002,KILL,2026-09-03_dual-momentum-classes.py,True,True,-3.869658829961045
2026-09-03,dual-momentum-classes K=2 weekly,-0.257,KILL,2026-09-03_dual-momentum-classes.py,False,False,-5.469658829961044
2026-09-03,inv-vol 75% gross,-0.14400000000000002,KILL,research/backtests/2026-09-03_inverse-vol-weights.py,False,False,5.830341170038955
2026-09-03,inv-vol 100% gross,-0.191,KILL,research/backtests/2026-09-03_inverse-vol-weights.py,False,False,1.1303411700389565
2026-09-03,equal-weight 100% gross (diagnostic),-0.182,KILL,research/backtests/2026-09-03_inverse-vol-weights.py,False,False,2.030341170038957
2026-09-03,vol-target 10%,-0.149,KILL,research/backtests/2026-09-03_vol-target.py,False,False,5.330341170038958
2026-09-03,vol-target 14%,-0.153,KILL,research/backtests/2026-09-03_vol-target.py,False,False,4.930341170038957
2026-09-03,"broad-top10 100% gross (N=10,w=10%)",-0.221,KILL,research/backtests/2026-09-03_broad-momentum-top10.py,False,False,-1.8696588299610433
2026-09-03,"broad-top20 100% gross (N=20,w=5%)",-0.22899999999999998,KILL,research/backtests/2026-09-03_broad-momentum-top10.py,False,False,-2.6696588299610413
2026-09-03,"broad-top10 75% gross (N=10,w=7.5%)",-0.168,KILL,research/backtests/2026-09-03_broad-momentum-top10.py,False,False,3.4303411700389557
2026-09-03,"RULES v1 LIVE (standard universe) — reference, not a new idea",-0.138,—,research/backtests/2026-09-03_broad-momentum-top10.py,False,False,6.430341170038956
2026-09-03,macro-trend-ensemble A (MA votes),-0.092,KEEP-candidate,research/backtests/2026-09-03_macro-trend-ensemble.py,False,False,11.030341170038957
2026-09-03,macro-trend-ensemble B (momentum votes),-0.10099999999999999,KEEP-candidate,research/backtests/2026-09-03_macro-trend-ensemble.py,False,False,10.130341170038957
2026-09-03,A full-exposure 100% gross,-0.182,KILL,2026-09-03_full-exposure-v1.py,False,False,2.030341170038957
2026-09-03,B full-exposure + SPY-200d half,-0.17600000000000002,KILL,2026-09-03_full-exposure-v1.py,False,False,2.630341170038955
2026-09-03,C full-exposure + SPY-200d cash,-0.17600000000000002,KILL,2026-09-03_full-exposure-v1.py,False,False,2.630341170038955
2026-09-03,D full-exposure no per-name 200d,-0.204,KILL,2026-09-03_full-exposure-v1.py,False,False,-0.16965882996104187
2026-09-03,"D2 no 200d gate, tilt kept (diagnostic)",-0.182,KILL,2026-09-03_full-exposure-v1.py,False,False,2.030341170038957
2026-09-03,core-plus-sleeve A (60% SPY>200d + 40% sleeve),-0.147,KILL,research/backtests/2026-09-03_core-plus-trend-sleeve.py,False,False,5.530341170038958
2026-09-03,core-plus-sleeve B (60% QQQ>200d + 40% sleeve),-0.18899999999999997,KILL,research/backtests/2026-09-03_core-plus-trend-sleeve.py,False,False,1.3303411700389596
2026-09-03,core-plus-sleeve C (50% SPY>200d + 50% sleeve),-0.13,KEEP-candidate,research/backtests/2026-09-03_core-plus-trend-sleeve.py,False,False,7.230341170038956
2026-09-03,core-plus-sleeve D (60% SPY no filter + 40% sleeve),-0.24100000000000002,KILL,research/backtests/2026-09-03_core-plus-trend-sleeve.py,False,False,-3.869658829961045
2026-09-03,"qqq-trend-only A (QQQ/SHY, 200d, weekly)",-0.275,KILL,research/backtests/2026-09-03_qqq-trend-only.py,False,False,-7.269658829961045
2026-09-03,"qqq-trend-only B (A + 12-1 mom>0, weekly)",-0.28300000000000003,KILL,research/backtests/2026-09-03_qqq-trend-only.py,False,False,-8.069658829961046
2026-09-03,"qqq-trend-only C (50/50 QQQ+SPY core, weekly)",-0.265,KILL,research/backtests/2026-09-03_qqq-trend-only.py,False,False,-6.2696588299610445
2026-09-03,"qqq-trend-only D (QQQ/SHY, 200d, monthly)",-0.28600000000000003,KILL,research/backtests/2026-09-03_qqq-trend-only.py,True,True,-8.369658829961047
2026*,+10.1%,-0.002,+15.7%,+15.7%,False,False,20.030341170038955
2026-09-03,A equal-weight all eligible 75% gross,-0.159,KILL 4a / PARK 4b,2026-09-03_composite-vs-equal-weight.py,False,False,4.330341170038957
2026-09-03,B equal-weight all eligible 100% gross,-0.209,KILL 4a / PARK 4b,2026-09-03_composite-vs-equal-weight.py,False,False,-0.6696588299610423
2026-09-03,C v1 top-5 by score 75% (= baseline),-0.138,KILL (is the baseline),2026-09-03_composite-vs-equal-weight.py,False,False,6.430341170038956
2026-09-03,D BOTTOM-5 by score 75%,-0.239,KILL,2026-09-03_composite-vs-equal-weight.py,False,False,-3.669658829961042
2026-09-03,E top-5 by 12-1 momentum only 75%,-0.24100000000000002,KILL 4a / PARK 4b,2026-09-03_composite-vs-equal-weight.py,False,False,-3.869658829961045
2026-09-03,"C2 top-5 by composite, no vol-scaling (diagnostic)",-0.21600000000000003,KILL,2026-09-03_composite-vs-equal-weight.py,False,False,-1.3696588299610457
2026-09-04,no-vol-scaling ON  n=3 gross=75%,-0.136,KILL,2026-09-04_no-vol-scaling.py,False,False,6.630341170038956
2026-09-04,no-vol-scaling ON  n=3 gross=100%,-0.179,KILL,2026-09-04_no-vol-scaling.py,False,False,2.330341170038958
2026-09-04,no-vol-scaling ON  n=5 gross=75% (= baseline),-0.138,KILL (is the baseline),2026-09-04_no-vol-scaling.py,False,False,6.430341170038956
2026-09-04,no-vol-scaling ON  n=5 gross=100%,-0.182,KILL,2026-09-04_no-vol-scaling.py,False,False,2.030341170038957
2026-09-04,no-vol-scaling ON  n=8 gross=75%,-0.16399999999999998,KILL,2026-09-04_no-vol-scaling.py,False,False,3.8303411700389587
2026-09-04,no-vol-scaling ON  n=8 gross=100%,-0.215,KILL,2026-09-04_no-vol-scaling.py,False,False,-1.2696588299610427
2026-09-04,no-vol-scaling OFF n=3 gross=75%,-0.258,KILL (DD),2026-09-04_no-vol-scaling.py,False,False,-5.569658829961044
2026-09-04,no-vol-scaling OFF n=3 gross=100% (walk-forward pick),-0.331,KILL (DD),2026-09-04_no-vol-scaling.py,False,False,-12.869658829961045
2026-09-04,no-vol-scaling OFF n=5 gross=75%,-0.21600000000000003,KILL (DD),2026-09-04_no-vol-scaling.py,False,False,-1.3696588299610457
2026-09-04,no-vol-scaling OFF n=5 gross=100%,-0.28,KILL (DD),2026-09-04_no-vol-scaling.py,False,False,-7.769658829961045
2026-09-04,no-vol-scaling OFF n=8 gross=75% (nearest miss),-0.179,"KILL 4a / PARK 4b (fails H1 only, 0.92 vs SPY 0.96)",2026-09-04_no-vol-scaling.py,False,False,2.330341170038958
2026-09-04,no-vol-scaling OFF n=8 gross=100%,-0.23399999999999999,KILL (DD),2026-09-04_no-vol-scaling.py,False,False,-3.1696588299610418
2026-09-04,SPY reference on corrected trading-day index,-0.337,—,2026-09-04_no-vol-scaling.py,False,False,-13.469658829961045
