| 2026-09-23 | 2520 name-resample U56 ABS f=0.25 (median of 30 draws, g0.75, 10bps) | 4.3% | 1.39 | -7.0% | 1.37 / 1.44 | 1.21 (1.23/1.19) | 4b-rate 0% KILL | 2026-09-23_name-resample-of-the-candidate-panel_B.py |
| 2026-09-23 | 2520 name-resample U56 ABS f=0.50 (median of 30 draws, g0.75, 10bps) | 7.0% | 1.30 | -8.5% | 1.30 / 1.31 | 1.21 (1.23/1.19) | 4b-rate 0% KILL | 2026-09-23_name-resample-of-the-candidate-panel_B.py |
| 2026-09-23 | 2520 name-resample U56 ABS f=0.75 (median of 30 draws, g0.75, 10bps) | 9.7% | 1.25 | -12.6% | 1.25 / 1.26 | 1.21 (1.23/1.19) | 4b-rate 10% KILL | 2026-09-23_name-resample-of-the-candidate-panel_B.py |
| 2026-09-23 | 2520 name-resample U56 ABS f=1.00 (median of 1 draws, g0.75, 10bps) | 11.8% | 1.27 | -15.0% | 1.30 / 1.25 | 1.21 (1.23/1.19) | 4b-rate 100% KEEP-4b(median draw) | 2026-09-23_name-resample-of-the-candidate-panel_B.py |
| 2026-09-23 | 2520 name-resample U56 SCALED f=0.25 (median of 30 draws, g0.75, 10bps) | 11.9% | 1.16 | -16.0% | 1.18 / 1.15 | 1.21 (1.23/1.19) | 4b-rate 70% KEEP-4b(median draw) | 2026-09-23_name-resample-of-the-candidate-panel_B.py |
| 2026-09-23 | 2520 name-resample U56 SCALED f=0.50 (median of 30 draws, g0.75, 10bps) | 11.8% | 1.22 | -14.8% | 1.24 / 1.21 | 1.21 (1.23/1.19) | 4b-rate 77% KEEP-4b(median draw) | 2026-09-23_name-resample-of-the-candidate-panel_B.py |
| 2026-09-23 | 2520 name-resample U56 SCALED f=0.75 (median of 30 draws, g0.75, 10bps) | 11.7% | 1.25 | -15.0% | 1.27 / 1.24 | 1.21 (1.23/1.19) | 4b-rate 93% KEEP-4b(median draw) | 2026-09-23_name-resample-of-the-candidate-panel_B.py |
| 2026-09-23 | 2520 name-resample U56 SCALED f=1.00 (median of 1 draws, g0.75, 10bps) | 11.8% | 1.27 | -15.0% | 1.30 / 1.25 | 1.21 (1.23/1.19) | 4b-rate 100% KEEP-4b(median draw) | 2026-09-23_name-resample-of-the-candidate-panel_B.py |
| 2026-09-23 | 2520 name-resample B136 ABS f=0.25 (median of 30 draws, g0.75, 10bps) | 7.4% | 1.13 | -11.5% | 1.22 / 1.04 | 1.10 (1.23/0.97) | 4b-rate 0% KILL | 2026-09-23_name-resample-of-the-candidate-panel_B.py |
| 2026-09-23 | 2520 name-resample B136 ABS f=0.50 (median of 30 draws, g0.75, 10bps) | 11.1% | 1.10 | -16.2% | 1.27 / 0.96 | 1.10 (1.23/0.97) | 4b-rate 73% KEEP-4b(median draw) | 2026-09-23_name-resample-of-the-candidate-panel_B.py |
| 2026-09-23 | 2520 name-resample B136 ABS f=0.75 (median of 30 draws, g0.75, 10bps) | 11.7% | 1.12 | -16.9% | 1.25 / 1.00 | 1.10 (1.23/0.97) | 4b-rate 97% KEEP-4b(median draw) | 2026-09-23_name-resample-of-the-candidate-panel_B.py |
| 2026-09-23 | 2520 name-resample B136 ABS f=1.00 (median of 1 draws, g0.75, 10bps) | 11.9% | 1.12 | -17.2% | 1.26 / 0.99 | 1.10 (1.23/0.97) | 4b-rate 100% KEEP-4b(median draw) | 2026-09-23_name-resample-of-the-candidate-panel_B.py |
| 2026-09-23 | 2520 name-resample B136 SCALED f=0.25 (median of 30 draws, g0.75, 10bps) | 11.4% | 1.06 | -18.1% | 1.19 / 0.94 | 1.10 (1.23/0.97) | 4b-rate 63% KEEP-4b(median draw) | 2026-09-23_name-resample-of-the-candidate-panel_B.py |
| 2026-09-23 | 2520 name-resample B136 SCALED f=0.50 (median of 30 draws, g0.75, 10bps) | 11.9% | 1.09 | -17.7% | 1.26 / 0.95 | 1.10 (1.23/0.97) | 4b-rate 90% KEEP-4b(median draw) | 2026-09-23_name-resample-of-the-candidate-panel_B.py |
| 2026-09-23 | 2520 name-resample B136 SCALED f=0.75 (median of 30 draws, g0.75, 10bps) | 12.0% | 1.11 | -17.3% | 1.25 / 0.99 | 1.10 (1.23/0.97) | 4b-rate 97% KEEP-4b(median draw) | 2026-09-23_name-resample-of-the-candidate-panel_B.py |
| 2026-09-23 | 2520 name-resample B136 SCALED f=1.00 (median of 1 draws, g0.75, 10bps) | 11.9% | 1.12 | -17.2% | 1.26 / 0.99 | 1.10 (1.23/0.97) | 4b-rate 100% KEEP-4b(median draw) | 2026-09-23_name-resample-of-the-candidate-panel_B.py |
