lag,outcome,comparable,IS_n,IS_rho,IS_t,OOS_n,OOS_rho,OOS_t,sign_agrees,IS_beats_null,leg,share,acted,cells,core_k,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,CAGR,Sharpe,MaxDD,keep4a,fail4b,keep4b
1,REPRO,YES,312.0,-0.01995035022217457,-0.35133208762565526,350.0,0.042296599050598564,0.7897395631779041,False,False,WF-A,,,,,,,,,,,,,
1,SURVIVE,YES,347.0,-0.3638573361441822,-7.2556938489702745,363.0,-0.07336927091115435,-1.39778339285721,True,True,WF-A,,,,,,,,,,,,,
1,KEEP4B,YES,347.0,0.012143362776361126,0.2255695848384384,363.0,0.004819685778732417,0.09157509341800271,True,False,WF-A,,,,,,,,,,,,,
2,REPRO,YES,312.0,0.02494255449045429,0.43929565996500036,350.0,0.016104129793087556,0.3004576091152347,True,False,WF-A,,,,,,,,,,,,,
2,SURVIVE,YES,347.0,-0.34096844140188987,-6.736919336064649,363.0,-0.2045820074125845,-3.97104808009119,True,True,WF-A,,,,,,,,,,,,,
2,KEEP4B,YES,347.0,0.02376171013994798,0.4414788284307923,363.0,0.09244118820314046,1.763935489693438,True,False,WF-A,,,,,,,,,,,,,
3,REPRO,YES,312.0,-0.014925652986984828,-0.26282251547147023,350.0,0.011097102120386797,0.20702650333712852,False,False,WF-A,,,,,,,,,,,,,
3,SURVIVE,YES,347.0,-0.22725042195367162,-4.334392762165621,363.0,,,False,True,WF-A,,,,,,,,,,,,,
3,KEEP4B,YES,347.0,0.0071499370104482485,0.13280758042253987,363.0,0.07944525835611942,1.5142460920389411,True,False,WF-A,,,,,,,,,,,,,
FWD,REPRO,NO - exposure-truncated,312.0,-0.04014425918296909,-0.7073828448077116,350.0,0.011097102120386797,0.20702650333712852,False,False,WF-A,,,,,,,,,,,,,
FWD,SURVIVE,NO - exposure-truncated,347.0,-0.608216630109293,-14.232217269315772,363.0,-0.5973625968178383,-14.152488593696983,True,True,WF-A,,,,,,,,,,,,,
FWD,KEEP4B,NO - exposure-truncated,347.0,0.048604886542288915,0.903863989951482,363.0,0.07944525835611942,1.5142460920389411,True,False,WF-A,,,,,,,,,,,,,
1,,,,,,,,,,,WF-B_OOS,0.02,6.0,6.0,7.0,0.1304183602428719,1.1601442353926805,-0.18404824280768384,,,,,,
1,,,,,,,,,,,WF-B_OOS,0.05,6.0,6.0,17.0,0.1304183602428719,1.1601442353926805,-0.18404824280768384,,,,,,
1,,,,,,,,,,,WF-B_OOS,0.1,6.0,6.0,35.0,0.1304183602428719,1.1601442353926805,-0.18404824280768384,,,,,,
1,,,,,,,,,,,WF-B_OOS,0.2,6.0,6.0,69.0,0.1304183602428719,1.1601442353926805,-0.18404824280768384,,,,,,
1,,,,,,,,,,,WF-B_OOS,0.25,6.0,6.0,87.0,0.1304183602428719,1.1601442353926805,-0.18404824280768384,,,,,,
2,,,,,,,,,,,WF-B_OOS,0.02,0.0,6.0,7.0,0.09474682024310699,1.278242466157066,-0.12054943679771168,,,,,,
2,,,,,,,,,,,WF-B_OOS,0.05,6.0,6.0,17.0,0.1304183602428719,1.1601442353926805,-0.18404824280768384,,,,,,
2,,,,,,,,,,,WF-B_OOS,0.1,6.0,6.0,35.0,0.1304183602428719,1.1601442353926805,-0.18404824280768384,,,,,,
2,,,,,,,,,,,WF-B_OOS,0.2,6.0,6.0,69.0,0.1304183602428719,1.1601442353926805,-0.18404824280768384,,,,,,
2,,,,,,,,,,,WF-B_OOS,0.25,6.0,6.0,87.0,0.1304183602428719,1.1601442353926805,-0.18404824280768384,,,,,,
3,,,,,,,,,,,WF-B_OOS,0.02,0.0,6.0,7.0,0.09474682024310699,1.278242466157066,-0.12054943679771168,,,,,,
3,,,,,,,,,,,WF-B_OOS,0.05,6.0,6.0,17.0,0.1304183602428719,1.1601442353926805,-0.18404824280768384,,,,,,
3,,,,,,,,,,,WF-B_OOS,0.1,6.0,6.0,35.0,0.1304183602428719,1.1601442353926805,-0.18404824280768384,,,,,,
3,,,,,,,,,,,WF-B_OOS,0.2,6.0,6.0,69.0,0.1304183602428719,1.1601442353926805,-0.18404824280768384,,,,,,
3,,,,,,,,,,,WF-B_OOS,0.25,6.0,6.0,87.0,0.1304183602428719,1.1601442353926805,-0.18404824280768384,,,,,,
FWD,,,,,,,,,,,WF-B_OOS,0.02,0.0,6.0,7.0,0.09474682024310699,1.278242466157066,-0.12054943679771168,,,,,,
FWD,,,,,,,,,,,WF-B_OOS,0.05,6.0,6.0,17.0,0.1304183602428719,1.1601442353926805,-0.18404824280768384,,,,,,
FWD,,,,,,,,,,,WF-B_OOS,0.1,6.0,6.0,35.0,0.1304183602428719,1.1601442353926805,-0.18404824280768384,,,,,,
FWD,,,,,,,,,,,WF-B_OOS,0.2,6.0,6.0,69.0,0.1304183602428719,1.1601442353926805,-0.18404824280768384,,,,,,
FWD,,,,,,,,,,,WF-B_OOS,0.25,6.0,6.0,87.0,0.1304183602428719,1.1601442353926805,-0.18404824280768384,,,,,,
ALWAYS-ACT (control),,,,,,,,,,,WF-B_OOS,,,,,0.1304183602428719,1.1601442353926805,-0.18404824280768384,,,,,,
FULL-STAND-DOWN (control),,,,,,,,,,,WF-B_OOS,,,,,0.09474682024310699,1.2782424661570655,-0.12054943679771168,,,,,,
RULES v2 U56 (live book),,,,,,,,,,,WF-B_OOS,,,,,0.09474682024310699,1.2782424661570655,-0.12054943679771168,,,,,,
SPY,,,,,,,,,,,WF-B_OOS,,,,,0.15331699963496637,0.876714419369064,-0.33717235283398306,,,,,,
1,,,,,,,,,,,WF-B_KEEP,0.02,,,,,,,0.12113190283487385,1.135174391191876,-0.18404824280768384,False,-,True
1,,,,,,,,,,,WF-B_KEEP,0.05,,,,,,,0.12113190283487385,1.135174391191876,-0.18404824280768384,False,-,True
1,,,,,,,,,,,WF-B_KEEP,0.1,,,,,,,0.12113190283487385,1.135174391191876,-0.18404824280768384,False,-,True
1,,,,,,,,,,,WF-B_KEEP,0.2,,,,,,,0.12113190283487385,1.135174391191876,-0.18404824280768384,False,-,True
1,,,,,,,,,,,WF-B_KEEP,0.25,,,,,,,0.12113190283487385,1.135174391191876,-0.18404824280768384,False,-,True
2,,,,,,,,,,,WF-B_KEEP,0.02,,,,,,,0.08628162162824915,1.201840627126638,-0.12054943679771146,False,CAGR,False
2,,,,,,,,,,,WF-B_KEEP,0.05,,,,,,,0.12113190283487385,1.135174391191876,-0.18404824280768384,False,-,True
2,,,,,,,,,,,WF-B_KEEP,0.1,,,,,,,0.12113190283487385,1.135174391191876,-0.18404824280768384,False,-,True
2,,,,,,,,,,,WF-B_KEEP,0.2,,,,,,,0.12113190283487385,1.135174391191876,-0.18404824280768384,False,-,True
2,,,,,,,,,,,WF-B_KEEP,0.25,,,,,,,0.12113190283487385,1.135174391191876,-0.18404824280768384,False,-,True
3,,,,,,,,,,,WF-B_KEEP,0.02,,,,,,,0.08628162162824915,1.201840627126638,-0.12054943679771146,False,CAGR,False
3,,,,,,,,,,,WF-B_KEEP,0.05,,,,,,,0.12113190283487385,1.135174391191876,-0.18404824280768384,False,-,True
3,,,,,,,,,,,WF-B_KEEP,0.1,,,,,,,0.12113190283487385,1.135174391191876,-0.18404824280768384,False,-,True
3,,,,,,,,,,,WF-B_KEEP,0.2,,,,,,,0.12113190283487385,1.135174391191876,-0.18404824280768384,False,-,True
3,,,,,,,,,,,WF-B_KEEP,0.25,,,,,,,0.12113190283487385,1.135174391191876,-0.18404824280768384,False,-,True
FWD,,,,,,,,,,,WF-B_KEEP,0.02,,,,,,,0.08628162162824915,1.201840627126638,-0.12054943679771146,False,CAGR,False
FWD,,,,,,,,,,,WF-B_KEEP,0.05,,,,,,,0.12113190283487385,1.135174391191876,-0.18404824280768384,False,-,True
FWD,,,,,,,,,,,WF-B_KEEP,0.1,,,,,,,0.12113190283487385,1.135174391191876,-0.18404824280768384,False,-,True
FWD,,,,,,,,,,,WF-B_KEEP,0.2,,,,,,,0.12113190283487385,1.135174391191876,-0.18404824280768384,False,-,True
FWD,,,,,,,,,,,WF-B_KEEP,0.25,,,,,,,0.12113190283487385,1.135174391191876,-0.18404824280768384,False,-,True
