m_min,spec,n,R2,resid_sd,b_intercept,b_share,b_logn,b_distinct
8,const,560,1.1102230246251565e-16,3.821318168457185,-6.615457614131983,,,
8,share,560,0.5501312269318124,2.5653399698306663,0.8289429377838462,-10.929513593817036,,
8,logn,560,0.011518064449194121,3.8026501562175627,-8.780522018362204,,0.6777079247018944,
8,distinct,560,0.6370064804498893,2.304365897909467,-11.66635597605307,,,4.460295817392025
8,share+logn,560,0.5501313103823029,2.567641517672423,0.8226307702011928,-10.928892795674779,0.0018434748761225375,
8,share+logn+distinct,560,0.6712309606211118,2.1969853637855588,-7.37758125916017,-0.943997499414554,-1.1570227628991197,4.504920632720349
12,const,560,1.1102230246251565e-16,3.821318168457185,-6.615457614131983,,,
12,share,560,0.5501312269318124,2.5653399698306663,0.8289429377838462,-10.929513593817036,,
12,logn,560,0.011518064449194121,3.8026501562175627,-8.780522018362204,,0.6777079247018944,
12,distinct,560,0.6370064804498893,2.304365897909467,-11.66635597605307,,,4.460295817392025
12,share+logn,560,0.5501313103823029,2.567641517672423,0.8226307702011928,-10.928892795674779,0.0018434748761225375,
12,share+logn+distinct,560,0.6712309606211118,2.1969853637855588,-7.37758125916017,-0.943997499414554,-1.1570227628991197,4.504920632720349
20,const,210,0.0,2.89126843827337,-6.024182920009898,,,
20,share,210,0.4303793812919331,2.187372468551764,-1.7171537647449098,-6.797668042921549,,
20,logn,210,1.5833792205488528e-05,2.8981873243254634,-5.919578955171378,,-0.02683403150209213,
20,distinct,210,0.4492963650008489,2.150744705718508,-10.459286114976475,,,3.1295642656640164
20,share+logn,210,0.43209832668003945,2.189338729781058,-0.6099281964366988,-6.822208095829607,-0.2800476274603199,
20,share+logn+distinct,210,0.4969249273695632,2.065591070759421,-3.997798316205684,-2.6355022558794765,-0.9258827738187095,2.295247663369762
40,const,140,2.220446049250313e-16,2.9246597762027835,-6.133113654481926,,,
40,share,140,0.49197007078499155,2.09212610368997,-1.6515462252220805,-7.085561173030665,,
40,logn,140,0.0035164743321692837,2.9300718539094004,-8.074323221805118,,0.47180791684194884,
40,distinct,140,0.5379896414044532,1.9951201989011156,-11.215101995550608,,,3.417200149463965
40,share+logn,140,0.4919826142034034,2.099721795776434,-1.5331049200833737,-7.088778840834657,-0.028292331473195896,
40,share+logn+distinct,140,0.5734677689486386,1.9310309086286543,-5.324856113230608,-2.8277285934609426,-0.638529212793943,2.425686188573904
