population,n,flips,tie_U,tie_M,true_sign_change,bind_zero,tieU_bind0_agreement
POP_A (216 DG cells),216,28,0,0,28,0,1.0
POP_B (1404 shuffle rows),1404,785,342,0,443,257,0.8326210826210826
