H,N,gate_U56A,gate_B136,gap,ordered
5,5,-0.9254060625776948,-2.2484398636451584,1.3230338010674636,True
5,10,0.9328585461868091,-1.4141566828470342,2.3470152290338433,True
5,20,1.1392317209671923,0.030791534574314383,1.108440186392878,True
5,40,1.9521101356876236,0.5716026858493821,1.3805074498382415,True
21,5,-0.5800555204844571,-2.2431702618775358,1.6631147413930787,True
21,10,0.9529132593797396,-1.4839449894177292,2.436858248797469,True
21,20,0.17110555541192118,-1.3420520645710203,1.5131576199829415,True
21,40,0.1292858924351714,-2.2024973590064056,2.331783251441577,True
126,5,-1.4095124922345992,-2.4714460816468993,1.0619335894123,True
126,10,-0.34722118945123004,-0.3072465173186387,-0.039974672132591316,False
126,20,-0.012274768575126771,-0.6687393573182936,0.6564645887431668,True
126,40,-0.4893288567502707,-1.0674028062733543,0.5780739495230836,True
