Bstar,mn,S,B
0.3,0,0,0
0.31,0,0,0
0.32,0,0,0
0.33,0,0,0
0.34,0,0,0
0.35,0,0,0
0.36,0,0,0
0.37,0,0,0
0.38,0,0,0
0.39,0,0,0
0.4,0,0,0
0.41,0,1,0
0.42,1,3,1
0.43,1,4,1
0.44,1,5,1
0.45,1,5,1
0.46,1,7,1
0.47,1,9,1
0.48,1,11,1
0.49,1,13,1
0.5,3,14,3
0.51,4,15,4
0.52,5,19,5
0.53,5,20,5
0.54,5,25,5
0.55,7,28,7
0.56,11,29,11
0.57,11,34,11
0.58,11,39,11
0.59,14,44,14
0.6,15,47,15
0.61,16,51,16
0.62,17,52,17
0.63,17,55,17
0.64,21,58,21
0.65,25,67,25
0.66,28,68,28
0.67,29,72,29
0.68,30,75,30
0.69,32,75,32
0.7,32,75,32
0.71,34,75,34
0.72,36,77,36
0.73,39,76,39
0.74,42,79,42
0.75,41,78,41
0.76,42,79,42
0.77,41,77,41
0.78,40,75,40
0.79,40,75,40
0.8,40,74,40
0.81,40,69,40
0.82,38,66,38
0.83,35,66,35
0.84,34,65,34
0.85,34,63,34
0.86,34,59,34
0.87,34,55,34
0.88,32,53,32
0.89,31,48,31
0.9,30,47,30
