cadence,SET,boundary_def,chooser,n_fired,d_Sharpe,SE,t,d_MaxDD
QUARTER,ALL4,B_NONE,CH_SUPP_ANCHOR,0,,,,
QUARTER,ALL4,B_NONE,CH_SUPP_INTERIOR,0,,,,
QUARTER,ALL4,B_NONE,CH_ANCHOR,0,,,,
QUARTER,ALL4,B_STRICT,CH_SUPP_ANCHOR,357,0.0017377262400004776,0.04400565316443767,0.03948870463317627,0.0051795415977460455
QUARTER,ALL4,B_STRICT,CH_SUPP_INTERIOR,357,-0.017906841624417927,0.034334430088679806,-0.5215418336103934,0.0044183109084733095
QUARTER,ALL4,B_STRICT,CH_ANCHOR,357,0.0017377262400004776,0.04400565316443767,0.03948870463317627,0.0051795415977460455
QUARTER,ALL4,B_WIDE,CH_SUPP_ANCHOR,511,0.0077674527568714,0.03843994179138128,0.2020672351437577,0.0036050020961320645
QUARTER,ALL4,B_WIDE,CH_SUPP_INTERIOR,511,0.00785149863323992,0.0386623846835007,0.20307848823899818,0.004652217496869328
QUARTER,ALL4,B_WIDE,CH_ANCHOR,511,0.0077674527568714,0.03843994179138128,0.2020672351437577,0.0036050020961320645
QUARTER,NG,B_NONE,CH_SUPP_ANCHOR,0,,,,
QUARTER,NG,B_NONE,CH_SUPP_INTERIOR,0,,,,
QUARTER,NG,B_NONE,CH_ANCHOR,0,,,,
QUARTER,NG,B_STRICT,CH_SUPP_ANCHOR,172,0.0059161825812787585,0.09450858695570738,0.06259941844280723,0.0006382677480637801
QUARTER,NG,B_STRICT,CH_SUPP_INTERIOR,172,-0.03548155181965337,0.07655711537832718,-0.4634651089492064,0.000328204309546706
QUARTER,NG,B_STRICT,CH_ANCHOR,172,0.0059161825812787585,0.09450858695570738,0.06259941844280723,0.0006382677480637801
QUARTER,NG,B_WIDE,CH_SUPP_ANCHOR,323,0.013452814041069313,0.06174306149943793,0.217883819078064,0.0004853465841620732
QUARTER,NG,B_WIDE,CH_SUPP_INTERIOR,323,0.013895537709530708,0.06208730290198856,0.22380643158982602,-0.0002217631230891416
QUARTER,NG,B_WIDE,CH_ANCHOR,323,0.013452814041069313,0.06174306149943793,0.217883819078064,0.0004853465841620732
YEAR,ALL4,B_NONE,CH_SUPP_ANCHOR,0,,,,
YEAR,ALL4,B_NONE,CH_SUPP_INTERIOR,0,,,,
YEAR,ALL4,B_NONE,CH_ANCHOR,0,,,,
YEAR,ALL4,B_STRICT,CH_SUPP_ANCHOR,88,0.012790065962440218,0.0440926106952907,0.2900727754776892,0.011444441163400354
YEAR,ALL4,B_STRICT,CH_SUPP_INTERIOR,88,-0.0035240424872939793,0.02988946251032023,-0.11790250447217639,0.009117488663785788
YEAR,ALL4,B_STRICT,CH_ANCHOR,88,0.012790065962440218,0.0440926106952907,0.2900727754776892,0.011444441163400354
YEAR,ALL4,B_WIDE,CH_SUPP_ANCHOR,127,0.017743204852916222,0.03708826763228977,0.4784047890516364,0.008775164357662766
YEAR,ALL4,B_WIDE,CH_SUPP_INTERIOR,127,0.022313944101297653,0.039901903737063746,0.5592200374282108,0.011371345747479535
YEAR,ALL4,B_WIDE,CH_ANCHOR,127,0.017743204852916222,0.03708826763228977,0.4784047890516364,0.008775164357662766
YEAR,NG,B_NONE,CH_SUPP_ANCHOR,0,,,,
YEAR,NG,B_NONE,CH_SUPP_INTERIOR,0,,,,
YEAR,NG,B_NONE,CH_ANCHOR,0,,,,
YEAR,NG,B_STRICT,CH_SUPP_ANCHOR,45,0.024886113605457956,0.08058548793921204,0.3088163172037907,0.008974346395827826
YEAR,NG,B_STRICT,CH_SUPP_INTERIOR,45,-0.006687255873730701,0.05502783958703152,-0.12152495761993706,0.004541541334845278
YEAR,NG,B_STRICT,CH_ANCHOR,45,0.024886113605457956,0.08058548793921204,0.3088163172037907,0.008974346395827826
YEAR,NG,B_WIDE,CH_SUPP_ANCHOR,82,0.027217243054103595,0.056722075810197205,0.4798351023890176,0.0070794689108806125
YEAR,NG,B_WIDE,CH_SUPP_INTERIOR,82,0.03468093619423767,0.06090124371542414,0.5694618710299706,0.006083163395725245
YEAR,NG,B_WIDE,CH_ANCHOR,82,0.027217243054103595,0.056722075810197205,0.4798351023890176,0.0070794689108806125
