chooser,med_OOS_Sharpe,med_OOS_CAGR,med_OOS_MaxDD,med_adv_vs_default,share_pick_is_default,n_4b_full,n_4b_oos,n_4a,n
C_CALM_Q0990,1.0704820914044362,0.16549012037236321,-0.23057533255310642,-0.017731848181953724,0.25,2,2,0,16
C_CALM_Q0950,1.0704820914044362,0.1565184823602297,-0.23030777090809712,-0.013998271788494998,0.0,2,2,0,16
C_CALM_K0063,1.0695530808226905,0.16483232570846762,-0.22984198631406594,-0.01744429288755006,0.3125,3,3,0,16
C_ISDD,1.0695530808226905,0.15467995194090078,-0.23057533255310642,-0.04237340026299519,0.0,0,0,0,16
C_CALM_Q0900,1.0624635523899366,0.16023726571201902,-0.22984198631406594,-0.0021156958125114755,0.1875,1,1,0,16
C_CALM_Q0500,1.0624635523899366,0.15713759320155107,-0.22413863246018484,-0.0030549553489414016,0.125,2,2,0,16
C_CALM_K0126,1.0622507626045483,0.16541289208880794,-0.2231918661538586,-0.03191941241920382,0.25,2,2,0,16
C_CALM_Q0999,1.0622507626045483,0.16607068675270353,-0.2163443704263352,-0.017731848181953724,0.3125,3,3,0,16
C_CALM_MAXDD,1.0622507626045483,0.16541289208880794,-0.2231918661538586,-0.03191941241920382,0.25,2,2,0,16
C_CALM_K0252,1.0622507626045483,0.16541289208880794,-0.2231918661538586,-0.03191941241920382,0.25,2,2,0,16
C_CALM_K0504,1.0622507626045483,0.16541289208880794,-0.2231918661538586,-0.03191941241920382,0.25,2,2,0,16
C_CALM_Q0750,1.053516002793691,0.15460084765120752,-0.22984198631406594,-0.008056983800503237,0.0625,3,3,0,16
C_ISSHARPE,1.047907620118219,0.1614556240904973,-0.22413863246018484,-0.006999135894247499,0.375,3,3,0,16
C_CALM_K0021,1.0172193744633757,0.16487229134834314,-0.20471795215414385,0.0,0.4375,6,8,0,16
C_ISCAGR,1.0100346106764955,0.16728941006285203,-0.22970122159119932,-0.006999135894247499,0.375,3,3,0,16
