panel,key,dir,m,cost,kind,dSharpe_F,dSharpe_IS
u56,VOL,POS,0.2,10.0,real,0.0004095895816293993,-0.052475351287419536
u56,VOL,POS,0.2,25.0,real,0.004407219635862214,-0.0494860238354099
u56,VOL,POS,0.5,10.0,real,0.004638843288250705,-0.05029198417976555
u56,VOL,POS,0.5,25.0,real,0.007955111028680961,-0.050860638208102826
u56,VOL,POS,1.0,10.0,real,0.00795204757748813,-0.06247513971915142
u56,VOL,POS,1.0,25.0,real,0.002133168016651976,-0.07614189771590796
u56,VOL,NEG,0.2,10.0,real,-0.06001478076815148,-0.02119114478864137
u56,VOL,NEG,0.2,25.0,real,-0.07009036141138558,-0.028929669519316525
u56,VOL,NEG,0.5,10.0,real,-0.11146702930369912,-0.01544925328278679
u56,VOL,NEG,0.5,25.0,real,-0.1435786711734981,-0.041602064790527526
u56,VOL,NEG,1.0,10.0,real,-0.1560495987841637,0.012606909749098283
u56,VOL,NEG,1.0,25.0,real,-0.2297326104467209,-0.04088359928059149
u56,MOM,POS,0.2,10.0,real,-0.03095817696197445,-0.014135308706151872
u56,MOM,POS,0.2,25.0,real,-0.026838348475418772,-0.010929737642669801
u56,MOM,POS,0.5,10.0,real,-0.04295554035945348,0.03733566498179186
u56,MOM,POS,0.5,25.0,real,-0.03557078794027646,0.043291698405649504
u56,MOM,POS,1.0,10.0,real,-0.03126841593699736,0.06557876530736684
u56,MOM,POS,1.0,25.0,real,-0.021687784260419285,0.07209700970348643
u56,MOM,NEG,0.2,10.0,real,-0.023657750817375867,-0.0557715287128181
u56,MOM,NEG,0.2,25.0,real,-0.03378886307588025,-0.06552743501059155
u56,MOM,NEG,0.5,10.0,real,-0.03629985893882792,-0.05489398259361511
u56,MOM,NEG,0.5,25.0,real,-0.082092110174387,-0.09652699169728074
u56,MOM,NEG,1.0,10.0,real,-0.15225916108647775,-0.1811438532357269
u56,MOM,NEG,1.0,25.0,real,-0.27302075120396607,-0.27785124306238596
u56,R6,POS,0.2,10.0,real,-0.010646621828967806,-0.008373198538149329
u56,R6,POS,0.2,25.0,real,-0.009048628112012125,-0.007512782799992235
u56,R6,POS,0.5,10.0,real,-0.019118370876951563,-0.02188641662874058
u56,R6,POS,0.5,25.0,real,-0.018421585687761755,-0.02074569471556209
u56,R6,POS,1.0,10.0,real,-0.032530378134865146,-0.013419150645854083
u56,R6,POS,1.0,25.0,real,-0.03398728386844185,-0.014286362855679191
u56,R6,NEG,0.2,10.0,real,-0.014864060655179978,-0.01580232494846212
u56,R6,NEG,0.2,25.0,real,-0.020298355898771825,-0.02092197777673832
u56,R6,NEG,0.5,10.0,real,-0.06772939688229207,-0.027021075824870566
u56,R6,NEG,0.5,25.0,real,-0.10689375699600978,-0.07239291908620138
u56,R6,NEG,1.0,10.0,real,-0.13968433172755823,-0.1974567452405206
u56,R6,NEG,1.0,25.0,real,-0.31185407420899536,-0.35924629331263414
u56,R3,POS,0.2,10.0,real,-0.04295187466759942,-0.046927708574721505
u56,R3,POS,0.2,25.0,real,-0.053760607114801906,-0.05814145052419306
u56,R3,POS,0.5,10.0,real,-0.02659644067685729,-0.05658521790481896
u56,R3,POS,0.5,25.0,real,-0.047077231518729334,-0.07547487751147364
u56,R3,POS,1.0,10.0,real,-0.04524116331558359,-0.07234235430560854
u56,R3,POS,1.0,25.0,real,-0.07849215370031837,-0.10689105196876991
u56,R3,NEG,0.2,10.0,real,-0.05297718342840274,-0.01221089038582246
u56,R3,NEG,0.2,25.0,real,-0.04684790729259425,-0.007095507961682679
u56,R3,NEG,0.5,10.0,real,-0.0897381078818662,0.007046355333320542
u56,R3,NEG,0.5,25.0,real,-0.09073235560685011,0.00030767922950902804
u56,R3,NEG,1.0,10.0,real,-0.20966562794320542,-0.04375977802595077
u56,R3,NEG,1.0,25.0,real,-0.3268294050991868,-0.15296469724730977
u56,PRICE,POS,0.2,10.0,real,-0.07020025396465068,-0.0965010921334023
