gross,L,cost,dCAGR,dSharpe,dMaxDD,d_ddm,d_cgm,dOOS_Sharpe,pass4b,pass4b_oos
0.75,1,0.0,0.3205677891906511,0.020502657183211426,0.051604147153905267,0.051604147153905267,0.3205677891906511,0.01988602153602148,True,True
0.75,1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
0.75,1,25.0,-0.4792940461488371,-0.03080091635837423,-0.07739335506479206,-0.07739335506479206,-0.4792940461488371,-0.02986703521018308,True,True
0.75,1,50.0,-1.2739806243454277,-0.08224863709940378,-0.20640760885185516,-0.20640760885185516,-1.2739806243454272,-0.07973619276534505,True,True
0.75,2,0.0,0.42806282192642264,0.022868191589126674,-0.9396898314697033,-0.9396898314697033,0.42806282192642264,0.014648832399832612,True,True
0.75,2,10.0,0.10592444021495506,0.0024168068577676838,-0.9454862379209117,-0.9454862379209117,0.10592444021495506,-0.004871199509678181,True,True
0.75,2,25.0,-0.3757098905958989,-0.028310026530987464,-0.9541803467350118,-0.9541803467350118,-0.3757098905958989,-0.034202662623308955,True,True
0.75,2,50.0,-1.1742556030424511,-0.07964206195940782,-0.9686691925054558,-0.9686691925054558,-1.1742556030424511,-0.08321561515777787,True,True
0.75,3,0.0,0.30805940677116617,0.016043015178350606,-0.9333906910066414,-0.9333906910066414,0.30805940677116617,0.012073355606644576,True,True
0.75,3,10.0,-0.016517203420818305,-0.004600179234750534,-0.9418814218617788,-0.9418814218617788,-0.016517203420818305,-0.00782399078976348,True,True
0.75,3,25.0,-0.5017827864691515,-0.03561492665963506,-0.9546162971456829,-0.9546162971456829,-0.5017827864691515,-0.037716832976457226,True,True
0.75,3,50.0,-1.3063114598925285,-0.0874271144083747,-0.9758378335543605,-0.9758378335543605,-1.306311459892528,-0.08765275356706836,True,True
0.75,5,0.0,0.001542302605384016,-0.007741048440207177,-1.445064370682747,-1.445064370682747,0.001542302605384016,-0.006954458570799904,False,False
0.75,5,10.0,-0.3176791869471618,-0.028035844779185526,-1.4665235058744286,-1.4665235058744286,-0.3176791869471618,-0.026371337109565518,False,False
0.75,5,25.0,-0.7949615935302967,-0.058524051151098266,-1.536980361593887,-1.536980361593887,-0.7949615935302967,-0.055545983940232135,False,False
0.75,5,50.0,-1.5863161752962984,-0.10944858632641608,-1.6543696414280662,-1.6543696414280662,-1.586316175296298,-0.10429216430693922,False,False
0.65,1,0.0,0.27400336508924816,0.020610032148084212,0.04622504665355853,0.04622504665355809,0.27400336508924816,0.01999876371351461,True,True
0.65,1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
0.65,1,25.0,-0.4098448068670102,-0.030962183647166963,-0.06985170816898867,-0.06985170816898911,-0.4098448068670102,-0.030036381587077443,True,True
0.65,1,50.0,-1.0898364640378189,-0.08267910885468743,-0.2021109609154137,-0.20211096091541414,-1.0898364640378189,-0.08018827756320501,True,True
0.65,2,0.0,0.378254290662805,0.023847805168952796,-0.8382387560823878,-0.8382387560823883,0.378254290662805,0.015254432314747657,True,True
0.65,2,10.0,0.10270587793430597,0.003274748994397614,-0.8436126512134434,-0.8436126512134434,0.10270587793430597,-0.004378453684007688,True,True
0.65,2,25.0,-0.3094430962798489,-0.027634843038701007,-0.8516730782914372,-0.8516730782914372,-0.3094430962798489,-0.03387940172576731,True,True
0.65,2,50.0,-0.9932394901148944,-0.07927201939745232,-0.8651060151400825,-0.8651060151400829,-0.9932394901148944,-0.08317526217521443,True,True
0.65,3,0.0,0.25498547062123844,0.015805756637194968,-0.8071072014881331,-0.8071072014881331,0.25498547062123844,0.011651914259883211,True,True
0.65,3,10.0,-0.022432031120001028,-0.004950783263349745,-0.8148586960960658,-0.8148586960960662,-0.022432031120001028,-0.008349622996282058,True,True
0.65,3,25.0,-0.4373670677712438,-0.03613588395629641,-0.82648495417742,-0.8264849541774204,-0.4373670677712438,-0.03839907476987592,True,True
0.65,3,50.0,-1.1257603064092292,-0.08823275392496521,-0.8458594276200992,-0.8458594276200992,-1.1257603064092292,-0.08859674987325228,True,True
0.65,5,0.0,0.003462569800238846,-0.007648312514374922,-1.25123247237231,-1.25123247237231,0.003462569800238846,-0.007017099614415656,True,True
0.65,5,10.0,-0.26923991457121765,-0.028031644145919854,-1.2742156626416978,-1.2742156626416978,-0.26923991457121765,-0.026513694366152585,True,True
0.65,5,25.0,-0.6771410230534736,-0.058652810720308146,-1.3379957000102083,-1.3379957000102083,-0.6771410230534736,-0.055808122634740887,True,True
0.65,5,50.0,-1.3539134225303506,-0.10979926946407637,-1.4442634765234885,-1.4442634765234885,-1.3539134225303506,-0.10475441119911189,True,True
