mode,con,bps,panel,band,isSharpe,oCAGR,oSharpe,oMaxDD,spy_oCAGR,spy_oSharpe,spy_oMaxDD,base_oCAGR,base_oSharpe,base_oMaxDD,oos_beats_spy,oos_beats_base,is_live_band,pass4b_full,fail4b
perpanel,DEGROSS,0,U56,0.1,1.1648866618117355,0.0935398400387899,1.23061398035995,-0.12184358718671451,0.153780735432695,0.878646168321868,-0.3371728920067377,0.0950629792087272,1.2816876607860581,-0.12054947359101964,True,False,False,False,CAGR
perpanel,DEGROSS,0,B136,0.1,1.1616135611097458,0.08566941637100522,1.126807784512077,-0.14520587867442114,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.09534818985375493,1.2850848109016457,-0.12054947359101964,True,False,False,False,CAGR
perpanel,DEGROSS,0,SMALL439,0.15,0.7081832389198616,0.049687128264028546,0.6828262549426394,-0.16271068449209336,0.15450723909089636,0.882010501050508,-0.3371728920067377,0.09534818985375493,1.2850848109016457,-0.12054947359101964,False,False,False,False,"H1,H2,OOS,CAGR"
pooled,DEGROSS,0,U56,0.1,1.1648866618117355,0.0935398400387899,1.23061398035995,-0.12184358718671451,0.153780735432695,0.878646168321868,-0.3371728920067377,0.0950629792087272,1.2816876607860581,-0.12054947359101964,True,False,False,False,CAGR
pooled,DEGROSS,0,B136,0.1,1.1616135611097458,0.08566941637100522,1.126807784512077,-0.14520587867442114,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.09534818985375493,1.2850848109016457,-0.12054947359101964,True,False,False,False,CAGR
perpanel,DEGROSS,10,U56,0.1,1.151521872356982,0.09238851047845542,1.216435742956034,-0.12194688947581966,0.153780735432695,0.878646168321868,-0.3371728920067377,0.0950629792087272,1.2816876607860581,-0.12054947359101964,True,False,False,False,CAGR
perpanel,DEGROSS,10,B136,0.1,1.1486078906213602,0.08438394648993253,1.110970831954345,-0.1453321928532194,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.09534818985375493,1.2850848109016457,-0.12054947359101964,True,False,False,False,CAGR
perpanel,DEGROSS,10,SMALL439,0.15,0.689072660062688,0.04804869034952075,0.6620167981109961,-0.16455791459706592,0.15450723909089636,0.882010501050508,-0.3371728920067377,0.09534818985375493,1.2850848109016457,-0.12054947359101964,False,False,False,False,"H1,H2,OOS,CAGR"
pooled,DEGROSS,10,U56,0.1,1.151521872356982,0.09238851047845542,1.216435742956034,-0.12194688947581966,0.153780735432695,0.878646168321868,-0.3371728920067377,0.0950629792087272,1.2816876607860581,-0.12054947359101964,True,False,False,False,CAGR
pooled,DEGROSS,10,B136,0.1,1.1486078906213602,0.08438394648993253,1.110970831954345,-0.1453321928532194,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.09534818985375493,1.2850848109016457,-0.12054947359101964,True,False,False,False,CAGR
perpanel,DEGROSS,25,U56,0.1,1.1314638415581006,0.09066369828489385,1.1951583611212189,-0.12210182975993222,0.153780735432695,0.878646168321868,-0.3371728920067377,0.0950629792087272,1.2816876607860581,-0.12054947359101964,True,False,False,False,CAGR
perpanel,DEGROSS,25,B136,0.1,1.1290917099622406,0.0824584902145491,1.0872071242278143,-0.14552164426036185,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.09534818985375493,1.2850848109016457,-0.12054947359101964,True,False,False,False,CAGR
perpanel,DEGROSS,25,SMALL439,0.15,0.6604110270618816,0.045595717859372664,0.630795960967882,-0.16732126208563092,0.15450723909089636,0.882010501050508,-0.3371728920067377,0.09534818985375493,1.2850848109016457,-0.12054947359101964,False,False,False,False,"H1,H2,OOS,CAGR"
pooled,DEGROSS,25,U56,0.1,1.1314638415581006,0.09066369828489385,1.1951583611212189,-0.12210182975993222,0.153780735432695,0.878646168321868,-0.3371728920067377,0.0950629792087272,1.2816876607860581,-0.12054947359101964,True,False,False,False,CAGR
pooled,DEGROSS,25,B136,0.1,1.1290917099622406,0.0824584902145491,1.0872071242278143,-0.14552164426036185,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.09534818985375493,1.2850848109016457,-0.12054947359101964,True,False,False,False,CAGR
perpanel,DEGROSS,50,U56,0.1,1.0980072126083265,0.08779482090577062,1.1596718442269023,-0.12236002850272643,0.153780735432695,0.878646168321868,-0.3371728920067377,0.0950629792087272,1.2816876607860581,-0.12054947359101964,True,False,False,False,CAGR
perpanel,DEGROSS,50,B136,0.1,1.096545971459018,0.07925671239447674,1.0475820713876056,-0.14583734364504508,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.09534818985375493,1.2850848109016457,-0.12054947359101964,True,False,False,False,CAGR
perpanel,DEGROSS,50,SMALL439,0.15,0.6126562049868649,0.041519891059348835,0.5787477520309441,-0.17190691823000548,0.15450723909089636,0.882010501050508,-0.3371728920067377,0.09534818985375493,1.2850848109016457,-0.12054947359101964,False,False,False,False,"H1,H2,OOS,CAGR"
pooled,DEGROSS,50,U56,0.1,1.0980072126083265,0.08779482090577062,1.1596718442269023,-0.12236002850272643,0.153780735432695,0.878646168321868,-0.3371728920067377,0.0950629792087272,1.2816876607860581,-0.12054947359101964,True,False,False,False,CAGR
pooled,DEGROSS,50,B136,0.1,1.096545971459018,0.07925671239447674,1.0475820713876056,-0.14583734364504508,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.09534818985375493,1.2850848109016457,-0.12054947359101964,True,False,False,False,CAGR
perpanel,RESPREAD,0,U56,0.1,1.205460332867053,0.15041331307709638,1.2859929848678204,-0.18103293468061765,0.153780735432695,0.878646168321868,-0.3371728920067377,0.0950629792087272,1.2816876607860581,-0.12054947359101964,True,True,False,True,-
perpanel,RESPREAD,0,B136,0.12,1.2149580224997163,0.14021857202883736,1.1839501433857214,-0.21641052989193654,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.09534818985375493,1.2850848109016457,-0.12054947359101964,True,False,False,False,DD
