point,book,spec,mode,CAGR,Vol,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_Sharpe,IS_MaxDD,CRY_CAGR,CRY_Sharpe,CRY_MaxDD,turn,gross,cw_mean,cw_max,p4a,f4b,p4b,universe
v1,v1,control,control,0.06478305297139264,0.10201929170574105,0.6664694744160107,-0.13827804821227863,0.640904565322889,0.6920626625762496,0.07777518253801574,0.7510632499063633,-0.13827804821227818,0.5534265921534492,-0.13101807065198645,0.056281425558542875,0.559662548126024,-0.13827804821227863,23.59063621957033,0.7495206975788611,0.0,0.0,False,"H1,H2,OOS,CAGR",False,universe.json
CAND20,CAND20,control,control,0.1267328078382215,0.11528163443139272,1.0930789903925344,-0.18308321629461421,1.0882783023843388,1.103317986822134,0.14386392023085026,1.1696570016117327,-0.18308321629461421,0.9928957406191273,-0.11653191428501586,0.1294622141760695,1.0438428670812068,-0.18308321629461377,9.632867058472204,0.7168040100062943,0.0,0.0,False,-,True,universe.json
EWall,EWall,control,control,0.10419225399116949,0.09907450407375558,1.0502449533938496,-0.1587469210684226,1.0684700041784772,1.0368079185677912,0.11355844421518158,1.1140654405512067,-0.15874692106842248,0.9696248694958354,-0.11203541488811974,0.10624384402333464,1.0184102602513703,-0.15874692106842248,8.210608911022444,0.7502083884909142,0.0,0.0,False,CAGR,False,universe.json
v1/abs0.45,v1,abs0.45,abs,0.07367465427940245,0.10218685797841062,0.746939777412157,-0.1365092343614963,0.7159634458608156,0.7776575864083084,0.08863338854726677,0.8413488097340328,-0.13650923436149653,0.6203414376852442,-0.11332402406249797,0.06750121386633579,0.6556666616183422,-0.1365092343614962,23.60757207034475,0.7495475137434544,0.00867577033483628,0.11745153331981983,True,"H1,H2,OOS,CAGR",False,universe.json
v1/abs0.60,v1,abs0.60,abs,0.07541950869562242,0.10318658773656393,0.7564417070305551,-0.1365092343614962,0.7512105746519375,0.7658724497696118,0.09091589570484326,0.849880054560323,-0.13650923436149642,0.630370170261575,-0.12010175898509245,0.0671963733777754,0.6443209034743685,-0.1365092343614963,23.495431189774948,0.7495581375356285,0.01644815073975444,0.11745153331981983,True,"H1,H2,OOS,CAGR",False,universe.json
v1/abs0.80,v1,abs0.80,abs,0.07993836960045075,0.10444055855739073,0.788767993005119,-0.1396374554230151,0.7897531665467628,0.7950408100351691,0.09705286326314999,0.8835820223471268,-0.1396374554230152,0.6593227289197904,-0.10364612010243435,0.07268003338049178,0.6746894225114404,-0.1396374554230153,23.340550902734893,0.7495677793001964,0.02488025248397887,0.1201358196323365,False,"H1,H2,OOS,CAGR",False,universe.json
v1/p50,v1,p50,pct,0.07281347082834011,0.10424846475884715,0.7265223552739289,-0.15716120045573156,0.7224051816374463,0.7360502198859042,0.08642844107248382,0.799995974664431,-0.15716120045573134,0.6273967269027095,-0.11025985818727335,0.06488805418302879,0.6135974589821147,-0.15716120045573145,23.435774081788583,0.7495502277294754,0.019709575075576646,0.11745153331981983,False,"H1,H2,OOS,CAGR",False,universe.json
v1/p70,v1,p70,pct,0.07819482161264313,0.10502816740154837,0.7695607632244329,-0.15565298099748526,0.7575218313229223,0.7866575947129798,0.09571704836628481,0.8668448366748387,-0.15565298099748548,0.636076269099042,-0.11776375633422309,0.07227560315578963,0.6664122736416187,-0.15565298099748537,23.217523838653815,0.7495634341945269,0.026047430437911953,0.1201358196323365,False,"H1,H2,OOS,CAGR",False,universe.json
v1/p90,v1,p90,pct,0.08494892969957579,0.10623799096635923,0.8207958665008066,-0.15565298099748526,0.7875149313091225,0.8566733982723886,0.10585569277403484,0.9327882963618228,-0.15565298099748526,0.6651445440245274,-0.09943780229478927,0.08022592125761219,0.7186311891408983,-0.15565298099748537,22.97423903355552,0.7495795606644038,0.03082757537114701,0.14145987814658953,False,"H1,CAGR",False,universe.json
v1/none,v1,none,none,0.08929285127330977,0.10697781393907531,0.853221407736019,-0.15565298099748515,0.8592836166889927,0.8591123534452959,0.1149491778784546,0.9944609805822822,-0.15565298099748526,0.6538053545972958,-0.09951111361744813,0.08435800923362469,0.7461541778961606,-0.1556529809974848,22.79841087716008,0.7495861399277957,0.03355793791886881,0.14145987814658953,False,"H1,CAGR",False,universe.json
CAND20/abs0.45,CAND20,abs0.45,abs,0.13440958283128657,0.11510091431372427,1.1536306660868003,-0.18158601033660038,1.1489511244818722,1.1640549152406399,0.15311293641087076,1.2369577930251094,-0.18158601033660005,1.044432638650054,-0.11653191428501586,0.13858307955316573,1.1107253272876632,-0.1815860103366005,9.849163226644244,0.7168288913810303,0.008670063197223077,0.11701151138321358,False,-,True,universe.json
CAND20/abs0.60,CAND20,abs0.60,abs,0.13508109131554868,0.1160163149510235,1.1505432760170922,-0.18158601033660027,1.1781620342468975,1.13438364026532,0.15344677075259083,1.2257536788149177,-0.1815860103366006,1.0522407138797225,-0.11653191428501586,0.13587082404236273,1.0787381752871934,-0.18158601033660016,9.91294823086593,0.7168372944872631,0.016436169116819922,0.11701151138321358,False,-,True,universe.json
CAND20/abs0.80,CAND20,abs0.80,abs,0.13906963879504008,0.1171637912119182,1.1703728640598652,-0.18131033795090434,1.212121193815307,1.1454234136444899,0.15864295489051394,1.2418305357378867,-0.18131033795090445,1.0773925098721817,-0.11653191428501586,0.14002469758460312,1.0861334531462694,-0.18131033795090423,9.940968204407186,0.7168474503451854,0.024866844069059382,0.11965175598359491,False,-,True,universe.json
