file,stat,is_null_file,cellkey,rows,cells,n_true,ROW,CELL,CELLANY,top_cell_row_share,herfindahl,gap_ROW_CELL_pp,gap_ROW_CELLANY_pp,gap_max_pp
2026-09-08_does-any-selector-beat-doing-nothing_B.picks.csv,pass4b,False,panel|book|arm|cost,864,316,158,0.18287037037037038,0.21518987341772153,0.21518987341772153,0.011574074074074073,0.005645040294924554,3.231950304735115,3.231950304735115,3.231950304735115
2026-09-08_does-any-selector-beat-doing-nothing_B.picks.csv,pass4b_oos,False,panel|book|arm|cost,864,316,168,0.19444444444444445,0.22784810126582278,0.22784810126582278,0.011574074074074073,0.005645040294924554,3.340365682137833,3.340365682137833,3.340365682137833
2026-09-08_does-any-selector-beat-doing-nothing_B.picks.csv,pass4a_v1,False,panel|book|arm|cost,864,316,325,0.3761574074074074,0.4050632911392405,0.4050632911392405,0.011574074074074073,0.005645040294924554,2.8905883731833115,2.8905883731833115,2.8905883731833115
2026-09-08_does-any-selector-beat-doing-nothing_B.picks.csv,pass4a_v2,False,panel|book|arm|cost,864,316,25,0.028935185185185185,0.028481012658227847,0.028481012658227847,0.011574074074074073,0.005645040294924554,0.04541725269573381,0.04541725269573381,0.04541725269573381
2026-09-08_does-any-selector-beat-doing-nothing_B.walkforward.csv,pass4b,False,panel|book|arm|cost,864,316,158,0.18287037037037038,0.21518987341772153,0.21518987341772153,0.011574074074074073,0.005645040294924554,3.231950304735115,3.231950304735115,3.231950304735115
2026-09-08_does-any-selector-beat-doing-nothing_B.walkforward.csv,pass4b_oos,False,panel|book|arm|cost,864,316,168,0.19444444444444445,0.22784810126582278,0.22784810126582278,0.011574074074074073,0.005645040294924554,3.340365682137833,3.340365682137833,3.340365682137833
2026-09-08_does-any-selector-beat-doing-nothing_B.walkforward.csv,pass4a_v1,False,panel|book|arm|cost,864,316,325,0.3761574074074074,0.4050632911392405,0.4050632911392405,0.011574074074074073,0.005645040294924554,2.8905883731833115,2.8905883731833115,2.8905883731833115
2026-09-08_does-any-selector-beat-doing-nothing_B.walkforward.csv,pass4a_v2,False,panel|book|arm|cost,864,316,25,0.028935185185185185,0.028481012658227847,0.028481012658227847,0.011574074074074073,0.005645040294924554,0.04541725269573381,0.04541725269573381,0.04541725269573381
2026-09-08_does-idea-404-s-both-paths-emptiness-survive-idea-142-s-two-rows_C.bothpaths.csv,pass4b,False,panel|arm|gross|cost,2,2,2,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0
2026-09-08_does-idea-404-s-both-paths-emptiness-survive-idea-142-s-two-rows_C.bothpaths.csv,pass4a_v2,False,panel|arm|gross|cost,2,2,2,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0
