key,mean_dS_F,mean_dS_OOS,max_dS_OOS,family,truth_scale_leak,truth_term_dated,T1_flag,T2_flag,absIC_T,absIC_H,mean_dS_NEG,any_arm_beats_SPY_OOS
AMIHUD,-0.00304933934524713,0.008208969205302044,1.000139874381343,level,True,False,True,False,0.5971396708602307,0.07525741663823278,-0.5625539740187776,True
DDTR,-0.044272360394538884,-4.2289788365549676e-05,0.19269723545047673,causal,False,False,False,False,0.07166432951829332,0.0389482692651409,-0.03562539201966216,False
DVOL,0.023872198412778618,0.06876948047609406,1.1410513596546117,level,True,False,True,False,0.5981405943602034,0.08984042282747458,0.6222246642079894,True
DVOLTERM,0.007743753835400084,0.05034064238509256,0.4128159727181738,both,True,True,True,True,0.09245139203156988,0.027387902923055214,0.19246101149925451,False
FROZEN,-0.008299935082122215,0.038743902477580465,0.33266995370349567,level,True,False,True,False,0.2603531026542186,0.12644816278683496,0.17280970718664937,False
FULLSHRP,0.010162901772640676,0.030178212475652093,0.6244486431259391,termonly,False,True,False,True,0.6103862457613757,0.13717075772545853,-0.38174431451187263,True
FULLVOL,-0.07963823870854642,-0.05430295672783956,0.23353711895840296,termonly,False,True,False,True,0.12744537941493003,0.19619042361449576,-0.17105065329626443,False
FWDR21,0.06051458922782297,0.10097382318629596,1.544840473240355,termonly,False,True,False,True,0.9833605446962972,0.2053705951986175,-0.7975021688407686,True
FWDRET,0.10006482294333356,0.15622833838029704,1.763968689842956,termonly,False,True,False,True,1.0,0.20476659299824154,-0.7976033414666297,True
MAXMOVE,0.004208264939452598,0.01826492117426115,0.341911892439729,termonly,False,True,False,True,0.10985269650352614,0.1252791544155201,-0.06685973596512333,False
MCAP,-0.009118078567113849,0.013959675436138222,1.1499058955326946,both,True,True,True,True,0.7091850194428899,0.18087504251095557,0.6181179677474001,True
MCAPFRZ,-0.029914207135540005,0.015402707033707247,0.34015043822371643,both,True,True,True,True,0.4492772002259092,0.1628529862468373,0.21631067437108986,False
MCAPREB,0.01810915484096186,0.06721148792055276,0.527783489284519,termonly,False,True,False,True,0.44049936041408455,0.06864248797817851,0.35549379447558277,True
MOM,-0.00024054209833443418,-0.00014422654878639327,0.0,causal,False,False,False,False,0.08167336811870501,0.021407850471864664,-0.00048108419666886837,False
PRICE,0.024903643715628088,0.07804547232460167,0.6986865993559794,level,True,False,True,False,0.441952372133949,0.15248617084533733,0.46592676967306984,True
PXDVOL,0.025074806179322378,0.0617505545429882,1.153451196087989,level,True,False,True,False,0.5995705009005099,0.08982686360896705,0.6304200860554652,True
PXRANGE,0.024172051096362186,0.07446416812380774,0.602520934105921,level,True,False,True,False,0.4259626857633019,0.18566969920360463,0.45677989584629386,True
PXTERM,0.013242262270311741,0.09064913569296267,0.5122179528602413,both,True,True,True,True,0.4978661043290994,0.07937168006434041,-0.25706618073248455,True
R6,-0.06263886432806494,-0.01288824046203845,0.12549128214921895,causal,False,False,False,False,0.06500399056390561,0.026677033727601974,-0.17605436604321978,False
REBASED,0.027632015785150333,0.08077908008410696,0.4278644954407865,causal,False,False,False,False,0.18395678172983101,0.004441789547168199,0.24069040348671708,False
SHARES,0.03469961044615901,0.09208683441714301,0.42716969237597663,termonly,False,True,False,True,0.3461746499597875,0.07611839151424013,0.24945991031184134,False
SKEW60,-0.0491559625069059,0.010757626780442267,0.13686254332020148,causal,False,False,False,False,0.038561219580452416,0.002617241210729649,-0.155948065234139,False
TERMREB,0.09987442588142952,0.1559300310762245,1.763968689842956,termonly,False,True,False,True,0.9999999994010678,0.20476659299824154,0.997732987353297,True
UPDAYS,-0.015471980111824685,0.041173570020453076,0.3338177544588758,causal,False,False,False,False,0.20560631333227056,0.00408580513773655,0.17146032641815112,False
VOL20,-0.017602487243669043,0.01319731723858003,0.1555230800547573,causal,False,False,False,False,0.05673776992766094,0.07326493580731754,0.07058921029849692,False
VOLSH,0.05425506809617318,0.13394018856575127,0.6108972184373369,causal,False,False,False,False,0.41216782810011704,0.029392509724664458,0.34325505027849407,True
