dial,units,edge,null,mono,L,files,stems
m,51,0.7941732692350031,0.1796008119847129,0.7274440500232017,18.235294117647058,18,17
cost,30,0.9884350271865884,0.5733333333333334,0.9672702158914486,3.6,13,10
cost_bps,27,0.9881296103275311,0.4576719576719577,0.9698084557668283,4.666666666666667,14,9
n,22,0.6959430018637561,0.5263085399449036,0.4147497178372575,4.636363636363637,10,8
g,18,0.9630484520378089,0.35341880341880344,0.9630484520378089,7.5,8,6
k,15,0.7262770562770562,0.5777777777777777,0.376220044046131,4.2,8,5
bps,12,0.9754273504273504,0.38095238095238093,0.953525641025641,6.0,4,4
share,10,0.18034188034188034,0.15079365079365079,0.007692307692307693,13.5,4,4
f,8,0.747172619047619,0.5666666666666667,0.747172619047619,3.75,5,4
floor_musd,6,0.9598391751617559,0.5,0.8845319554996974,4.0,3,2
q,6,0.5,0.4166666666666667,0.0,7.5,2,2
L,3,1.0,0.4000000000000001,0.0,5.0,1,1
D,3,0.6233082706766917,0.3333333333333333,0.17343358395989975,6.0,1,1
ceil,3,1.0,0.15384615384615385,0.0,13.0,1,1
band,3,0.5714285714285715,0.4000000000000001,0.15476190476190477,5.0,1,1
gamma,3,1.0,0.20000000000000004,0.0,10.0,1,1
fin,3,1.0,0.6666666666666666,0.11036539895600299,3.0,1,1
sleeve,3,0.8785578747628083,0.6666666666666666,0.8570524984187223,3.0,2,1
off,3,0.611111111111111,0.4000000000000001,0.0,5.0,1,1
tau,3,1.0,0.5,0.0,4.0,1,1
phi,2,1.0,0.2857142857142857,0.0,7.0,1,1
