scope,norm,tercile,n,mean,t,p,W,L,Z
RECORD,raw,narrow,402,0.009349893113615877,2.0428919300922432,0.041063137360622504,211,169,22
RECORD,raw,mid,400,0.024188902768084657,6.164278055556927,7.080542818727054e-10,215,171,14
RECORD,raw,wide,401,-0.007202958258899552,-1.3065293724551303,0.1913725971048379,206,195,0
RECORD,z,narrow,401,0.014510003726022347,3.0182407718916515,0.002542468166147227,226,170,5
RECORD,z,mid,401,0.018924562219524203,4.815598204028618,1.4675956494514253e-06,218,164,19
RECORD,z,wide,401,-0.007135733334352726,-1.337336330081261,0.18111287725363523,188,201,12
RECORD,rng,narrow,403,0.013819433112379816,2.9364845379273725,0.0033195536845649354,218,180,5
RECORD,rng,mid,399,0.02919962032548002,7.301727699858525,2.8421709430404007e-13,249,131,19
RECORD,rng,wide,401,-0.0166435116635084,-3.1983408062515672,0.0013822082401686586,165,224,12
LIVE/u56,raw,narrow,105,-0.12492173534260802,-133.1403150636622,0.0,0,105,0
LIVE/u56,raw,mid,106,-0.12173331598735124,-168.51710595475484,0.0,0,106,0
LIVE/u56,raw,wide,97,-0.1383349577701225,-1182.0467572033842,0.0,0,97,0
