theta,cost,n,undefined,RAW_pass,CE_pass,CE_flips,CE_flip_rate,EM_n,EM_pass,EM_flips,EM_flip_rate,raw_pass_EM_fail,raw_fail_EM_pass
0.08,10.0,168,0,143,147,4,0.023809523809523808,168,101,42,0.25,42,0
0.08,25.0,168,0,139,147,8,0.047619047619047616,168,101,38,0.2261904761904762,38,0
0.1,10.0,168,0,143,147,4,0.023809523809523808,168,129,20,0.11904761904761904,17,3
0.1,25.0,168,0,139,147,8,0.047619047619047616,168,128,19,0.1130952380952381,15,4
0.15,10.0,168,0,143,147,4,0.023809523809523808,168,131,18,0.10714285714285714,15,3
0.15,25.0,168,0,139,147,8,0.047619047619047616,168,131,22,0.13095238095238096,15,7
0.2,10.0,112,56,102,112,10,0.08928571428571429,112,112,10,0.08928571428571429,0,10
0.2,25.0,112,56,102,112,10,0.08928571428571429,112,112,10,0.08928571428571429,0,10
