dropped,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4b,first_fail
NFLX,0.120534,1.063617,-0.184633,1.01673,1.109804,0.921627,0.141318,1.170612,-0.184633,True,-
NVDA,0.119659,1.065447,-0.180794,1.036606,1.0953,0.947647,0.136769,1.155588,-0.180794,True,-
LLY,0.123688,1.070502,-0.187445,1.063206,1.082784,0.966219,0.141077,1.149957,-0.187445,True,-
UNG,0.125942,1.084574,-0.185317,1.099477,1.077292,1.008105,0.140192,1.143738,-0.185317,True,-
AAPL,0.124429,1.08511,-0.182654,1.063243,1.109952,0.9716,0.142679,1.171384,-0.182654,True,-
GLD,0.127214,1.088643,-0.190311,1.092694,1.091704,0.992969,0.144249,1.161797,-0.190311,True,-
UUP,0.126787,1.089477,-0.178579,1.080829,1.102748,0.986842,0.143992,1.167899,-0.178579,True,-
TLT,0.127751,1.091472,-0.183967,1.077665,1.108862,0.984712,0.145199,1.17309,-0.183967,True,-
PLTR,0.125674,1.091805,-0.181492,1.096518,1.092696,1.00528,0.140417,1.158541,-0.181492,True,-
COST,0.126719,1.092485,-0.182223,1.074736,1.11367,0.977675,0.145246,1.17981,-0.182223,True,-
TIP,0.127202,1.093489,-0.179796,1.086532,1.105094,0.994677,0.14385,1.16918,-0.179796,True,-
AMD,0.123837,1.093519,-0.17765,1.144983,1.054463,1.034184,0.135665,1.140004,-0.17765,True,-
LQD,0.127824,1.097281,-0.179919,1.088101,1.111041,0.996443,0.144914,1.174403,-0.179919,True,-
IEF,0.128075,1.097288,-0.183789,1.099022,1.101671,1.003557,0.144457,1.169182,-0.183789,True,-
V,0.126166,1.097615,-0.181938,1.077329,1.120958,0.978912,0.144948,1.187813,-0.181938,True,-
XOM,0.127385,1.098122,-0.185317,1.100174,1.102241,1.002402,0.143907,1.171469,-0.185317,True,-
ORCL,0.126688,1.098432,-0.178301,1.103682,1.09942,1.010261,0.142103,1.166283,-0.178301,True,-
USO,0.127452,1.098439,-0.178301,1.112948,1.092232,1.021872,0.142234,1.157681,-0.178301,True,-
SHY,0.127731,1.098868,-0.179373,1.087429,1.114591,0.995246,0.145104,1.178034,-0.179373,True,-
SLV,0.127161,1.099558,-0.185253,1.09579,1.109131,1.001207,0.14426,1.174731,-0.185253,True,-
DBC,0.127883,1.100161,-0.178301,1.102285,1.104312,1.010964,0.143817,1.168708,-0.178301,True,-
AVGO,0.124814,1.101043,-0.178301,1.086997,1.118704,0.995141,0.14165,1.18205,-0.178301,True,-
XLY,0.127277,1.101165,-0.185317,1.089799,1.117406,0.996353,0.145156,1.181022,-0.185317,True,-
XLP,0.127911,1.101995,-0.181274,1.085531,1.1221,0.987104,0.146501,1.189423,-0.181274,True,-
XLU,0.12834,1.103292,-0.179863,1.091031,1.119876,0.992724,0.14661,1.187511,-0.179863,True,-
XLE,0.127629,1.103345,-0.178301,1.104328,1.108555,1.015072,0.143479,1.171205,-0.178301,True,-
QQQ,0.126792,1.103543,-0.181842,1.094546,1.117169,0.99409,0.144559,1.187019,-0.181842,True,-
HYG,0.128326,1.10358,-0.178946,1.089525,1.121471,0.998007,0.145847,1.184236,-0.178946,True,-
BRK-B,0.128157,1.104596,-0.185317,1.09278,1.120801,0.998136,0.145965,1.185804,-0.185317,True,-
META,0.126663,1.105247,-0.181794,1.081707,1.131377,0.987835,0.145202,1.194584,-0.181794,True,-
XLC,0.12822,1.105472,-0.181679,1.096518,1.118975,1.00528,0.14513,1.182176,-0.181679,True,-
VTI,0.128208,1.106184,-0.181423,1.11559,1.104566,1.024727,0.143642,1.169026,-0.181423,True,-
XLRE,0.128715,1.106303,-0.185317,1.095981,1.121328,1.002615,0.146339,1.185468,-0.185317,True,-
AMZN,0.12641,1.106382,-0.182782,1.092096,1.125128,0.994089,0.144893,1.191696,-0.182782,True,-
JPM,0.12809,1.107629,-0.180433,1.12014,1.103665,1.027571,0.143498,1.169445,-0.180433,True,-
GDX,0.128136,1.109854,-0.180454,1.109342,1.116849,1.016419,0.144904,1.181437,-0.180454,True,-
EFA,0.128724,1.110042,-0.178237,1.122804,1.105186,1.023312,0.144511,1.176787,-0.178237,True,-
CRM,0.12699,1.110372,-0.181065,1.100171,1.126039,1.00262,0.145374,1.192277,-0.181065,True,-
DIA,0.129074,1.111576,-0.178301,1.090346,1.135627,1.000621,0.147179,1.196219,-0.178301,True,-
KRE,0.128653,1.112396,-0.178301,1.107389,1.123195,1.011838,0.146029,1.189235,-0.178301,True,-
ITB,0.128498,1.112587,-0.178969,1.10754,1.123538,1.013722,0.145913,1.188124,-0.178969,True,-
XLB,0.129126,1.113054,-0.178237,1.119337,1.113824,1.027132,0.144886,1.17921,-0.178237,True,-
TSLA,0.127799,1.114289,-0.185317,1.13363,1.104322,1.042793,0.142069,1.169861,-0.185317,True,-
IWM,0.128839,1.114995,-0.178946,1.106317,1.128777,1.012546,0.146395,1.193232,-0.178946,True,-
XLF,0.129112,1.115091,-0.185317,1.11517,1.121792,1.022244,0.145964,1.186253,-0.185317,True,-
UNH,0.129389,1.116161,-0.180118,1.114179,1.124618,1.024325,0.14625,1.186576,-0.180118,True,-
