panel,ladder,stat,committed_peak,my_peak,peak_match,committed_inf,my_inf,my_floor,committed_decided,committed_set_size
U56,N,S_FULL,12,12,True,False,False,0.1761523806496179,1,8
U56,N,S_OOS,15,15,True,False,False,0.26405478158276907,1,8
U56,N,CAGR,5,5,True,True,False,4.247390553434547,0,9
U56,N,DD,20,20,True,False,False,4.879455799589493,1,8
U56,H,S_FULL,252,252,True,True,True,inf,0,4
U56,H,S_OOS,252,252,True,True,True,inf,0,4
U56,H,CAGR,252,252,True,True,True,inf,0,4
U56,H,DD,126,126,True,True,True,inf,0,4
U56,GROSS,S_FULL,0.75,0.75,True,False,False,0.0005352158233040694,4,6
U56,GROSS,S_OOS,0.75,0.75,True,False,True,inf,1,9
U56,GROSS,CAGR,0.75,0.75,True,False,False,1.0380692471477992,9,1
U56,GROSS,DD,0.3,0.3,True,False,False,1.1938432556992673,9,1
U56,CADENCE,S_FULL,W,W,True,True,True,inf,0,4
U56,CADENCE,S_OOS,Q,Q,True,True,True,inf,0,4
U56,CADENCE,CAGR,W,W,True,True,True,inf,0,4
U56,CADENCE,DD,W,W,True,True,True,inf,0,4
B136,N,S_FULL,30,30,True,True,True,inf,0,9
B136,N,S_OOS,30,30,True,False,False,0.17169880975618246,2,7
B136,N,CAGR,5,5,True,True,True,inf,0,9
B136,N,DD,15,15,True,False,False,6.509181522842699,1,8
B136,H,S_FULL,21,21,True,True,True,inf,0,4
B136,H,S_OOS,252,252,True,True,True,inf,0,4
B136,H,CAGR,63,63,True,True,True,inf,0,4
B136,H,DD,126,126,True,True,True,inf,0,4
B136,GROSS,S_FULL,0.75,0.75,True,False,False,0.00039966707365901577,9,1
B136,GROSS,S_OOS,0.75,0.75,True,False,False,0.00046199462908180777,9,1
B136,GROSS,CAGR,0.75,0.75,True,False,False,1.0702988360427712,9,1
B136,GROSS,DD,0.3,0.3,True,False,False,1.2864280606593717,9,1
B136,CADENCE,S_FULL,M,M,True,True,True,inf,0,4
B136,CADENCE,S_OOS,M,M,True,True,True,inf,0,4
B136,CADENCE,CAGR,M,M,True,False,False,1.8463253895186096,1,3
B136,CADENCE,DD,W,W,True,True,True,inf,0,4
