book,label,panel,cadence,g,memo_g,is_memo_g,bps,CAGR,Sharpe,MaxDD,H1,H2,OOS,OOS_CAGR,OOS_MaxDD,IS,IS_CAGR,keep4b,bind4b,fail4b_set,keep4a,fail4a_set
K1,"u56 top20 composite, weekly",U56,W,0.2,0.75,False,0,0.037063306147573805,1.15518692978832,-0.05046471915350326,1.1655068157179642,1.1537361121298944,1.2178684502614452,0.041286683002925484,-0.05046471915350337,1.0741502033230024,0.03196854010474026,False,CAGR,CAGR,False,H1+H2
K1,"u56 top20 composite, weekly",U56,W,0.2,0.75,False,10,0.033993605610449285,1.0624862886010635,-0.050739676009323165,1.0679332210462071,1.0645811812630932,1.1288718033342238,0.0381678762508435,-0.050739676009323276,0.9759481737877405,0.02895788131332444,False,CAGR,CAGR,False,H1+H2
K1,"u56 top20 composite, weekly",U56,W,0.2,0.75,False,25,0.02940564224407627,0.9230734778790318,-0.05115202441834599,0.9211474911709874,0.9305289550453025,0.995026037262322,0.033506710429943576,-0.05115202441834621,0.8282636585569769,0.024457937925296713,False,H1,H1+CAGR,False,H1+H2
K1,"u56 top20 composite, weekly",U56,W,0.25,0.75,False,0,0.046379823986828494,1.1552072271146536,-0.06286680029314362,1.1654759442123352,1.1538051816949122,1.2179405026434396,0.0516938403408278,-0.06286680029314318,1.0740996056928247,0.03997648642206397,False,CAGR,CAGR,False,H1+H2
K1,"u56 top20 composite, weekly",U56,W,0.25,0.75,False,10,0.04251497887683153,1.0626401561768506,-0.06320567453654624,1.0680404794418197,1.0647800345583394,1.1290738108075518,0.047763240398705165,-0.06320567453654602,0.9760362466270877,0.03619056739936366,False,CAGR,CAGR,False,H1+H2
K1,"u56 top20 composite, weekly",U56,W,0.25,0.75,False,25,0.036743767767515756,0.9234284957013272,-0.06371385204115998,0.9214632996115797,0.9309228986372967,0.9954234349318554,0.041894141298022713,-0.06371385204115942,0.8285610784598134,0.030536862725380143,False,H1,H1+CAGR,False,H1+H2
K1,"u56 top20 composite, weekly",U56,W,0.3,0.75,False,0,0.05571465037031076,1.1552264590595396,-0.07518340668320855,1.1654443085651527,1.1538731546451204,1.2180112316019858,0.06213303940425141,-0.07518340668320911,1.074048289767748,0.047989063812600374,False,CAGR,CAGR,False,H1+H2
K1,"u56 top20 composite, weekly",U56,W,0.3,0.75,False,10,0.05104337195387698,1.0627883371814955,-0.07558442926980369,1.068142684184036,1.0649728235384264,1.1292696384291976,0.057377531083673716,-0.07558442926980335,0.9761192575500501,0.04341872484400677,False,CAGR,CAGR,False,H1+H2
K1,"u56 top20 composite, weekly",U56,W,0.3,0.75,False,25,0.04407417827304583,0.9237708453970646,-0.07618577299703932,0.9217675976278283,0.9313032589733402,0.9958073022156952,0.05028310883682918,-0.07618577299703888,0.8288468983865623,0.036599618299386405,False,H1,H1+CAGR,False,H1+H2
K1,"u56 top20 composite, weekly",U56,W,0.35,0.75,False,0,0.0650667752909142,1.1552446231922637,-0.08741462124995714,1.1654119083359342,1.1539400312711916,1.2180806328571236,0.07260316809051814,-0.08741462124995703,1.0739962554343352,0.05600540915144703,False,CAGR,CAGR,False,H1+H2
K1,"u56 top20 composite, weekly",U56,W,0.35,0.75,False,10,0.05957763523837989,1.0629301938442905,-0.08787603382483633,1.0682384572645667,1.0651595429563012,1.1294591546048456,0.06700948838604615,-0.087876033824836,0.9761958695244934,0.050641353832651115,False,CAGR,CAGR,False,H1+H2
