file,rows,passes,unit_ok,med_dTurn_cmp,min_dTurn_cmp
2026-09-04_52w-high-proximity_C.grid.csv,28,6,True,10.043831,0.006863
2026-09-04_crypto-sleeve_C.grid.csv,78,11,True,14.266858,0.006863
2026-09-04_earnings-season-avoidance_cloud.grid.csv,372,110,True,11.756925,0.000000
2026-09-04_ensemble-plus-momentum_C.grid.csv,60,44,True,16.861724,0.000000
2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,60,0,True,18.178681,13.998235
2026-09-04_is-window-has-no-crash_C.grid.csv,66,26,True,15.653224,6.004659
2026-09-04_momentum-plus-quality-proxy_cloud.grid.csv,156,17,True,11.586047,0.177632
2026-09-04_monthly-seasonality_cloud.grid.csv,150,40,True,14.661929,0.006863
2026-09-04_sector-only-universe_C.grid.csv,10,0,True,10.835252,0.006863
2026-09-04_vol-cap-as-a-satellite-clause_B.grid.csv,48,14,True,14.586243,0.006863
2026-09-05_2011-the-opposite-outlier_C.grid.csv,208,97,True,15.162011,5.063592
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.grid.csv,208,97,True,15.162011,5.063592
2026-09-05_IS-Sharpe-margin-as-the-reportable-selector-statistic_cloud.grid.csv,208,97,True,15.162011,5.063592
2026-09-05_back-fill-the-swapped-coefficient-audit_B.grid.csv,352,129,True,10.617420,0.025824
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,208,97,True,15.162011,5.063592
2026-09-05_crisis-beta-as-the-pre-registrable-selector_C.grid.csv,208,97,True,15.162011,5.063592
2026-09-05_de-gross-vs-reweight-across-gates_cloud.grid.csv,612,220,True,15.094984,0.000000
2026-09-05_defensive-overlays-are-rule-8-invisible_B.grid.csv,208,97,True,15.162011,5.063592
2026-09-05_fixed-gross-S4-blend_cloud.grid.csv,600,256,True,15.879150,0.362275
2026-09-05_four-way-gate-spread-is-a-weighting-convention_cloud.grid.csv,960,124,True,13.666081,1.390385
2026-09-05_is-075-the-argmax-on-every-corpus_cloud.ladder.csv,340,205,True,19.567649,0.149134
2026-09-05_is-PRICE-NEG-the-only-arm-that-is-both-large-and-helpful_B.arms.csv,326,290,True,14.861650,5.382397
2026-09-05_is-the-book-size-floor-a-corpus-wide-clause_C.corpus.csv,252,90,True,13.929793,0.000000
2026-09-05_is-the-book-size-floor-a-corpus-wide-clause_C.walkforward.csv,36,19,True,15.392845,1.553267
