panel,H,c,cost_bps,seeds,real_CAGR,real_Sharpe,real_MaxDD,real_OOS_Sharpe,permP_CAGR,permP_Sharpe,permP_MaxDD,permP_OOS_Sharpe,se_CAGR,se_Sharpe,se_MaxDD,se_OOS_Sharpe,t_Sharpe,t_MaxDD,frac_perm_dd_better,frac_perm_sharpe_better
U56,126,0.25,10.0,20,0.14965234150723505,1.1567063128911277,-0.18207923416158378,1.199044543781344,0.15227601610267313,1.1153763195281345,-0.19439756484599668,1.147191869270817,0.00039155305960801275,0.002380980298254684,0.0005828552969612159,0.003130049795150734,17.35839368065709,21.13445781248958,0.0,0.0
U56,126,0.5,10.0,20,0.14096279429977732,1.15078656521367,-0.17398626658539484,1.2038306030268437,0.14476002988424258,1.0635252291350767,-0.1945826624987373,1.0947713365538292,0.0006787137498932713,0.004455329395209126,0.001017165683599356,0.005918712185000122,19.58583268218652,20.24881122656416,0.0,0.0
U56,126,0.75,10.0,20,0.1321404547999434,1.1344051240611974,-0.1661394511331027,1.197448834684725,0.13736235737832553,1.0107621150187227,-0.19551179076141417,1.0532114134177117,0.0008450484909805577,0.00554922617310464,0.001074065606293532,0.008598746750592178,22.28112626616908,27.34687663044328,0.0,0.0
U56,126,1.0,10.0,20,0.12322483819814822,1.1051770784181159,-0.1582648132000103,1.1762902630737804,0.1330515156659214,0.97552722522419,-0.20276313257831258,1.0113131431218767,0.0020481829441764323,0.012796833055244468,0.0021158094786689233,0.013682364555432001,10.131401467396033,21.031345131460807,0.0,0.05
U56,142,0.25,10.0,20,0.16149445893670178,1.2024499797038344,-0.20427969547466862,1.2089981179667588,0.16108152969571332,1.1439261953869304,-0.21322344387254688,1.1413473030210783,0.00040343256125582107,0.002428772861355195,0.0006631503310999184,0.002850874100842325,24.09603024148135,13.486758549971507,0.0,0.0
U56,142,0.5,10.0,20,0.15469506026069757,1.2102123892110754,-0.19471919669825344,1.2348055351168838,0.15354284865317092,1.0940641555577935,-0.21504911122684772,1.0976836010319784,0.0008592577841596449,0.0054033868141440565,0.0012391700298355465,0.007538152421175333,21.495450473626857,16.406073451673393,0.0,0.0
U56,142,0.75,10.0,20,0.14774535011609768,1.2096699280870806,-0.18507526163318067,1.25385581843062,0.14639986992853032,1.0460559796460926,-0.2182264203557936,1.0422405355820583,0.0008729028155227494,0.005477171058566472,0.001946378186692393,0.007327035546637481,29.8719807527447,17.03222885936101,0.0,0.0
U56,142,1.0,10.0,20,0.14068062544605353,1.198583596761924,-0.1753506235561917,1.2632922386978263,0.14173101406349695,1.0093308318370648,-0.2257210999382087,1.00879737765568,0.001653035588158246,0.010733210254097953,0.0027433150437828875,0.013610800599852962,17.63244737077635,18.36117091114653,0.0,0.0
B136,126,0.25,10.0,20,0.15544685510176048,1.076533437056978,-0.19782966931469625,1.0426868271470724,0.15466712194070031,1.0303710988475898,-0.20785464976322157,0.9849192158124422,0.00041952894336106945,0.002468388631038481,0.000743800395496701,0.0032132124746891396,18.701406103125272,13.478052054315937,0.0,0.0
B136,126,0.5,10.0,20,0.1499191307333696,1.0815036541583456,-0.1882634461686029,1.0623370010818498,0.14788628987627372,0.9877481655753018,-0.20988371398615327,0.9471037621712908,0.0009903441018958572,0.005637718131659663,0.001814855367763497,0.008612217735594034,16.63004187040539,11.912942596739095,0.0,0.0
