panel,c,gross,time_in_share,median_N_in,min_N_in,days_all_out,gate_flips,max_name_w,p99_name_w,med_name_w,mean_gross,mean_sweep_w,turnover_yr,max_row_sum
U56,0.0,0.75,0.7103860624632651,42.0,4.0,0,7466,0.1875,0.057692307692307696,0.017045454545454544,1.0,0.26790794907420096,7.651238554885243,1.0000000000000004
U56,0.02,0.75,0.7100394526414989,42.0,5.0,0,2359,0.15,0.057692307692307696,0.017045454545454544,1.0,0.269532634099499,5.338591019317622,1.0000000000000004
U56,0.03,0.75,0.7102683174631209,42.0,5.0,0,1745,0.15,0.057692307692307696,0.017045454545454544,0.9999999999999998,0.2694679637786412,4.39457281063272,1.0000000000000004
U56,0.05,0.75,0.685704946574577,41.0,5.0,0,1215,0.15,0.06818181818181818,0.017857142857142856,0.9999999999999998,0.24999999999999983,3.637256472326815,1.0000000000000004
U56,0.08,0.75,0.6773315590375298,41.0,4.0,0,804,0.1875,0.06818181818181818,0.017857142857142856,1.0,0.2499999999999998,2.7464104476529254,1.0000000000000004
U56,0.12,0.75,0.6787559642306976,39.0,4.0,0,517,0.1875,0.057692307692307696,0.018292682926829267,1.0,0.2499999999999999,2.078300134046425,1.0000000000000004
U56,0.0,1.0,0.7103860624632651,42.0,4.0,0,7466,0.25,0.07692307692307693,0.022727272727272728,1.0,0.023877265432268178,10.052888377094224,1.0000000000000009
U56,0.02,1.0,0.7100394526414989,42.0,5.0,0,2359,0.2,0.07692307692307693,0.022727272727272728,1.0,0.026043512132665578,6.942688771391447,1.0000000000000009
U56,0.03,1.0,0.7102683174631209,42.0,5.0,0,1745,0.2,0.07692307692307693,0.022727272727272728,1.0,0.025957285038188612,5.679032812388824,1.0000000000000009
U56,0.05,1.0,0.685704946574577,41.0,5.0,0,1215,0.2,0.09090909090909091,0.023809523809523808,1.0,1.718974525767939e-16,4.600109127161453,1.0000000000000009
U56,0.08,1.0,0.6773315590375298,41.0,4.0,0,804,0.25,0.09090909090909091,0.023809523809523808,1.0,1.8230111552665211e-16,3.4259583942608303,1.0000000000000007
U56,0.12,1.0,0.6787559642306976,39.0,4.0,0,517,0.25,0.07692307692307693,0.024390243902439025,1.0,1.84820947560071e-16,2.536900236508718,1.0000000000000007
B136,0.0,0.75,0.7093994968899262,100.0,6.0,0,18561,0.125,0.022727272727272728,0.007142857142857143,1.0000000000000004,0.25795090282899874,7.912891388775524,1.0000000000000002
B136,0.02,0.75,0.7094141790339359,100.0,6.0,0,6388,0.125,0.022058823529411766,0.007142857142857143,1.0000000000000004,0.25857238285847206,5.751645671813842,1.0000000000000002
B136,0.03,0.75,0.7095526442507312,101.0,6.0,0,4874,0.125,0.02142857142857143,0.007142857142857143,1.0000000000000004,0.25851194830674606,4.906022705624988,1.0000000000000002
B136,0.05,0.75,0.7014462609651295,100.0,7.0,0,3354,0.10714285714285714,0.022058823529411766,0.007142857142857143,1.0000000000000002,0.2500000000000002,3.8690009356756145,1.0
B136,0.08,0.75,0.7053441869279323,101.0,7.0,0,2145,0.10714285714285714,0.02142857142857143,0.007142857142857143,1.0000000000000004,0.25000000000000033,2.8630251422181603,1.0
B136,0.12,0.75,0.7100293276445958,100.0,6.0,0,1425,0.125,0.020833333333333332,0.007009345794392523,1.0000000000000002,0.25000000000000033,2.2077854916260145,1.0
B136,0.0,1.0,0.7093994968899262,100.0,6.0,0,18561,0.16666666666666666,0.030303030303030304,0.009523809523809525,1.0000000000000009,0.010601203771998817,10.34231959949397,1.0000000000000022
B136,0.02,1.0,0.7094141790339359,100.0,6.0,0,6388,0.16666666666666666,0.029411764705882353,0.009523809523809525,1.0000000000000009,0.01142984381129651,7.442395231652632,1.0000000000000022
B136,0.03,1.0,0.7095526442507312,101.0,6.0,0,4874,0.16666666666666666,0.02857142857142857,0.009523809523809525,1.0000000000000009,0.011349264408995289,6.316743996025918,1.0000000000000022
B136,0.05,1.0,0.7014462609651295,100.0,7.0,0,3354,0.14285714285714285,0.029411764705882353,0.009523809523809525,1.0000000000000009,8.581265194832033e-16,4.896599181229586,1.0000000000000022
B136,0.08,1.0,0.7053441869279323,101.0,7.0,0,2145,0.14285714285714285,0.02857142857142857,0.009523809523809525,1.0000000000000009,8.271011773157332e-16,3.5663598279570574,1.0000000000000022
B136,0.12,1.0,0.7100293276445958,100.0,6.0,0,1425,0.16666666666666666,0.027777777777777776,0.009345794392523364,1.0000000000000009,8.389322410223952e-16,2.700129229916829,1.0000000000000022
SMALL,0.0,0.75,0.5469885456150552,291.0,12.0,0,74922,0.0625,0.007352941176470588,0.00234375,1.0000000000000002,0.2500000000000002,10.024650201724011,1.0
SMALL,0.02,0.75,0.548100237284122,292.0,13.0,0,31359,0.057692307692307696,0.007425742574257425,0.00234375,1.0000000000000004,0.2500000000000003,7.966868866341424,1.0
SMALL,0.03,0.75,0.5481812692644813,293.0,14.0,0,24538,0.05357142857142857,0.007352941176470588,0.00234375,1.0000000000000002,0.25000000000000033,7.019147562041687,1.0
SMALL,0.05,0.75,0.5500258000840507,293.0,14.0,0,17332,0.05357142857142857,0.007281553398058253,0.00234375,1.0000000000000002,0.2500000000000002,5.6413118430456075,1.0
SMALL,0.08,0.75,0.5577988800877527,297.0,17.0,0,12168,0.04411764705882353,0.006696428571428571,0.0023006134969325155,1.0000000000000002,0.2500000000000003,4.4617672164085675,1.0
SMALL,0.12,0.75,0.5691981061177999,303.0,16.0,0,8693,0.046875,0.0063025210084033615,0.0022658610271903325,1.0000000000000002,0.2500000000000002,3.5875189592195134,1.0
SMALL,0.0,1.0,0.5469885456150552,291.0,12.0,0,74922,0.08333333333333333,0.00980392156862745,0.003125,1.000000000000002,1.9846890777771597e-15,12.987701331256174,1.0000000000000142
SMALL,0.02,1.0,0.548100237284122,292.0,13.0,0,31359,0.07692307692307693,0.009900990099009901,0.003125,1.000000000000002,1.977509091186254e-15,10.258043626049576,1.0000000000000142
SMALL,0.03,1.0,0.5481812692644813,293.0,14.0,0,24538,0.07142857142857142,0.00980392156862745,0.003125,1.0000000000000018,2.0109312248466662e-15,9.005477021194961,1.0000000000000142
SMALL,0.05,1.0,0.5500258000840507,293.0,14.0,0,17332,0.07142857142857142,0.009708737864077669,0.003125,1.000000000000002,1.9556875633119324e-15,7.188017319263587,1.0000000000000142
SMALL,0.08,1.0,0.5577988800877527,297.0,17.0,0,12168,0.058823529411764705,0.008928571428571428,0.003067484662576687,1.000000000000002,2.034611102191575e-15,5.631837147598903,1.0000000000000142
SMALL,0.12,1.0,0.5691981061177999,303.0,16.0,0,8693,0.0625,0.008403361344537815,0.0030211480362537764,1.000000000000002,2.126909125897415e-15,4.480678494110141,1.0000000000000142
