gate,detail,maxabs,passed
G1:rho,"216 cells vs idea 310-B committed, 3 over tol",0.0013320144903053721,False
G1:p,"216 cells vs idea 310-B committed, 3 over tol",0.005049747512624436,False
G1:rho_partial,"216 cells vs idea 310-B committed, 12 over tol",0.0011518770478168017,False
G1:partial_lo,"216 cells vs idea 310-B committed, 10 over tol",0.0013087576051947214,False
G1:partial_hi,"216 cells vs idea 310-B committed, 7 over tol",0.0006569253816933879,False
G1:joint_t,"216 cells vs idea 310-B committed, 0 over tol",1.6278645098566358e-14,True
G2:293 mean partial disp,published +0.0046,1.3599330845082656e-05,True
G2:293 mean partial evol,published +0.1551,1.0265138507548066e-05,True
G3:284 corr rho CAND10,published -0.3648 got -0.3648,2.3562100583573997e-05,True
G3:284 corr rho CAND20,published -0.4815 got -0.4815,2.264517921651832e-05,True
G3:284 corr rho EWall,published -0.4708 got -0.4708,2.5562656292277275e-06,True
G4:284 joint t CAND10/disp,published +1.43 got +1.43,0.0008733329783883192,True
G4:284 joint t CAND10/evol,published -0.97 got -0.97,0.003587418069566084,True
G4:284 joint t CAND20/disp,published +1.31 got +1.31,0.004292857411289042,True
G4:284 joint t CAND20/evol,published +0.23 got +0.23,0.0030154838008005502,True
G4:284 joint t EWall/disp,published +1.65 got +1.65,0.004699141562032105,True
G4:284 joint t EWall/evol,published -0.49 got -0.49,0.0015768681883243651,True
