seed,bps,n4b,n4a
887,0,28,6
907001,0,15,7
907002,0,35,6
907003,0,24,4
907004,0,19,1
907005,0,24,9
907006,0,26,10
907007,0,24,3
907008,0,29,17
907009,0,26,1
907010,0,22,0
907011,0,26,17
907012,0,25,1
907013,0,33,17
907014,0,29,26
907015,0,24,15
907016,0,23,0
907017,0,23,13
907018,0,28,10
907019,0,25,9
887,10,11,0
907001,10,10,0
907002,10,19,0
907003,10,12,0
907004,10,11,0
907005,10,12,0
907006,10,15,0
907007,10,12,0
907008,10,10,0
907009,10,12,0
907010,10,8,0
907011,10,15,0
907012,10,10,0
907013,10,20,1
907014,10,15,1
907015,10,7,0
907016,10,9,0
907017,10,11,1
907018,10,13,3
907019,10,14,0
887,25,4,0
907001,25,3,0
907002,25,5,0
907003,25,6,0
907004,25,2,0
907005,25,2,0
907006,25,5,0
907007,25,2,0
907008,25,2,0
907009,25,4,0
907010,25,3,0
907011,25,5,0
907012,25,3,0
907013,25,9,0
907014,25,5,0
907015,25,2,0
907016,25,2,0
907017,25,2,0
907018,25,2,0
907019,25,2,0
