family,arm,mean_OOS_CAGR,mean_OOS_Sharpe,mean_OOS_MaxDD,s1_book,s1_point,s1_OOS_CAGR,s1_OOS_Sharpe,s1_OOS_MaxDD,s1_fail4a,s1_fail4b
ALL,CONST,0.05255141580310998,0.6797916134382441,-0.17046582350476325,U56k20d09,W,0.09018064982752838,1.282132373166947,-0.10441418684726311,-,CAGR
ALL,SEL-SHARPE,0.0575486409654411,0.7186338265519254,-0.17982537337200252,U56k20d09,2D,0.08563905653087667,1.2473199681437572,-0.09481609407085534,-,CAGR
ALL,SEL-4B,0.05758318501274022,0.7042237062885824,-0.18711891841990957,U56k20d09,M,0.09497288327027187,1.270300983856956,-0.11936958962712008,-,CAGR
ALL,RANDOM,0.05312520041308894,0.6639109993710651,-0.19421161648943044,U56k20d06,M,0.08259721611247772,1.330407944726134,-0.09185627788254735,-,CAGR
ALL,ORACLE,0.07140495244724704,0.8427336053951494,-0.18236706773654365,U56k20d05,6W,0.13870554084062303,1.472648012719896,-0.1366009290425655,-,-
SMALL,CONST,0.017313920195450555,0.20520275926815387,-0.24041823877816867,SMALLk80d05,W,-0.009230304530925104,0.0059954751232779106,-0.42043372706328197,"H1,H2,DD","H1,H2,OOS,DD,CAGR"
SMALL,SEL-SHARPE,0.021288060736987562,0.2524910966973423,-0.2547622769531233,SMALLk80d05,M,0.00208851830465151,0.08717829446600102,-0.36939231262609185,"H2,DD","H1,H2,OOS,DD,CAGR"
SMALL,SEL-4B,0.02169392931284913,0.24971803397975628,-0.25897951070316827,SMALLk40d00,6W,-0.018294864639009534,-0.10904919955380696,-0.3193457761352002,"H1,H2","H1,H2,OOS,DD,CAGR"
SMALL,RANDOM,0.01594819369764386,0.19484671161335068,-0.27135316664415615,SMALLk40d00,2W,-0.0013741834415827991,0.03535283265007101,-0.29068437505825595,"H1,H2","H1,H2,OOS,DD,CAGR"
SMALL,ORACLE,0.03460304080194971,0.36919530403272866,-0.2465736864698513,SMALLk40d00,M,0.005206714602999707,0.10202501858349375,-0.26999634943886397,"H1,H2","H1,H2,OOS,DD,CAGR"
U56,CONST,0.1118579068751881,1.2230250732965675,-0.14053339817181365,U56k20d09,W,0.09018064982752838,1.282132373166947,-0.10441418684726311,-,CAGR
U56,SEL-SHARPE,0.11846455557523382,1.2235917029628571,-0.1513624280905327,U56k20d09,2D,0.08563905653087667,1.2473199681437572,-0.09481609407085534,-,CAGR
U56,SEL-4B,0.11869136664335861,1.1901949270437715,-0.16632914831590218,U56k20d09,M,0.09497288327027187,1.270300983856956,-0.11936958962712008,-,CAGR
U56,RANDOM,0.11714322396870451,1.2255488029907742,-0.15553940767928034,U56k20d06,M,0.08259721611247772,1.330407944726134,-0.09185627788254735,-,CAGR
U56,ORACLE,0.13966940758628466,1.3873042815274936,-0.16144972542325042,U56k20d05,6W,0.13870554084062303,1.472648012719896,-0.1366009290425655,-,-
ETF,CONST,0.045567266693920076,0.8412506946203576,-0.09652951100750473,ETFk12d13,W,0.037581420306048496,1.0592737995361188,-0.05140254029245872,-,"H1,CAGR"
ETF,SEL-SHARPE,0.05047419396759454,0.9058272762887076,-0.09701837091180808,ETFk12d13,M,0.03919283031452214,1.068737052345238,-0.06137912017678726,-,CAGR
ETF,SEL-4B,0.04976511033044497,0.8931245444161965,-0.10120659695180563,ETFk12d13,M,0.03919283031452214,1.068737052345238,-0.06137912017678726,-,CAGR
ETF,RANDOM,0.044309398950103954,0.7987625927249327,-0.11834031143347254,ETFk12d13,Q,0.03174718699138723,0.7116285988455436,-0.13618352804500078,H2,"H1,H2,OOS,CAGR"
ETF,ORACLE,0.05778576005425701,1.0012955585585213,-0.1079473095064406,ETFk12d13,6W,0.045074093348347555,1.2001398192307282,-0.05817952189427722,-,"H1,CAGR"
