panel,n,cadence,kernel,K,F_MC,F_MC_sd,F_EXACT,F_EXACT_sd,F_POOLED,F_POOLED_sd,mean_abs_MC_minus_EXACT,exact_minus_pooled,replay_1e6,replay_5e3
U56,20,W,DIFF,10,0.4984404700963932,0.07793185252762247,0.4984404700963932,0.07793185252762247,0.49844047009639325,0.07793185252762252,6.661338147750939e-17,3.885780586188048e-16,0.05,0.1
U56,20,W,DIFF,20,0.4859261029279037,0.058223015281652045,0.4859261029279036,0.058223015281652066,0.4859261029279037,0.058223015281652093,4.4408920985006264e-17,2.7755575615628914e-16,0.05,0.1
U56,20,W,DIFF,50,0.493399478771828,0.03166587750694223,0.493399478771828,0.03166587750694224,0.4933994787718281,0.03166587750694226,5.2735593669694933e-17,3.885780586188048e-16,0.05,0.3
U56,20,W,DIFF,100,0.49290922839612394,0.015564828714498928,0.49290922839612394,0.015564828714498916,0.49290922839612394,0.015564828714498965,5.551115123125783e-17,2.7755575615628914e-16,0.05,0.1
U56,20,W,DIFF,200,0.4962870637771791,0.00964119704887549,0.49628706377717907,0.00964119704887552,0.49628706377717924,0.009641197048875502,6.106226635438361e-17,2.7755575615628914e-16,0.05,0.2
U56,20,W,DIFF,400,0.4941565334052753,1.6308925831987489e-16,0.4941565334052753,1.5492956138548855e-16,0.49415653340527516,1.463155214010901e-16,6.106226635438361e-17,2.7755575615628914e-16,1.0,1.0
U56,20,W,RATIO,10,1.7479196271767887,0.12627626981556017,1.746997616018546,0.12411297130931234,1.7348963421072454,0.12291103695732655,0.008840013024221082,0.04272222384221869,0.05,0.05
U56,20,W,RATIO,20,1.7343415852575794,0.09541290394239345,1.7347738821109537,0.09660529613941532,1.7212558107510247,0.09358194146817564,0.005548595819518642,0.026142709106777184,0.05,0.1
U56,20,W,RATIO,50,1.7469262808890977,0.05441283990933325,1.7468636397880062,0.05369228086759339,1.7325427917519771,0.05239083718834866,0.0025144135893620744,0.024165388500986484,0.05,0.25
U56,20,W,RATIO,100,1.7477961151439096,0.026054951295970775,1.7474538686588346,0.0257574477417049,1.7331781001465074,0.025376477737765555,0.0022162779400891177,0.017386990689958637,0.05,0.35
U56,20,W,RATIO,200,1.7534978496920204,0.015878479981376935,1.753599186427111,0.015737926821111563,1.739441814280068,0.015555978316170583,0.00141487596470955,0.016479102235321896,0.05,0.2
U56,20,W,RATIO,400,1.7504823799438403,0.0014620644382301877,1.7504401580134605,2.278129578503827e-16,1.736274932741241,2.8816313092285836e-16,0.001045975997650761,0.014165225272219528,0.05,1.0
U56,20,W,IND,10,0.985,0.036634754853252315,0.9924999999999999,0.012085223687584256,1.0,0.0,0.014499999999999996,0.030000000000000027,0.85,0.85
U56,20,W,IND,20,0.9925,0.018317377426626178,0.99175,0.010101458987899254,1.0,0.0,0.01175000000000001,0.03500000000000003,0.85,0.85
U56,20,W,IND,50,0.9960000000000001,0.00820782681668124,0.9926399999999997,0.006932334610929769,1.0,0.0,0.00792000000000001,0.026000000000000023,0.8,0.8
U56,20,W,IND,100,0.993,0.009787209698591866,0.9926550000000001,0.004695852032995669,1.0,0.0,0.0068850000000000135,0.01629999999999998,0.55,0.55
U56,20,W,IND,200,0.9945,0.005104177855340408,0.993605,0.001939302641890163,1.0,0.0,0.004165000000000007,0.009149999999999991,0.45,0.45
U56,20,W,IND,400,0.9949999999999999,0.0026901379342448703,0.9939062499999997,3.4171943677557405e-16,1.0,0.0,0.0025468750000000205,0.006093750000000009,0.35,0.85
U56,12,W,DIFF,10,0.5470028684492241,0.06960761391452129,0.5470028684492242,0.0696076139145213,0.5470028684492241,0.0696076139145213,5.2735593669694933e-17,2.220446049250313e-16,0.05,0.05
U56,12,W,DIFF,20,0.5585608706937596,0.04828451486001906,0.5585608706937596,0.04828451486001907,0.5585608706937596,0.04828451486001899,6.106226635438361e-17,3.3306690738754696e-16,0.05,0.05
U56,12,W,DIFF,50,0.5402156400763067,0.020069875738494065,0.5402156400763065,0.020069875738494027,0.5402156400763065,0.020069875738494076,4.4408920985006264e-17,3.3306690738754696e-16,0.05,0.1
U56,12,W,DIFF,100,0.5390501157469993,0.016181008692278915,0.5390501157469993,0.016181008692278898,0.5390501157469995,0.01618100869227889,4.4408920985006264e-17,4.440892098500626e-16,0.05,0.05
U56,12,W,DIFF,200,0.5371560950779172,0.008490415810747942,0.5371560950779172,0.008490415810747925,0.5371560950779171,0.008490415810747892,4.4408920985006264e-17,2.220446049250313e-16,0.05,0.05
U56,12,W,DIFF,400,0.5359973261733477,9.86459044048525e-17,0.5359973261733477,8.054404366908536e-17,0.5359973261733477,1.2987336803007606e-16,4.9960036108132046e-17,2.220446049250313e-16,1.0,1.0
U56,12,W,RATIO,10,2.0480610711679335,0.171271463318038,2.04507798231031,0.16838497279708733,1.9883783156663384,0.15404464683927988,0.014404937492738657,0.11579529413240364,0.05,0.05
U56,12,W,RATIO,20,2.0640209668725342,0.11343862121914051,2.0607929349192586,0.11301970013852454,2.005587517393548,0.10763330838188975,0.00940874566281743,0.10920234791170236,0.05,0.05
U56,12,W,RATIO,50,2.0283915539493567,0.047402165206150794,2.0257291448767756,0.04613904439177271,1.9691418702756252,0.04202968111405848,0.009582759819873155,0.08891343398204965,0.05,0.1
U56,12,W,RATIO,100,2.027025127920162,0.0337422860852866,2.0244951475941506,0.0355449948445162,1.9676920407328733,0.032537974598142456,0.007343272241264409,0.06947793640253863,0.05,0.05
U56,12,W,RATIO,200,2.021184585698338,0.016906321333294373,2.019959164930487,0.01823884242427029,1.9651389975765672,0.0157695619272191,0.0036312722462639837,0.06496541560464753,0.05,0.05
U56,12,W,RATIO,400,2.0178111641159617,0.0028162463942031754,2.016711898998415,3.9458361761941e-16,1.961913718715649,2.926310428021802e-16,0.002296232543817145,0.054798180282766396,0.05,0.95
U56,12,W,IND,10,0.99,0.030779350562554614,0.993,0.015252264715358467,1.0,0.0,0.008999999999999998,0.050000000000000044,0.9,0.9
U56,12,W,IND,20,0.9925,0.018317377426626178,0.9952500000000001,0.008656454847471665,1.0,0.0,0.006750000000000006,0.02749999999999997,0.15,0.15
U56,12,W,IND,50,0.9879999999999999,0.015078740698501052,0.99326,0.005764902884104628,1.0,0.0,0.011660000000000009,0.020399999999999974,0.3,0.3
U56,12,W,IND,100,0.9899999999999999,0.008583950752789529,0.9932550000000001,0.00445804712968879,1.0,0.0,0.0060650000000000035,0.01880000000000004,0.2,0.2
U56,12,W,IND,200,0.99175,0.0051999493924662936,0.9936399999999999,0.002231405622613599,1.0,0.0,0.004297500000000015,0.009824999999999973,0.3,0.3
U56,12,W,IND,400,0.9932500000000001,0.003544825732484495,0.9939500000000002,2.278129578503827e-16,1.0,0.0,0.002644999999999992,0.00605,0.15,0.5
