panel,m,rule,constr,cost,arm,n_const,n_mean,n_held,inv_gross,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_Sharpe,IS_CAGR,TO,pass4a,pass4b,fail4b,pass4b_oos,IS_adm,IS_m_H1,IS_m_H2,IS_m_OOS,IS_m_DD,IS_m_CAGR
u56,0.05,FIX,lit,10.0,FIX|m0.05|lit,2.0,2.0,1.9576481189457084,0.734537752604951,0.194899661984975,0.8555390521446696,-0.2649401532800354,0.890164949092279,0.8257011616028349,0.18151564540227727,0.7882923472267235,-0.26494015328003506,0.9462262727315728,0.21132119353263423,23.259224259277154,False,False,"H1,H2,OOS,DD",False,False,-0.05086225256318477,0.035597972536427935,0.047588791609982306,-0.08185907219394026,0.10660962988911103
u56,0.05,FIX,lit,25.0,FIX|m0.05|lit,2.0,2.0,1.9576481189457084,0.734537752604951,0.15395624023534094,0.71171984800219,-0.28898376530160064,0.750894842376374,0.6774617615420333,0.13898727319674542,0.6428434375343195,-0.28898376530159997,0.8041970527204637,0.17235888867854543,23.259224259277154,False,False,"H1,H2,OOS,DD",False,False,-0.19673945460718756,-0.10293389971720635,-0.09444042840112676,-0.08813721797076121,0.06764732503502223
u56,0.05,FIX,norm,10.0,FIX|m0.05|norm,2.0,2.0,1.9576481189457084,0.7504178031421244,0.19551093112402285,0.8503068449969838,-0.2597998250093234,0.8378368347422906,0.8631480158424841,0.19474226788534743,0.8268268345476769,-0.25979982500932397,0.8826595758148738,0.19644302833930105,24.807028341578285,False,False,"H1,OOS,DD",False,False,-0.13356612105881105,-0.009494865060412083,-0.015977905306716722,-0.10035559557129989,0.09173146469577785
u56,0.05,FIX,norm,25.0,FIX|m0.05|norm,2.0,2.0,1.9576481189457084,0.7504178031421244,0.15186245691106603,0.6986708883235015,-0.27066355909529005,0.6906234601819785,0.7072053203093425,0.14883459597574333,0.6728500907895936,-0.27066355909528916,0.7337979171139472,0.155542190120608,24.807028341578285,False,False,"H1,H2,OOS,DD",False,False,-0.28282498289388913,-0.15816263326695557,-0.16483956400764332,-0.1150739259732407,0.05083062647708479
u56,0.05,FIXIS,lit,10.0,FIXIS|m0.05|lit,2.0,2.0,1.9576481189457084,0.734537752604951,0.194899661984975,0.8555390521446696,-0.2649401532800354,0.890164949092279,0.8257011616028349,0.18151564540227727,0.7882923472267235,-0.26494015328003506,0.9462262727315728,0.21132119353263423,23.259224259277154,False,False,"H1,H2,OOS,DD",False,False,-0.05086225256318477,0.035597972536427935,0.047588791609982306,-0.08185907219394026,0.10660962988911103
u56,0.05,FIXIS,lit,25.0,FIXIS|m0.05|lit,2.0,2.0,1.9576481189457084,0.734537752604951,0.15395624023534094,0.71171984800219,-0.28898376530160064,0.750894842376374,0.6774617615420333,0.13898727319674542,0.6428434375343195,-0.28898376530159997,0.8041970527204637,0.17235888867854543,23.259224259277154,False,False,"H1,H2,OOS,DD",False,False,-0.19673945460718756,-0.10293389971720635,-0.09444042840112676,-0.08813721797076121,0.06764732503502223
u56,0.05,FIXIS,norm,10.0,FIXIS|m0.05|norm,2.0,2.0,1.9576481189457084,0.7504178031421244,0.19551093112402285,0.8503068449969838,-0.2597998250093234,0.8378368347422906,0.8631480158424841,0.19474226788534743,0.8268268345476769,-0.25979982500932397,0.8826595758148738,0.19644302833930105,24.807028341578285,False,False,"H1,OOS,DD",False,False,-0.13356612105881105,-0.009494865060412083,-0.015977905306716722,-0.10035559557129989,0.09173146469577785
u56,0.05,FIXIS,norm,25.0,FIXIS|m0.05|norm,2.0,2.0,1.9576481189457084,0.7504178031421244,0.15186245691106603,0.6986708883235015,-0.27066355909529005,0.6906234601819785,0.7072053203093425,0.14883459597574333,0.6728500907895936,-0.27066355909528916,0.7337979171139472,0.155542190120608,24.807028341578285,False,False,"H1,H2,OOS,DD",False,False,-0.28282498289388913,-0.15816263326695557,-0.16483956400764332,-0.1150739259732407,0.05083062647708479
u56,0.05,ADAPT,lit,10.0,ADAPT|m0.05|lit,,2.033566118495157,1.9927911691822482,0.7346832270009623,0.19741459467019173,0.8658979316601753,-0.26494015328003495,0.8959081633953928,0.8399785576057863,0.1824363583114914,0.7939681616092401,-0.26494015328003573,0.9621097300192362,0.2158190856807305,23.479125820335767,False,False,"H1,OOS,DD",False,False,-0.05086225256318477,0.06630576395170373,0.06347224889764569,-0.0818590721939407,0.11110752203720729
u56,0.05,ADAPT,lit,25.0,ADAPT|m0.05|lit,,2.033566118495157,1.9927911691822482,0.7346832270009623,0.156002735675298,0.7203114133159049,-0.2889837653016002,0.7542569158517839,0.6905409250073551,0.1394566037140228,0.6463488631427718,-0.28898376530160075,0.8188657103213239,0.17637495926946345,23.479125820335767,False,False,"H1,H2,OOS,DD",False,False,-0.19673945460718756,-0.07458851559603541,-0.07977177080026654,-0.08813721797076121,0.07166339562594025
u56,0.05,ADAPT,norm,10.0,ADAPT|m0.05|norm,,2.033566118495157,1.9927911691822482,0.7504218749262747,0.19814729294826905,0.8607331890051518,-0.2597998250093243,0.8434814242224833,0.8778872817265706,0.19589215588952258,0.8330300562442512,-0.2597998250093242,0.8983212303077469,0.20088567470885477,24.958462284828343,False,False,"H1,OOS,DD",False,False,-0.13356612105881105,0.020834998052535747,-0.000316250813843566,-0.10035559557129989,0.09617411106533157
u56,0.05,ADAPT,norm,25.0,ADAPT|m0.05|norm,,2.033566118495157,1.9927911691822482,0.7504218749262747,0.15413909024899097,0.707792867109104,-0.27066355909528916,0.6939216610144741,0.7216048314153651,0.149733155198708,0.6776784547640136,-0.27066355909528994,0.7482629567120344,0.15950065288412163,24.958462284828343,False,False,"H1,H2,OOS,DD",False,False,-0.28282498289388913,-0.13017150607758243,-0.15037452440955612,-0.1150739259732407,0.05478908924059843
u56,0.05,ADAPT63,lit,10.0,ADAPT63|m0.05|lit,,2.0144176616355036,1.9727416084703762,0.7345370129346961,0.1969373922811175,0.862728963886642,-0.26494015328003573,0.890164949092279,0.8394111695069869,0.18519593316531457,0.800880126862384,-0.26494015328003506,0.9462262727315728,0.21132119353263423,23.148949596779914,False,False,"H1,OOS,DD",False,False,-0.05086225256318477,0.035597972536427935,0.047588791609982306,-0.08185907219394026,0.10660962988911103
u56,0.05,ADAPT63,lit,25.0,ADAPT63|m0.05|lit,,2.0144176616355036,1.9727416084703762,0.7345370129346961,0.15611333373976644,0.7195281021097776,-0.28898376530160086,0.750894842376374,0.6923590517217416,0.14287642495835806,0.6565288841380574,-0.2889837653016001,0.8041970527204637,0.17235888867854543,23.148949596779914,False,False,"H1,H2,OOS,DD",False,False,-0.19673945460718756,-0.10293389971720635,-0.09444042840112676,-0.08813721797076121,0.06764732503502223
u56,0.05,ADAPT63,norm,10.0,ADAPT63|m0.05|norm,,2.0144176616355036,1.9727416084703762,0.7504170634718695,0.19754970385216475,0.8574065490271643,-0.2597998250093242,0.8378368347422906,0.8767443620072092,0.19846375508324576,0.8393067389825797,-0.25979982500932386,0.8826595758148738,0.19644302833930105,24.69675367908104,False,False,"H1,OOS,DD",False,False,-0.13356612105881105,-0.009494865060412083,-0.015977905306716722,-0.10035559557129989,0.09173146469577785
u56,0.05,ADAPT63,norm,25.0,ADAPT63|m0.05|norm,,2.0144176616355036,1.9727416084703762,0.7504170634718695,0.1540156365006906,0.7063795625123471,-0.27066355909529016,0.6906234601819785,0.7219712654398247,0.1527573721101949,0.6864105718069577,-0.2706635590952897,0.7337979171139472,0.155542190120608,24.69675367908104,False,False,"H1,H2,OOS,DD",False,False,-0.28282498289388913,-0.15816263326695557,-0.16483956400764332,-0.1150739259732407,0.05083062647708479
u56,0.1,FIX,lit,10.0,FIX|m0.10|lit,4.0,4.0,3.932191935120523,0.7377349512075754,0.1996586541178802,1.0519223604509254,-0.23812385035473016,1.0946921600565163,1.023995967720485,0.20554390320503924,1.0221819370009306,-0.23812385035473038,1.101408894441284,0.19256563908599578,18.614395598169168,False,False,DD,False,False,0.005522874113793486,0.2928931654523317,0.20277141331969362,-0.012364169741561931,0.08785407544247258
u56,0.1,FIX,lit,25.0,FIX|m0.10|lit,4.0,4.0,3.932191935120523,0.7377349512075754,0.16663366570638205,0.9049626439430485,-0.24577359926854547,0.9403567808346722,0.8821256780048764,0.17169543780195062,0.8816357167974807,-0.24577359926854547,0.9443580268761544,0.16052931281675198,18.614395598169168,False,False,"H1,OOS,DD",False,False,-0.16685142229316996,0.15056778363920809,0.04572054575456397,-0.026621392760242862,0.05581774917322878
u56,0.1,FIX,norm,10.0,FIX|m0.10|norm,4.0,4.0,3.932191935120523,0.750449084617697,0.19494975553492955,1.0141260874026305,-0.242992366770724,1.0694534346973736,0.9763356720377309,0.20021133575319228,0.981820595790861,-0.24299236677072433,1.0681359539022224,0.1886048895729009,19.83509062089424,False,False,DD,False,False,-0.02933041110868151,0.2617978929097309,0.1694984727806319,-0.02075866833509518,0.08389332592937769
u56,0.1,FIX,norm,25.0,FIX|m0.10|norm,4.0,4.0,3.932191935120523,0.750449084617697,0.15992476052399995,0.860679253486346,-0.25080339604054525,0.908173753533626,0.828179002659975,0.1641083938958141,0.8346146335465046,-0.2508033960405447,0.904597233315096,0.15487534894205135,19.83509062089424,False,False,"H1,H2,OOS,DD",False,False,-0.20650171709412923,0.11125567259923952,0.00595975219350553,-0.038286790892326866,0.05016378529852815
u56,0.1,FIXIS,lit,10.0,FIXIS|m0.10|lit,4.0,4.0,3.932191935120523,0.7377349512075754,0.1996586541178802,1.0519223604509254,-0.23812385035473016,1.0946921600565163,1.023995967720485,0.20554390320503924,1.0221819370009306,-0.23812385035473038,1.101408894441284,0.19256563908599578,18.614395598169168,False,False,DD,False,False,0.005522874113793486,0.2928931654523317,0.20277141331969362,-0.012364169741561931,0.08785407544247258
u56,0.1,FIXIS,lit,25.0,FIXIS|m0.10|lit,4.0,4.0,3.932191935120523,0.7377349512075754,0.16663366570638205,0.9049626439430485,-0.24577359926854547,0.9403567808346722,0.8821256780048764,0.17169543780195062,0.8816357167974807,-0.24577359926854547,0.9443580268761544,0.16052931281675198,18.614395598169168,False,False,"H1,OOS,DD",False,False,-0.16685142229316996,0.15056778363920809,0.04572054575456397,-0.026621392760242862,0.05581774917322878
u56,0.1,FIXIS,norm,10.0,FIXIS|m0.10|norm,4.0,4.0,3.932191935120523,0.750449084617697,0.19494975553492955,1.0141260874026305,-0.242992366770724,1.0694534346973736,0.9763356720377309,0.20021133575319228,0.981820595790861,-0.24299236677072433,1.0681359539022224,0.1886048895729009,19.83509062089424,False,False,DD,False,False,-0.02933041110868151,0.2617978929097309,0.1694984727806319,-0.02075866833509518,0.08389332592937769
u56,0.1,FIXIS,norm,25.0,FIXIS|m0.10|norm,4.0,4.0,3.932191935120523,0.750449084617697,0.15992476052399995,0.860679253486346,-0.25080339604054525,0.908173753533626,0.828179002659975,0.1641083938958141,0.8346146335465046,-0.2508033960405447,0.904597233315096,0.15487534894205135,19.83509062089424,False,False,"H1,H2,OOS,DD",False,False,-0.20650171709412923,0.11125567259923952,0.00595975219350553,-0.038286790892326866,0.05016378529852815
u56,0.1,ADAPT,lit,10.0,ADAPT|m0.10|lit,,3.820680333408425,3.7393557107456634,0.7353448015559952,0.1907604284902158,0.9756423055163519,-0.2597998250093243,1.0734051173193246,0.8952788084713038,0.17812555943268737,0.8903853140834304,-0.25979982500932397,1.0934242594109844,0.20625256244048318,21.704246300497974,False,False,DD,False,False,0.049299048664365186,0.25551859770019636,0.19478677828939395,-0.07617755232150789,0.10154099879695998
u56,0.1,ADAPT,lit,25.0,ADAPT|m0.10|lit,,3.820680333408425,3.7393557107456634,0.7353448015559952,0.15263233936748444,0.8122406740371717,-0.2807473155386083,0.9066429869590067,0.733974701441458,0.1393562271852924,0.7299928309921694,-0.28074731553860743,0.9253636622562157,0.16892725916102935,21.704246300497974,False,False,"H1,H2,OOS,DD",False,False,-0.12649746559773944,0.09531708043817666,0.026726181134625215,-0.08216490959637499,0.06421569551750615
