A,n_pairs,d_oosMaxDD_pp,d_oosCAGR_pp,d_oosSharpe,d_fullMaxDD_pp,d_turn_py,d_refresh_py,d_crashgross,keep4b,keep4b_sym,L5_neg,L5_neg_sym,dd_per_cagr
1,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,52,2,2,
2,60,0.707717229893936,-0.20130722259960968,0.009441979807387313,0.707717229893934,0.10324213711799456,3.7071043165467628,-0.020112949435739897,59,52,0,2,3.5156077400240693
4,60,0.8096003526543077,-0.2918007737173889,0.009951120586733597,0.8096003526543117,0.15575185719370122,7.212140287769784,-0.026228029392454874,59,52,0,2,2.7744969361815723
8,60,0.9383228952626379,-0.3152881536020476,0.010961597485626421,0.9383228952626385,0.18084687476639033,10.268660071942444,-0.030814410279785324,58,52,1,2,2.976080403093661
16,60,0.8184621799191643,-0.3489702993822645,0.00908031511415523,0.818462179919166,0.1923374775975296,12.926708633093522,-0.0317789765094584,58,52,0,2,2.3453634345615617
DOWNONLY,60,18.18934349027596,-15.398419870987192,,18.18934349027596,-1.570826776304221,-11.972077338129491,-0.23974679636242024,0,52,60,2,1.181247403478539
UPONLY,60,-11.162483835364819,1.8971589874725727,-0.12444884374563672,-11.162483835364814,-0.7850912148478911,-11.731294964028779,0.6966759472642807,0,52,0,2,
DOWNONLY_TD,60,-0.34739957360780466,0.5449495332078691,0.013561585878681781,-0.3473995736078028,0.02761561243070445,26.140467625899284,-0.016071470264826707,55,52,0,2,
A1_TD,60,-0.32275780822500283,0.7431886248046564,0.010090083902822292,-0.32275780822501304,0.21310648177052957,31.98911870503597,-0.015915936819139758,58,52,0,2,
