crash,bar,base,survivors,share
CRASH_PT,FULL,187,187,1.0
CRASH_PT,ABS,187,187,1.0
CRASH_PT,OWN(CRASH_PT),187,77,0.4117647058823529
CRASH_WIDE,FULL,187,187,1.0
CRASH_WIDE,ABS,187,187,1.0
CRASH_WIDE,OWN(CRASH_WIDE),187,86,0.45989304812834225
