panel,cons,key,dir,S,cost,Sharpe,null_mean,null_sd,null_max,excess,pct,p,z
U56,CANDq,COMP,KEEPTOP,0.4,0.0,1.1460544794761431,1.0474099806582975,0.11858842054467177,1.2841663057494206,0.09864449881784565,76.66666666666667,0.23333333333333334,0.8318223513288692
U56,CANDq,COMP,KEEPBOT,0.4,0.0,0.9536708101368375,1.0474099806582975,0.11858842054467177,1.2841663057494206,-0.09373917052145997,26.666666666666668,0.7333333333333333,-0.7904580404302527
U56,CANDq,MOM,KEEPTOP,0.4,0.0,1.1010969835798319,1.0474099806582975,0.11858842054467177,1.2841663057494206,0.05368700292153439,68.33333333333333,0.31666666666666665,0.4527170753683385
U56,CANDq,MOM,KEEPBOT,0.4,0.0,0.880986006041976,1.0474099806582975,0.11858842054467177,1.2841663057494206,-0.16642397461632152,5.0,0.95,-1.4033745778208615
U56,CANDq,R6,KEEPTOP,0.4,0.0,1.1596608903890502,1.0474099806582975,0.11858842054467177,1.2841663057494206,0.11225090973075269,78.33333333333333,0.21666666666666667,0.94655877205539
U56,CANDq,R6,KEEPBOT,0.4,0.0,0.8665332918245705,1.0474099806582975,0.11858842054467177,1.2841663057494206,-0.18087668883372698,3.3333333333333335,0.9666666666666667,-1.5252474735979091
U56,CANDq,R3,KEEPTOP,0.4,0.0,1.1027697583911378,1.0474099806582975,0.11858842054467177,1.2841663057494206,0.05535977773284029,70.0,0.3,0.4668227933096258
U56,CANDq,R3,KEEPBOT,0.4,0.0,0.9499644363363844,1.0474099806582975,0.11858842054467177,1.2841663057494206,-0.0974455443219131,23.333333333333332,0.7666666666666667,-0.8217121357578565
U56,CANDq,LOWVOL,KEEPTOP,0.4,0.0,0.9307197862247726,1.0474099806582975,0.11858842054467177,1.2841663057494206,-0.11669019443352491,15.0,0.85,-0.9839931579961316
U56,CANDq,LOWVOL,KEEPBOT,0.4,0.0,1.134795465190734,1.0474099806582975,0.11858842054467177,1.2841663057494206,0.08738548453243644,76.66666666666667,0.23333333333333334,0.7368804148927736
U56,CANDq,COMP,KEEPTOP,0.4,5.0,1.0904458008095084,0.998626943522096,0.1201483304230413,1.2370907048207416,0.09181885728741235,76.66666666666667,0.23333333333333334,0.7642125110196613
U56,CANDq,COMP,KEEPBOT,0.4,5.0,0.8215087682604241,0.998626943522096,0.1201483304230413,1.2370907048207416,-0.17711817526167195,3.3333333333333335,0.9666666666666667,-1.474162600828828
U56,CANDq,MOM,KEEPTOP,0.4,5.0,1.0527617300709622,0.998626943522096,0.1201483304230413,1.2370907048207416,0.054134786548866165,68.33333333333333,0.31666666666666665,0.4505662821801853
