band,column,window,cad,n_cells,pooled_mean,mean_inside,cov_m0.5,cov_m0.75,cov_m1.0,cov_m1.5,cov_m2.0,cov_m3.0,m_for_50,m_for_66.7,m_for_80,m_for_90,m_for_95
"ANCHOR [-0.70,-0.20]",resid0_pp,FULL,D,27,-0.2438303621271474,True,0.3333333333333333,0.4444444444444444,0.48148148148148145,0.7777777777777778,0.9259259259259259,1.0,1.5,1.5,2.0,2.0,3.0
"ANCHOR [-0.70,-0.20]",resid0_pp,FULL,W,27,-0.37633150160070916,True,0.25925925925925924,0.2962962962962963,0.48148148148148145,0.8148148148148148,0.9259259259259259,0.9629629629629629,1.5,1.5,1.5,2.0,3.0
"ANCHOR [-0.70,-0.20]",resid0_pp,FULL,M,27,-0.3031737559970377,True,0.37037037037037035,0.48148148148148145,0.5555555555555556,0.7777777777777778,1.0,1.0,1.0,1.5,2.0,2.0,2.0
"ANCHOR [-0.70,-0.20]",resid0_pp,FULL,Q,27,-0.4627925843606193,True,0.3333333333333333,0.48148148148148145,0.5185185185185185,0.6296296296296297,0.8888888888888888,1.0,1.0,2.0,2.0,3.0,3.0
"ANCHOR [-0.70,-0.20]",resid0_pp,FULL,A,27,-0.03980005192353085,False,0.0,0.0,0.07407407407407407,0.6296296296296297,0.8518518518518519,0.9259259259259259,1.5,2.0,2.0,3.0,
"ANCHOR [-0.70,-0.20]",resid0_pp,FULL,POOLED,135,-0.2851856512018089,True,0.25925925925925924,0.34074074074074073,0.4222222222222222,0.725925925925926,0.9185185185185185,0.9777777777777777,1.5,1.5,2.0,2.0,3.0
"ANCHOR [-0.70,-0.20]",resid0_pp,IS,D,27,-0.27152885528149,True,0.1111111111111111,0.14814814814814814,0.25925925925925924,0.5185185185185185,0.7777777777777778,0.9259259259259259,1.5,2.0,3.0,3.0,
"ANCHOR [-0.70,-0.20]",resid0_pp,IS,W,27,-0.2810819756348706,True,0.14814814814814814,0.18518518518518517,0.2222222222222222,0.48148148148148145,0.5925925925925926,0.9629629629629629,2.0,3.0,3.0,3.0,3.0
"ANCHOR [-0.70,-0.20]",resid0_pp,IS,M,27,-0.09160183204463686,False,0.14814814814814814,0.25925925925925924,0.25925925925925924,0.4074074074074074,0.7037037037037037,0.8888888888888888,2.0,2.0,3.0,,
"ANCHOR [-0.70,-0.20]",resid0_pp,IS,Q,27,-0.24997852075499388,True,0.3333333333333333,0.4074074074074074,0.5555555555555556,0.6666666666666666,0.8888888888888888,1.0,1.0,2.0,2.0,3.0,3.0
"ANCHOR [-0.70,-0.20]",resid0_pp,IS,A,27,-0.2743271483790205,True,0.25925925925925924,0.3333333333333333,0.48148148148148145,0.5925925925925926,0.8148148148148148,0.9259259259259259,1.5,2.0,2.0,3.0,
"ANCHOR [-0.70,-0.20]",resid0_pp,IS,POOLED,135,-0.23370366641900236,True,0.2,0.26666666666666666,0.35555555555555557,0.5333333333333333,0.7555555555555555,0.9407407407407408,1.5,2.0,3.0,3.0,
"ANCHOR [-0.70,-0.20]",resid0_pp,OOS,D,27,-0.20781247367846856,True,0.2962962962962963,0.37037037037037035,0.4074074074074074,0.5925925925925926,0.8518518518518519,1.0,1.5,2.0,2.0,3.0,3.0
"ANCHOR [-0.70,-0.20]",resid0_pp,OOS,W,27,-0.4350963243338058,True,0.37037037037037035,0.48148148148148145,0.6296296296296297,0.8148148148148148,0.9259259259259259,0.9629629629629629,1.0,1.5,1.5,2.0,3.0
"ANCHOR [-0.70,-0.20]",resid0_pp,OOS,M,27,-0.4431677312362367,True,0.2222222222222222,0.37037037037037035,0.4074074074074074,0.7777777777777778,0.9259259259259259,1.0,1.5,1.5,2.0,2.0,3.0
"ANCHOR [-0.70,-0.20]",resid0_pp,OOS,Q,27,-0.5799506568434247,True,0.18518518518518517,0.2222222222222222,0.3333333333333333,0.48148148148148145,0.6666666666666666,0.8888888888888888,2.0,3.0,3.0,,
"ANCHOR [-0.70,-0.20]",resid0_pp,OOS,A,27,0.10021150711753332,False,0.037037037037037035,0.07407407407407407,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.7777777777777778,2.0,3.0,,,
"ANCHOR [-0.70,-0.20]",resid0_pp,OOS,POOLED,135,-0.3131631357948805,True,0.2222222222222222,0.3037037037037037,0.37777777777777777,0.6,0.7851851851851852,0.9259259259259259,1.5,2.0,3.0,3.0,
