panel,dial,pass4b,pass4a,points
B136,band,0,0,38
B136,gross,14,0,56
B136,n,0,0,23
SMALL439,band,0,5,38
SMALL439,gross,0,0,56
SMALL439,n,0,0,23
U56,band,0,0,38
U56,gross,18,0,56
U56,n,0,0,23
