panel,chooser,book,n_cand,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_H1,OOS_H2,pass4a,pass4b,leg_H1,leg_H2,leg_DDCAP,leg_CAGRFLOOR
U56,IS_SHARPE,TREND/AGG/th=0.2/g=1.00,112,0.16406290881303986,1.074993590582454,-0.29178987659422995,1.1835418273764142,0.955226231376049,False,False,True,True,False,True
U56,IS_DDCAP,TREND/AGG/th=0.2/g=0.75,92,0.12298031881009464,1.0756008346911132,-0.22525880022924205,1.1864808431482823,0.9532633964170458,False,False,True,True,False,True
U56,IS_PROXYCAP[ROLL@0.60],TREND/AGG/th=0.2/g=0.50,81,0.08184793583964622,1.0759212198185824,-0.15455476862943007,1.189090429533697,0.9510690577965135,False,False,True,True,True,False
U56,IS_PROXYCAP[ROLL@IScap],TREND/AGG/th=0.2/g=0.75,93,0.12298031881009464,1.0756008346911132,-0.22525880022924205,1.1864808431482823,0.9532633964170458,False,False,True,True,False,True
U56,IS_DDWINCAP[circular],TREND/AGG/th=0.2/g=0.50,74,0.08184793583964622,1.0759212198185824,-0.15455476862943007,1.189090429533697,0.9510690577965135,False,False,True,True,True,False
B136,IS_SHARPE,TREND/AGG/th=0.2/g=1.00,112,0.1584990073152861,1.0584300924356387,-0.25585925708014345,1.2311699025411782,0.8732056198717876,False,False,True,True,False,True
B136,IS_DDCAP,TREND/AGG/th=0.2/g=0.75,86,0.11886710365052267,1.0598639694562264,-0.19528628767882183,1.235177605240226,0.8725447319410997,False,True,True,True,True,True
B136,IS_PROXYCAP[ROLL@0.60],TREND/AGG/th=0.2/g=0.50,76,0.07914849656856138,1.0609951515443357,-0.13245757618114595,1.238782866813651,0.8716574783917194,False,False,True,True,True,False
B136,IS_PROXYCAP[ROLL@IScap],TREND/AGG/th=0.2/g=0.75,88,0.11886710365052267,1.0598639694562264,-0.19528628767882183,1.235177605240226,0.8725447319410997,False,True,True,True,True,True
B136,IS_DDWINCAP[circular],TREND/AGG/th=0.2/g=0.50,69,0.07914849656856138,1.0609951515443357,-0.13245757618114595,1.238782866813651,0.8716574783917194,False,False,True,True,True,False
SMALL,IS_SHARPE,VOL/AGG/th=0.2/g=1.00,112,0.12515287670468012,0.6734650146176532,-0.3712757597703241,0.9323957683597285,0.4467370725663755,False,False,False,False,False,True
SMALL,IS_DDCAP,VOL/AGG/th=0.2/g=0.25,56,0.03425303283636416,0.6794269035388246,-0.10452349126370108,0.9539778870038756,0.44145934798736647,False,False,False,False,True,False
SMALL,IS_PROXYCAP[DOWN@0.60],VOL/AGG/th=0.2/g=0.50,87,0.06672214720082326,0.6776944630224078,-0.20096089142787243,0.9471332232495882,0.4434795508977468,False,False,False,False,True,False
SMALL,IS_PROXYCAP[DOWN@IScap],VOL/AGG/th=0.2/g=0.25,57,0.03425303283636416,0.6794269035388246,-0.10452349126370108,0.9539778870038756,0.44145934798736647,False,False,False,False,True,False
SMALL,IS_DDWINCAP[circular],VOL/AGG/th=0.2/g=0.75,91,0.09711968549416339,0.675707221087503,-0.2897396065892398,0.9399402445474135,0.44524233624269727,False,False,False,False,False,False
