output,declared_class,cell,n_units,n_with_verdict,n_states_L,frac_states_L
O_MARGIN,OBS,1_STRUCTURALLY_L_FREE,1189,675,10,0.008410428931875526
O_REACH,OBS,1_STRUCTURALLY_L_FREE,1004,1003,16,0.01593625498007968
O_LEVEL,OBS,1_STRUCTURALLY_L_FREE,997,468,18,0.01805416248746239
B_RESOLVED,BAR,3_BAR_L_DEPENDENT,595,589,38,0.06386554621848739
O_PICK,OBS,1_STRUCTURALLY_L_FREE,463,254,17,0.0367170626349892
B_NULLMED,BAR,3_BAR_L_DEPENDENT,110,66,12,0.10909090909090909
B_Q95,BAR,3_BAR_L_DEPENDENT,100,30,1,0.01
B_PPICK,BAR,3_BAR_L_DEPENDENT,48,39,9,0.1875
B_GAPEXCEEDS,BAR,3_BAR_L_DEPENDENT,36,22,1,0.027777777777777776
B_PCTRANK,BAR,3_BAR_L_DEPENDENT,28,16,1,0.03571428571428571
B_SD,BAR,3_BAR_L_DEPENDENT,28,19,1,0.03571428571428571
B_BOOT95,BAR,3_BAR_L_DEPENDENT,19,11,3,0.15789473684210525
B_MODALRUNG,BAR,3_BAR_L_DEPENDENT,12,6,3,0.25
B_Q05,BAR,3_BAR_L_DEPENDENT,9,9,0,0.0
B_RECRANGE,BAR,3_BAR_L_DEPENDENT,7,4,0,0.0
O_GAPRATIO,OBS,1_STRUCTURALLY_L_FREE,1,1,0,0.0
B_MODALMATCH,BAR,3_BAR_L_DEPENDENT,0,0,0,
B_PMAX,BAR,3_BAR_L_DEPENDENT,0,0,0,
