path,k,N,share,family,quote
research/CHANGELOG.md,341,1209,0.28205128205128205,UNTYPED,"341 of 1,209
  committed scripts"
research/CHANGELOG.md,219,341,0.6422287390029325,UNTYPED,219 of 341 scripts
research/LEADERBOARD.md,0,292,0.0,UNTYPED,0 of 292 files
research/LEADERBOARD.md,244,258,0.9457364341085271,UNTYPED,244 of 258 files
research/LEADERBOARD.md,7,361,0.019390581717451522,UNTYPED,7 of 361 scripts
research/LEADERBOARD.md,2,379,0.005277044854881266,UNTYPED,2 of 379 files
research/LEADERBOARD.md,7,361,0.019390581717451522,UNTYPED,7 of 361 scripts
research/LEADERBOARD.md,53,68,0.7794117647058824,UNTYPED,53 of 68 files
research/LEADERBOARD.md,480,497,0.96579476861167,UNTYPED,480 of 497 files
research/LEADERBOARD.md,4,9,0.4444444444444444,UNTYPED,4 of 9 scripts
research/LEADERBOARD.md,87,91,0.9560439560439561,UNTYPED,87 of 91 files
research/LEADERBOARD.md,2,783,0.002554278416347382,UNTYPED,2 of 783 files
research/LEADERBOARD.md,20,783,0.02554278416347382,GRIDS,20/783 files
research/LEADERBOARD.md,170,783,0.21711366538952745,UNTYPED,170 of 783 files
research/LEADERBOARD.md,50,75,0.6666666666666666,UNTYPED,50 of 75 files
research/LEADERBOARD.md,88,115,0.7652173913043478,UNTYPED,88 of 115 files
research/LEADERBOARD.md,4,4,1.0,UNTYPED,4 of 4 files
research/LEADERBOARD.md,4,4,1.0,GRIDS,4 of 4 files
research/LEADERBOARD.md,28,242,0.11570247933884298,ARMS,28 of 242 files
research/LEADERBOARD.md,60,108,0.5555555555555556,UNTYPED,60 of 108 files
research/LEADERBOARD.md,68,71,0.9577464788732394,ARMS,68/71 files
research/LEADERBOARD.md,52,65,0.8,ARMS,52/65 files
research/LEADERBOARD.md,72,75,0.96,ARMS,72/75 files
research/LEADERBOARD.md,8,24,0.3333333333333333,UNTYPED,8 of 24 files
research/LEADERBOARD.md,29,68,0.4264705882352941,UNTYPED,29 of 68 scripts
research/LEADERBOARD.md,25,59,0.423728813559322,UNTYPED,25 of 59 files
research/LEADERBOARD.md,19,39,0.48717948717948717,UNTYPED,19 of 39 files
research/LEADERBOARD.md,7,45,0.15555555555555556,UNTYPED,7 of 45 files
research/LEADERBOARD.md,5,19,0.2631578947368421,UNTYPED,5 of 19 files
research/LEADERBOARD.md,12,19,0.631578947368421,UNTYPED,12 of 19 files
research/LEADERBOARD.md,57,194,0.29381443298969073,ARMS,57 of 194 files
research/LEADERBOARD.md,102,240,0.425,UNTYPED,102/240 files
research/LEADERBOARD.md,76,102,0.7450980392156863,BOOKS,76 of 102 files
research/LEADERBOARD.md,3,7,0.42857142857142855,UNTYPED,3 of 7 files
research/LEADERBOARD.md,81,446,0.18161434977578475,UNTYPED,81 of 446 scripts
research/LEADERBOARD.md,1,3784,0.0002642706131078224,UNTYPED,"1 of 3,784 files"
