pool_def,min_pool,n_wins,n_lift_nonpositive,share_lift_nonpositive,n_indistinguishable,share_indistinguishable,n_unfalsifiable,share_unfalsifiable
ALL,3,3415,949,0.277891654465593,3383,0.9906295754026354,1860,0.5446559297218155
ALL,5,3262,885,0.2713059472716125,3230,0.9901900674432863,1707,0.523298589822195
ALL,8,2347,654,0.2786536003408607,2316,0.9867916489135066,792,0.33745206646783127
ALL,12,2143,576,0.268782081194587,2112,0.9855342977134858,588,0.2743817078861409
LIVE,3,3231,916,0.283503559269576,3121,0.9659548127514701,1848,0.5719591457753017
LIVE,5,2692,710,0.2637444279346211,2659,0.9877414561664191,1309,0.4862555720653789
LIVE,8,2163,584,0.26999537679149327,2131,0.9852057327785483,780,0.3606102635228849
LIVE,12,1959,506,0.25829504849412965,1927,0.9836651352730985,576,0.29402756508422667
