stem,n_pools,n_published,src,H_mean_med,H_mean_max,H_ctl_med,H_ctl_max,share_H_le_005,share_H_le_010,claim
2026-09-08_census-the-record-s-other-DOLLAR-floors-and-caps_C,16,0,none,0.029414590362395965,0.07135629805860011,,,0.5625,1.0,"| 2026-09-08 | 428 rule-8 walk-forward — floor LEVEL chosen on 2010-2016 only, 2017-2026 read once (64 cells) | n/a | n/a | n/a | n/a | no-floor control OOS 0.587 (SMALL439) / 1.160 (U56); SPY OOS 0.882 | **EVERY liquidi"
2026-09-08_the-liquidity-FLOOR-is-in-the-eligibility-mask-not-a-tilt_C,13,0,recon,0.02649884543418557,0.055334465358150675,0.04719626086867518,0.10733348300243606,0.8461538461538461,1.0,"| 2026-09-08 | 425 S4 R7 — the rule-8 walk-forward row (32 SMALL439 cells, half of them the flagged floor) | n/a | n/a | n/a | n/a | SPY OOS 0.882; do-nothing; constant b=0.03 | **MOVES on every level, changes no conclus"
2026-09-07_position-count-cost-and-liquidity_cloud,10,0,none,0.14764298055391828,0.1733220770876791,,,0.0,0.0,"| 2026-09-07 | 45 rule-8 walk-forward, lag on 2008-2016, 2017-2026 read once, 8 cells | n/a | n/a | n/a | n/a | lag=1 anchor OOS 1.207/1.168/1.050/0.852 (U56), 0.941/0.892/0.743/0.496 (B136); RULES v2 OOS 1.000-1.297; SP"
2026-09-06_is-the-soft-200d-tilt-inside-the-score-doing-the-gate-s-job_cloud,61,12,published,0.02110057586834646,0.041654914009414234,0.0,0.011074608172729317,1.0,1.0,"| 2026-09-06 | 289 rule-8 walk-forward, (t,n) on <=2016, 2017-2026 read once, 12 cells | n/a | n/a | n/a | n/a | anchor (t=0.50, n=20) OOS 1.0389; SPY OOS 0.882 | **Chooser loses 12 of 12**: mean OOS Sharpe 0.9539 vs 1.0"
2026-09-05_vol-threshold-sweep-on-ewall_B,0,0,none,,,,,,,"| 2026-09-05 | 95 rule-8 walk-forward over 10 (theta, conv) points x 2 universes x 2 costs | n/a | n/a | n/a | n/a | SPY OOS 15.5%/0.882/-33.7%; v1 OOS 7.7%/0.747 (u56), 5.9%/0.576 (broad) | **0 of 8 selections pick 0.60"
2026-09-05_shallow-window-prices-are-not-prices_C,17,0,recon,0.0,1.1102230246251565e-16,-0.00705616743121551,0.0667889432181572,1.0,1.0,"| 2026-09-05 | 128 rule-8 walk-forward, S0 control / S1 idea 94 selector on full IS / S2 same on the DEEPEST IS sub-window (L=4), 6 cells | OOS 12.04% / 9.92% / 9.16% | OOS **0.937 / 0.885 / 0.885** | OOS -22.5% / -19.0%"
2026-09-05_is-Calmar-immunity-general_C,102,0,none,0.23159801227266827,0.5190926133427318,,,0.00980392156862745,0.0784313725490196,"| 2026-09-05 | 141 rule 8 walk-forward: 8 selectors x 4 tightness, IS<=2016 / OOS>=2017, FALLBACK convention, 18 cells x 4000 draws | OOS **7.1%-10.2%** (K_RANDOM 9.3-10.2%) | OOS **0.698-0.773** (K_RANDOM **0.738-0.753*"
2026-09-05_quote-the-lift-not-the-rate_cloud,118,0,none,0.23159801227266827,0.5190926133427318,,,0.00847457627118644,0.06779661016949153,"| 2026-09-05 | 149 rule 8 walk-forward: S0 do-nothing / S1 IS-Sharpe / S2 RAW cross-cell pass count / S3 LIFT-debiased / S4 random, IS<=2016 / OOS>=2017, 18 cells | OOS S0 **10.65%**, S1 9.06%, S2=S3 7.62%, S4 10.14% | O"
2026-09-05_quote-the-lift-not-the-rate_cloud,118,0,none,0.23159801227266827,0.5190926133427318,,,0.00847457627118644,0.06779661016949153,"| 2026-09-05 | 149 quote-the-lift-not-the-rate (verdict) | n/a | n/a | n/a | n/a | n/a | **ANSWERED — artifact CONFIRMED and generalised, prescription KILLED.** All four pre-checks exact (engine 0.000e+00; 306/306 to 2.2"
2026-09-05_candidate-count-vs-dispersion_B,5,0,none,0.2753300984450656,0.33766771705875687,,,0.0,0.0,"| 2026-09-05 | 78 rule 8 walk-forward: S0 do-nothing / S1 IS-Sharpe / S2 DISPERSION / S3 COUNT / S4 random, IS<=2016, OOS 2017-2026, n=20 pre-registered | OOS S0 **12.49%**, S1 8.37%, S2 9.03%, S3 12.00%, S4 10.30% | OOS"
2026-09-05_where-does-the-POS-tilt-stop-transferring_C,58,0,recon,0.1338338264894307,0.910690681787943,0.03235100774584465,0.45703472203448103,0.1896551724137931,0.39655172413793105,| 2026-09-05 | 162C rule 8 walk-forward — SIGN selector vs IS-Sharpe vs do-nothing (22 panel x cost cells) | 8.1% | 0.582 | -33.1% | n/a | S1 IS-Sharpe 0.5914; S4 do-nothing NONE/n=20 0.5827 (OOS MaxDD -29.8%); S3 live I
2026-09-05_the-sharpe-vs-4b-margin-sign-flip_C,74,0,none,0.16896897346275597,0.33586449196700174,,,0.1891891891891892,0.3783783783783784,"| 2026-09-05 | 174C rule 8 W2 THE PICK — best IS Sharpe among IS-passers at each cell, read ONCE on OOS 2017-> ; incumbent-cell pick B136k80d13 g=0.70 f=0.30 | OOS 8.03% | OOS **0.9804** | OOS -12.93% | n/a | do-nothing "
2026-09-05_does-share-price-any-key-or-only-vol_B,114,0,none,0.09340114279595213,0.39702311225571235,,,0.18421052631578946,0.5526315789473685,"| 2026-09-05 | 158B both KEEP paths + rule 8 (m, key, dir chosen ≤2016-12-31, read ONCE on 2017→, 6 cells) | S2 do-nothing OOS 9.61% | **0.8149** | -21.5% | n/a | S1 all-91-arms 0.7230 (10.57%/−22.8%); S4 untilted-only 0"
2026-09-05_is-the-gross-ladder-worth-running-at-all_B,177,54,published,0.10171922146266188,0.26848266238865615,0.3206813719676896,0.7617206137530532,0.10734463276836158,0.4971751412429379,"| 2026-09-05 | 184B rule 8 walk-forward — g chosen ≤2016-12-31, read ONCE on 2017→, 54 books, four arms | FIX075 OOS 8.91% | **0.7383** | −22.85% | n/a | ISSHARPE 13.29%/0.7380/−34.91%; IS4B 8.70%/0.7381/−22.56%; ORACLE "
2026-09-05_the-gross-ladder-is-not-a-rescaling_C,20,0,none,0.199481011527127,0.2172749800671897,,,0.0,0.0,"| 2026-09-05 | 176 rule 8 — gross chosen ≤2016-12-31, read ONCE on 2017–2026, 53 books; GENUINE IS-Sharpe argmax vs the do-nothing constant m=0.75 | 13.00% | 0.9633 | -22.25% | n/a | do-nothing m=0.75: 9.96% / **0.9638**"
2026-09-05_does-a-harmful-instrument-clear-more-often-than-a-helpful-one_B,57,0,recon,0.08740373230917542,0.6270170449424325,0.4304273688701561,0.6625571622077491,0.2631578947368421,0.5614035087719298,"| 2026-09-05 | 192 rule-8 walk-forward of a SIGN-AWARE clause gate (params ≤2016-12-31, 2017-2026 read once; 24 cells x 5 selectors) | 10.22% | 0.77 | -24.2% | see result.md | RULES v1 OOS 0.4619 (4.80%/-25.3%); SPY OOS "
2026-09-05_does-the-leak-free-selector-edge-survive-a-third-corpus_cloud,722,0,none,0.03547813675458139,0.7121951876080077,,,0.5844875346260388,0.6620498614958449,"| 2026-09-05 | 196 the selector is skilled, the pool is not | n/a | n/a | n/a | S2LF-RANDOM +0.0110 (t +3.78, 193W/147L); oracle agreement 52.9% vs 16.7% chance | mean dSharpe of all 4140 real arms negative, monotone in "
2026-09-05_is-the-IS-4b-screen-a-one-cell-accident_C,144,0,recon,0.0692723347353541,0.4400333663934308,0.05529186491926741,0.3028641159445954,0.3888888888888889,0.6805555555555556,"| 2026-09-05 | 178 rule 8 — IS-window 4b screen at CF_IS(CAP) then IS-Sharpe argmax vs the do-nothing IS-Sharpe control; everything chosen ≤2016-12-31, 2017–2026 read once, paired by cell | screen mean OOS Sharpe 0.7802 "
2026-09-05_abstention-is-the-only-thing-that-ever-helps_cloud,0,0,none,,,,,,,"| 2026-09-05 | 194 rule 8 — every selector, gate and abstention fitted on IS (≤2016-12-31), 2017–2026 read ONCE, 54 cells, 27 arms | S0 10.31% | S0 0.7195 | S0 −25.71% | see .gates.csv | S0 do-nothing 0.7195; SPY OOS 15."
2026-09-05_the-on-share-column_cloud,373,0,none,0.1325671659146277,0.8139325016290132,,,0.2680965147453083,0.38605898123324395,"| 2026-09-05 | 191 rule-8 walk-forward (overlay chosen <=2016-12-31, 2017-2026 read once; 18 cells x 6 selectors) | n/a | n/a | n/a | S0 do-nothing **0.7766**; S4 on-share-gated -0.0148 (t -1.38); S1 IS-argmax -0.0361; S"
2026-09-05_the-margin-column-instead-of-two_cloud,18,0,none,0.32649039346694253,0.35954937030604606,,,0.2222222222222222,0.2222222222222222,"| 2026-09-05 | 201 rule 8, all 8 selectors, 18 cells (3 panels x 3 families x 2 cost) | n/a | n/a | n/a | S0 do-nothing **0.7766**; S6 on-share-only +0.0053 (t +0.74); S1 IS-argmax -0.0361; S2 MARGIN-only argmax **-0.104"
2026-09-05_audit-every-committed-null-for-a-salted-seed_C,34,0,none,0.04455350721821505,0.13907733074942374,,,0.5294117647058824,0.7647058823529411,"| 2026-09-05 | 208 RULE 8: the salted seed priced as a decision, 200 seed regimes x 6 cells | 13.3% | 1.10 | -18.4% | best seed 1.177 / worst seed **0.826** (CAGR 14.7% vs **7.2%**) | control 1.177 (14.5%) | SPY 0.882 (1"
2026-09-05_is-the-conditional-sleeve-anything-at-all_B,116,0,none,0.10707835432975615,0.4298773266652114,,,0.13793103448275862,0.4051724137931034,"| 2026-09-05 | 190 RULE 8: S5 IS-argmax SUBSTITUTE, assets CHOSEN (the decisive arm) | 7.1% | 0.73 | -17.7% | **−0.2509 vs S0 (t −17.29), 0/12** | S5 − S1 **−0.3208 (t −19.09), 0/12** | The IS rule picks `IEF+LQD+UNG` / "
