arm,origin,k,IS,OOS_S,OOS_C,OOS_D,n
EWall,B136,20,1.094963380320651,1.0923094847274275,0.14514100200666039,-0.24989779596291514,12
EWall,B136,36,1.059626883692294,1.087181665198926,0.13800978438032133,-0.24751645840270456,12
EWall,B136,50,1.027048874504515,1.1130633394943281,0.14164043395434928,-0.24987920624266624,12
MA-RS,B136,20,1.0235105865074479,1.039735306058106,0.12988231864855596,-0.20645370129701732,12
NF20,B136,20,0.9847871270591986,1.0120101075985721,0.11554328829549687,-0.190638337318305,12
MA-RS,B136,36,0.9741412992313601,1.0278760870444537,0.11919378201509236,-0.19862859533135457,12
MA-RS,B136,50,0.9624236978647883,1.0360742600772184,0.11895173187438407,-0.2098547093829556,12
EWall,U56,50,0.9526350201558826,1.132398423992048,0.13699020131605694,-0.22483237323493457,12
NF20,B136,50,0.949814548887376,0.9897494470351349,0.12039757507969741,-0.2057143020157605,12
NF20,B136,36,0.937708877834665,0.9785130206188133,0.11099265933226078,-0.20410516593294203,12
MA-RS,U56,50,0.9369184371694536,1.0893350749462507,0.12165115308874791,-0.18853884534803642,12
NF20,U56,50,0.9267900714024786,1.1148843407377678,0.13778475707346774,-0.17997106667748708,12
CONC,B136,20,0.9000866373098723,0.8647832011049811,0.11135970057249973,-0.24477498510407217,12
EWall,U56,36,0.8988794120490015,1.1275106366750423,0.13624992485322382,-0.22777416943159315,12
CONC,B136,50,0.8942903686395426,0.8716503434331911,0.11453064738707236,-0.25039306772488024,12
EWall,U56,20,0.889974495423508,1.0913067991867473,0.13623701177177483,-0.23458619234798472,12
MA-RS,U56,20,0.882586645235245,0.9791212834005384,0.11990337786301153,-0.22367181383230492,12
MA-RS,U56,36,0.8775285225483853,1.0849454826893268,0.12076751005994048,-0.19064361691917328,12
CONC,B136,36,0.8724528025305225,0.8086528009918311,0.10033878430518556,-0.2706861318190831,12
CONC,U56,50,0.847078020556331,1.168667007691103,0.16339816673961607,-0.2345188431903429,12
NF20,U56,36,0.8387539966818105,1.1071837033133394,0.12519996761524374,-0.17912089189831085,12
EWall,POOL,36,0.8175322144978722,0.7008759716207419,0.1090792269805131,-0.3254253519878394,12
NF20,U56,20,0.8156848762272154,0.9857022852881562,0.11078280870494117,-0.2019026986672129,12
EWall,POOL,50,0.8076689557411688,0.7329284808376357,0.1142809140150131,-0.3272664213826728,12
EWall,POOL,20,0.7870127999998173,0.6757460429205834,0.11327717634623093,-0.36730275644251503,12
CONC,U56,36,0.7564689198346667,1.1061209787592972,0.14408643504852667,-0.2377738229184959,12
EWall,SMALL,20,0.7116902252211008,0.5529145388962868,0.09468496387327681,-0.39774789095496116,12
CONC,U56,20,0.702477504336164,0.9584752188953178,0.12635935616055244,-0.26108214564318205,12
EWall,SMALL,50,0.6978041266127956,0.6192933806190684,0.10233608331068746,-0.3796159923292779,12
NF20,POOL,50,0.679845946191927,0.5182980264797175,0.06558767344697497,-0.30009164585754217,12
EWall,SMALL,36,0.6650478618532737,0.6247921814107897,0.10614580566684745,-0.3899712556930202,12
MA-RS,POOL,50,0.6540239928704564,0.6253202212380253,0.08904272271282361,-0.3313637816313802,12
CONC,POOL,50,0.6088787139745494,0.4765448092344912,0.06516823775901474,-0.3655918122064296,12
MA-RS,POOL,36,0.5746278232616066,0.6911820055545691,0.10251900403408239,-0.3279612939033186,12
NF20,POOL,36,0.53414118193667,0.5984604935565984,0.07533919501268743,-0.2700675021348739,12
MA-RS,POOL,20,0.5338109012543882,0.6057707955006407,0.10276992600577972,-0.3928465271938369,12
NF20,POOL,20,0.5174117767073902,0.400444977762481,0.05364774591729824,-0.366209121036581,12
CONC,POOL,36,0.4833129017647115,0.5237995759443643,0.07267436345627293,-0.3078106991633364,12
CONC,POOL,20,0.46260418831484396,0.3866025412403975,0.057734720398402405,-0.43716216306865235,12
MA-RS,SMALL,50,0.42669912108721625,0.4619345606417151,0.07236446385812235,-0.463551663052389,12
NF20,SMALL,20,0.3867246711533375,0.0711279837006667,-0.004742152598157699,-0.5079511608352234,12
NF20,SMALL,50,0.38440654246912764,0.28961805637512666,0.0345461419169961,-0.40425324287218406,12
MA-RS,SMALL,36,0.3746187910251988,0.4218330094313867,0.06687841318672803,-0.4735263927891998,12
MA-RS,SMALL,20,0.3657105770233231,0.27213430466636873,0.036926884683194446,-0.5188412604911872,12
CONC,SMALL,50,0.3403409612083155,0.30166764657919404,0.04179857588801857,-0.4377633609756881,12
NF20,SMALL,36,0.3310056197082394,0.17563976499981535,0.01642162293847746,-0.4696626936758724,12
CONC,SMALL,20,0.3028302880089134,0.052002616507456016,-0.014628856446117666,-0.5911403996170678,12
CONC,SMALL,36,0.2628364349773098,0.1853467484049737,0.019360360178958775,-0.502887402111511,12
