panel,arm,gross,cost,window,offgrid,n_off,margin,spread,ratio,is_date,leg_pub,n_leg_pass,n_leg_fail,flips,sharpe_lo,sharpe_hi,spy_sharpe
U56,EWELIG,0.05,0.0,FULL,SHIFT5,5,0.24507278650331643,0.08100924350287197,3.0252447240126124,False,True,5,0,False,1.1295787997954072,1.2105880432982792,0.8845060132920908
U56,EWELIG,0.05,0.0,FULL,PHASE5,5,0.24507278650331643,0.03487074029476189,7.02803509279469,False,True,5,0,False,1.1452139151332839,1.1800846554280457,0.8845060132920908
U56,EWELIG,0.05,0.0,FULL,ALT3,3,0.24507278650331643,0.05548067236013332,4.4172641764777545,False,True,3,0,False,1.1295787997954072,1.1850594721555405,0.8845060132920908
U56,EWELIG,0.05,0.0,IS,SHIFT5,5,0.15542283167239346,0.08175737710120368,1.9010251696309035,False,True,5,0,False,1.05301131190803,1.1347686890092337,0.8986386739891564
U56,EWELIG,0.05,0.0,IS,PHASE5,5,0.15542283167239346,0.07186612303505968,2.1626717166386014,False,True,5,0,False,1.0416820885528575,1.1135482115879172,0.8986386739891564
U56,EWELIG,0.05,0.0,IS,ALT3,3,0.15542283167239346,0.08070718334768379,1.9257620601481928,False,True,3,0,False,1.0540615056615499,1.1347686890092337,0.8986386739891564
U56,EWELIG,0.05,0.0,OOS,SHIFT5,5,0.31538755838801014,0.12513671590044706,2.5203438984200113,False,True,5,0,False,1.1746777314572219,1.299814447357669,0.8739575612872552
U56,EWELIG,0.05,0.0,OOS,PHASE5,5,0.31538755838801014,0.05717745165977939,5.515942897641672,False,True,5,0,False,1.189121871706412,1.2462993233661914,0.8739575612872552
U56,EWELIG,0.05,0.0,OOS,ALT3,3,0.31538755838801014,0.10322843596349718,3.0552391445660865,False,True,3,0,False,1.1746777314572219,1.277906167420719,0.8739575612872552
U56,EWELIG,0.05,0.0,ISH1_HALF,SHIFT5,5,0.07877878578957731,0.09475691037938183,0.8313777377730838,True,True,5,0,False,0.893995419155229,0.9887523295346108,0.8377534152899397
U56,EWELIG,0.05,0.0,ISH1_HALF,PHASE5,5,0.07877878578957731,0.07676288860712654,1.0262613512731151,False,True,5,0,False,0.8908839218343452,0.9676468104414717,0.8377534152899397
U56,EWELIG,0.05,0.0,ISH1_HALF,ALT3,3,0.07877878578957731,0.07222012845509374,1.09081481125531,False,True,3,0,False,0.916532201079517,0.9887523295346108,0.8377534152899397
U56,EWELIG,0.05,0.0,ISH2_HALF,SHIFT5,5,0.15402403326491054,0.10909899920243737,1.4117822747311646,False,True,5,0,False,1.1996977837909972,1.3087967829934346,1.0603109088217444
U56,EWELIG,0.05,0.0,ISH2_HALF,PHASE5,5,0.15402403326491054,0.10806191866875836,1.425331283789617,False,True,5,0,False,1.2174667594173079,1.3255286780860662,1.0603109088217444
U56,EWELIG,0.05,0.0,ISH2_HALF,ALT3,3,0.15402403326491054,0.10909899920243737,1.4117822747311646,False,True,3,0,False,1.1996977837909972,1.3087967829934346,1.0603109088217444
U56,EWELIG,0.05,10.0,FULL,SHIFT5,5,0.15971257906220537,0.08254868144813465,1.9347683846719321,False,True,5,0,False,1.0442185923542961,1.1267672738024308,0.8845060132920908
U56,EWELIG,0.05,10.0,FULL,PHASE5,5,0.15971257906220537,0.034634027590793925,4.61143534760764,False,True,5,0,False,1.062218604440789,1.096852632031583,0.8845060132920908
U56,EWELIG,0.05,10.0,FULL,ALT3,3,0.15971257906220537,0.05614733474221434,2.8445264551823075,False,True,3,0,False,1.0442185923542961,1.1003659270965105,0.8845060132920908
U56,EWELIG,0.05,10.0,IS,SHIFT5,5,0.06986029496223334,0.08081727726264121,0.8644227735512581,True,True,5,0,False,0.9674941380363808,1.048311415299022,0.8986386739891564
U56,EWELIG,0.05,10.0,IS,PHASE5,5,0.06986029496223334,0.07482722132471775,0.9336213977406684,True,True,5,0,False,0.9551927880560288,1.0300200093807466,0.8986386739891564
U56,EWELIG,0.05,10.0,IS,ALT3,3,0.06986029496223334,0.0798124463476323,0.8753057719587843,True,True,3,0,False,0.9684989689513898,1.048311415299022,0.8986386739891564
U56,EWELIG,0.05,10.0,OOS,SHIFT5,5,0.23016792427151045,0.1223978551014544,1.8804898507471923,False,True,5,0,False,1.09544536597676,1.2178432210782144,0.8739575612872552
U56,EWELIG,0.05,10.0,OOS,PHASE5,5,0.23016792427151045,0.06208439905259233,3.707339167067283,False,True,5,0,False,1.1065272531761459,1.1686116522287382,0.8739575612872552
U56,EWELIG,0.05,10.0,OOS,ALT3,3,0.23016792427151045,0.09975439009578713,2.307346313786254,False,True,3,0,False,1.09544536597676,1.1951997560725471,0.8739575612872552
U56,EWELIG,0.05,10.0,ISH1_HALF,SHIFT5,5,-0.007095918030763149,0.09390830515466153,0.07556219888194748,True,False,3,2,True,0.8081848550545456,0.9020931602092072,0.8377534152899397
U56,EWELIG,0.05,10.0,ISH1_HALF,PHASE5,5,-0.007095918030763149,0.08148350615509947,0.08708410285213367,True,False,4,1,True,0.8025571532874336,0.8840406594425331,0.8377534152899397
U56,EWELIG,0.05,10.0,ISH1_HALF,ALT3,3,-0.007095918030763149,0.07143566295003057,0.09933299052220965,True,False,2,1,True,0.8306574972591766,0.9020931602092072,0.8377534152899397
U56,EWELIG,0.05,10.0,ISH2_HALF,SHIFT5,5,0.06828287202369965,0.10625512553115812,0.6426313242054047,True,True,5,0,False,1.1164205240509415,1.2226756495820996,1.0603109088217444
U56,EWELIG,0.05,10.0,ISH2_HALF,PHASE5,5,0.06828287202369965,0.11061379122340154,0.6173088479156447,True,True,5,0,False,1.1327490993682559,1.2433628905916574,1.0603109088217444
U56,EWELIG,0.05,10.0,ISH2_HALF,ALT3,3,0.06828287202369965,0.10625512553115812,0.6426313242054047,True,True,3,0,False,1.1164205240509415,1.2226756495820996,1.0603109088217444
U56,EWELIG,0.05,25.0,FULL,SHIFT5,5,0.03133068627562963,0.08489810759071192,0.36903868843193494,True,True,5,0,False,0.9158366995677204,1.0007348071584323,0.8845060132920908
U56,EWELIG,0.05,25.0,FULL,PHASE5,5,0.03133068627562963,0.03457594472849823,0.9061411487567022,True,True,5,0,False,0.937180251273576,0.9717561960020742,0.8845060132920908
U56,EWELIG,0.05,25.0,FULL,ALT3,3,0.03133068627562963,0.0570696847214337,0.5489900010585259,True,True,3,0,False,0.9158366995677204,0.9729063842891541,0.8845060132920908
U56,EWELIG,0.05,25.0,IS,SHIFT5,5,-0.058757424765885746,0.07940717883684567,0.7399510425450571,True,False,1,4,True,0.8388474987574479,0.9182546775942936,0.8986386739891564
U56,EWELIG,0.05,25.0,IS,PHASE5,5,-0.058757424765885746,0.07929233205352249,0.7410227854847852,True,False,1,4,True,0.825181219711301,0.9044735517648235,0.8986386739891564
U56,EWELIG,0.05,25.0,IS,ALT3,3,-0.058757424765885746,0.0783734283710229,0.7497110434894564,True,False,1,2,True,0.8398812492232707,0.9182546775942936,0.8986386739891564
U56,EWELIG,0.05,25.0,OOS,SHIFT5,5,0.10194465040444234,0.11872722781216294,0.8586459254799401,True,True,5,0,False,0.9759022116916976,1.0946294395038605,0.8739575612872552
U56,EWELIG,0.05,25.0,OOS,PHASE5,5,0.10194465040444234,0.06987593860030816,1.45893783248577,False,True,5,0,False,0.9818740716562092,1.0517500102565174,0.8739575612872552
U56,EWELIG,0.05,25.0,OOS,ALT3,3,0.10194465040444234,0.09475623279689516,1.0758622139712453,False,True,3,0,False,0.9759022116916976,1.0706584444885927,0.8739575612872552
U56,EWELIG,0.05,25.0,ISH1_HALF,SHIFT5,5,-0.13626806662564317,0.09299652710999073,1.4653027468915418,False,False,0,5,False,0.6790964587393311,0.7720929858493218,0.8377534152899397
U56,EWELIG,0.05,25.0,ISH1_HALF,PHASE5,5,-0.13626806662564317,0.08898854304385395,1.5312989960796375,False,False,0,5,False,0.6698534690698571,0.758842012113711,0.8377534152899397
U56,EWELIG,0.05,25.0,ISH1_HALF,ALT3,3,-0.13626806662564317,0.07060763718502527,1.929933815354232,False,False,0,3,False,0.7014853486642966,0.7720929858493218,0.8377534152899397
U56,EWELIG,0.05,25.0,ISH2_HALF,SHIFT5,5,-0.06047392262279394,0.10143647256021593,0.5961753311846948,True,False,2,3,True,0.9912220665045302,1.092658539064746,1.0603109088217444
U56,EWELIG,0.05,25.0,ISH2_HALF,PHASE5,5,-0.06047392262279394,0.11469474137065738,0.5272597671009276,True,False,1,4,True,1.0053382742096686,1.120033015580326,1.0603109088217444
U56,EWELIG,0.05,25.0,ISH2_HALF,ALT3,3,-0.06047392262279394,0.10143647256021593,0.5961753311846948,True,False,1,2,True,0.9912220665045302,1.092658539064746,1.0603109088217444
U56,EWELIG,0.05,50.0,FULL,SHIFT5,5,-0.18303793407461388,0.08889654448239259,2.0589994261348092,False,False,0,5,False,0.7014680792174769,0.7903646236998695,0.8845060132920908
U56,EWELIG,0.05,50.0,FULL,PHASE5,5,-0.18303793407461388,0.03528095744973536,5.188009263506731,False,False,0,5,False,0.727834379977173,0.7631153374269084,0.8845060132920908
U56,EWELIG,0.05,50.0,FULL,ALT3,3,-0.18303793407461388,0.058391191567993994,3.1346840021490947,False,False,0,3,False,0.7014680792174769,0.7598592707854709,0.8845060132920908
U56,EWELIG,0.05,50.0,IS,SHIFT5,5,-0.2733438689724538,0.07705616334732579,3.547332972449894,False,False,0,5,False,0.6239862638732749,0.7010424272206007,0.8986386739891564
U56,EWELIG,0.05,50.0,IS,PHASE5,5,-0.2733438689724538,0.08674611932224985,3.151078931346993,False,False,0,5,False,0.6083091580171016,0.6950552773393515,0.8986386739891564
U56,EWELIG,0.05,50.0,IS,ALT3,3,-0.2733438689724538,0.07574762220389808,3.6086131949682128,False,False,0,3,False,0.6252948050167026,0.7010424272206007,0.8986386739891564
U56,EWELIG,0.05,50.0,OOS,SHIFT5,5,-0.11229508955079726,0.12737257507544808,0.8816269081808247,True,False,1,4,True,0.761662471736458,0.889035046811906,0.8739575612872552
U56,EWELIG,0.05,50.0,OOS,PHASE5,5,-0.11229508955079726,0.08391252570366292,1.3382398945702976,False,False,0,5,False,0.7725947439001677,0.8565072696038306,0.8739575612872552
U56,EWELIG,0.05,50.0,OOS,ALT3,3,-0.11229508955079726,0.1006192720255209,1.1160395746285554,False,False,0,3,False,0.761662471736458,0.8622817437619789,0.8739575612872552
