corpus,gate,dial,mean_delta,t,differing,rows
A,SHARE,BAND,-0.0008943428457638142,-0.5562888319103032,598,750
A,SHARE,CADENCE,0.028417504872620302,11.572219384053868,141,750
A,SHARE,GROSS,-6.257674739737743e-05,-3.9282100545560494,35,750
A,SHARE,N,0.0060405390763244565,3.927318604629749,52,750
A,SHARE,SLEEVE,-0.062476148787040255,-47.4682143056744,657,750
A,ENT,N,0.018387472731785596,4.670190913277952,449,750
A,DIST,N,0.015438846755182221,4.031587869067823,438,750
B,SHARE,BAND,0.002424792503756189,1.8498701389579815,1037,1710
B,SHARE,CADENCE,0.023582368810076373,11.277249061534995,198,1710
B,SHARE,GROSS,-3.55937265682208e-05,-3.3637837055940234,130,1710
B,SHARE,N,0.001819790372018276,2.8678412136914604,19,1710
B,SHARE,SLEEVE,-0.0689479346778846,-34.03166046244071,1415,1710
B,ENT,BAND,-0.0036166388260958815,-2.1766339126571994,1338,1710
B,ENT,CADENCE,0.024908160309739018,11.555858555735018,199,1710
B,ENT,GROSS,9.97061120464315e-06,1.10746350067918,247,1710
B,ENT,N,0.018242833277543495,6.548010561313838,1192,1710
B,ENT,SLEEVE,-0.027794949224480017,-18.0953286815815,847,1710
B,DIST,BAND,-0.0035447314752064057,-2.1306755578162435,1360,1710
B,DIST,CADENCE,0.024908160309739018,11.555858555735018,199,1710
B,DIST,GROSS,-1.4865145918303627e-06,-0.14633977714263163,255,1710
B,DIST,N,0.018242833277543495,6.548010561313838,1192,1710
B,DIST,SLEEVE,-0.04956629749154321,-25.967185656223403,1160,1710
