panel,axis,level,mean_rel_floor,n_inf,n_zero,n_notape,mean_content
U56,LADDER,N,0.9319356678708866,0,0,3,0.125
U56,LADDER,H,1.0,4,4,1,0.0
U56,LADDER,GROSS,0.46742081410804126,1,1,0,0.5833333333333333
U56,LADDER,CADENCE,1.0,4,4,1,0.0
U56,STATISTIC,S_FULL,0.9033740897215404,2,2,2,0.11458333333333333
U56,STATISTIC,S_OOS,0.9873143688188839,3,3,0,0.03125
U56,STATISTIC,CAGR,0.7705872110311272,2,2,1,0.28125
U56,STATISTIC,DD,0.7380808124073764,2,2,2,0.28125
B136,LADDER,N,0.8778788037165473,2,2,3,0.09375
B136,LADDER,H,1.0,4,4,1,0.0
B136,LADDER,GROSS,0.10488160084756343,0,0,0,1.0
B136,LADDER,CADENCE,1.0,3,3,1,0.08333333333333333
B136,STATISTIC,S_FULL,0.7750475878136043,3,3,2,0.25
B136,STATISTIC,S_OOS,0.7110848075359928,2,2,1,0.3125
B136,STATISTIC,CAGR,0.7777215713114812,2,2,1,0.3333333333333333
B136,STATISTIC,DD,0.7189064379030323,2,2,1,0.28125
