panel,cost,best_fitted,worst_fitted,best_zeroparam,worst_zeroparam,beats_best_zp,beats_worst_zp,premium_Sharpe,premium_CAGR,mean_fitted_rank,n4b_fitted,n4b_zeroparam
U56,0,1.3099520698956153,1.1777857388709299,1.3084082999126037,1.1777857388709299,True,True,-0.029740964774046752,-0.01990376404114437,16.714285714285715,5,5
U56,10,1.2795746426691983,1.1625197276472643,1.2783977144506264,1.1625197276472643,True,True,-0.026795120156133168,-0.018995355180462428,16.714285714285715,5,5
U56,25,1.2339443410354303,1.1396060315762024,1.2393793945502616,1.1396060315762024,False,True,-0.03575527080612573,-0.01808511275640623,20.285714285714285,5,4
U56,50,1.157741197645428,1.0763705910486334,1.1782213798635122,1.076698064287176,False,True,-0.02306281186372705,-0.015314387118739906,18.571428571428573,5,1
B136,0,1.1605267826669798,1.1094569299478036,1.1577422900579812,1.0992280233968383,True,True,-0.007546891123922039,-0.014220387613608262,15.285714285714286,5,4
B136,10,1.1107936700095014,1.0920752045528088,1.1210690026396035,1.0761161598023437,False,True,-0.0021883668487072683,-0.013082550747912494,16.0,4,1
B136,25,1.065988937916227,1.0360900214466,1.068278408859432,1.0343886824124175,False,True,0.007244278693640416,-0.010414852053859155,11.714285714285714,5,1
B136,50,1.0224796032218144,0.911371047516591,1.0224796032218144,0.9107553623301358,False,True,0.02503797975755262,-0.007209251283554832,8.714285714285714,0,0
SMALL,0,0.6119804956954037,0.5752260972878108,0.6110594331458215,0.5744886600607094,True,True,0.01472708782355936,-0.005083585430854035,6.714285714285714,0,0
SMALL,10,0.5866308040664072,0.5222947075340223,0.5860568042874938,0.5218142314499178,True,True,0.023523645169136964,-0.003705370006965275,6.714285714285714,0,0
SMALL,25,0.548593641750174,0.4428630097961982,0.5485411182949109,0.44276946981444587,True,True,0.036728739347248074,-0.0016536326851217809,7.428571428571429,0,0
SMALL,50,0.48599145267630817,0.3104487913557412,0.48599145267630817,0.31100319018163763,False,True,0.05875146627750116,0.0017246943931123054,5.0,0,0
