panel,key,level,gated_share,construction
SMALL439,DV,1000000.0,0.27540469531316214,(px*vol).rolling(20).median() >= $1M
SMALL439,VOLSH,69650.0,0.27529948476054367,vol.rolling(20).median() >= s*  (price-free)
SMALL439,PXL,5.0,0.13149784756744431,px.rolling(20).median() >= $5
U56,PXL,5.0,0.03070620951492853,px.rolling(20).median() >= $5
