arm,pick_band,pick_gross,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_H1,OOS_H2
ZERO,0.08,1.0,0.1060919805130831,1.122611682702222,-0.11217296392361387,0.12038538471401328,1.1654257169217488,-0.1905060857627323,1.2460773008515493,1.0785339624617323
FLAT150,0.08,0.5,0.06315481324205008,1.3307642431408164,-0.05462027945456116,0.07032131314498025,1.3618396805363369,-0.09712589948928407,1.4243367163546483,1.2974684113035426
FLAT300,0.08,0.5,0.07345761991263,1.536779512375517,-0.0524560904067386,0.08079681643123493,1.5535386722834363,-0.09662113585083498,1.5954232779182895,1.514598539243502
FLATMATCH_ORACLE,0.08,0.5,0.05840363484655198,1.2350974279906657,-0.05562367693354364,0.07201379190353041,1.3929356068175742,-0.09704403347815005,1.4520894660678314,1.3326890979449533
FLATMATCH_IS,0.08,0.5,0.05840363484655198,1.2350974279906657,-0.05562367693354364,0.0654908271903194,1.272823923286052,-0.09736022342642747,1.3448902808442695,1.1966461082314477
BILLPATH,0.08,0.5,0.061605985406819386,1.2994706131419447,-0.05466103118008181,0.07065131528978896,1.3664980966296596,-0.09611448270684053,1.451557046186336,1.275691161650997
SHYPATH,0.08,0.5,0.058227224621427265,1.2549838808819995,-0.052240132932902306,0.07201610725898355,1.3716288602738103,-0.0892238469244565,1.485151969454919,1.2508855592837784
"RULES v2 baseline (live, cash ZERO)",,,,,,0.09474682024310721,1.278242466157066,-0.12054943679771168,1.4098248411053318,1.133995373728286
RULES v1 (previous),,,,,,0.07601837386039301,0.7361139961542332,-0.13827818499624467,1.0292871237808776,0.4233912250202929
SPY buy-and-hold,,,,,,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.9802103709739877,0.7649700312498386
