family,panel,window,phase,mean_resid0,n_pos,mean_c_sd
MA-THRESH,U56,FULL,calendarQ,-0.2728392393844121,1,0.12120942786536272
MA-THRESH,U56,FULL,63bar+0,-0.32344231662263895,1,0.11501905598924761
MA-THRESH,U56,FULL,63bar+13,-0.3039887019704984,2,0.1165398002148672
MA-THRESH,U56,FULL,63bar+26,-0.0660686569674793,2,0.10878965211250181
MA-THRESH,U56,FULL,63bar+39,-0.09136069269254213,5,0.11778175268644413
MA-THRESH,U56,FULL,63bar+52,-0.22214172866095674,3,0.12421791537513524
MA-THRESH,U56,IS,calendarQ,-0.24952130654292157,1,0.12385783881884589
MA-THRESH,U56,IS,63bar+0,-0.2359869790001704,1,0.11733507369132723
MA-THRESH,U56,IS,63bar+13,-0.1973357766046543,2,0.126587148154195
MA-THRESH,U56,IS,63bar+26,-0.15202117287480257,4,0.12211812858828888
MA-THRESH,U56,IS,63bar+39,-0.21914589151137934,3,0.13944111900078962
MA-THRESH,U56,IS,63bar+52,-0.0941618499879539,5,0.12707875607517471
MA-THRESH,U56,OOS,calendarQ,-0.25708396156545177,1,0.11733590938491312
MA-THRESH,U56,OOS,63bar+0,-0.3805991887554962,0,0.10960714349334272
MA-THRESH,U56,OOS,63bar+13,-0.39534828197637734,2,0.10363016534650106
MA-THRESH,U56,OOS,63bar+26,-0.020876981767408747,3,0.09277432319048419
MA-THRESH,U56,OOS,63bar+39,-0.012905608119903414,6,0.09005183959948693
MA-THRESH,U56,OOS,63bar+52,-0.2876776871004274,3,0.12102704453010646
MA-THRESH,B136,FULL,calendarQ,-0.4283933842724492,1,0.12205121710128321
MA-THRESH,B136,FULL,63bar+0,-0.38465332528064977,0,0.11633349122013165
MA-THRESH,B136,FULL,63bar+13,-0.2576695730067297,2,0.11618829176843024
MA-THRESH,B136,FULL,63bar+26,-0.23198311774796693,0,0.10924151762286599
MA-THRESH,B136,FULL,63bar+39,-0.052126018173666765,5,0.1187734852129369
MA-THRESH,B136,FULL,63bar+52,-0.46513203194570163,0,0.12651161410557682
MA-THRESH,B136,IS,calendarQ,-0.2954159172412259,1,0.13090107718837302
MA-THRESH,B136,IS,63bar+0,-0.26684632305920786,2,0.12544045103159504
MA-THRESH,B136,IS,63bar+13,-0.1103552036052198,3,0.13191634160774807
MA-THRESH,B136,IS,63bar+26,-0.3138161102530705,2,0.13135386186777584
MA-THRESH,B136,IS,63bar+39,-0.130640677268724,3,0.14903904676065013
MA-THRESH,B136,IS,63bar+52,0.061476756171512034,6,0.13269747313752298
MA-THRESH,B136,OOS,calendarQ,-0.5254815070940411,1,0.11239260836419757
