file,block,spec,n,p,K,lam,R2
F1,decomp,family dummies only,115,2,IS,0.0,0.44533827840677453
F1,decomp,family dummies only,115,2,2,0.0,0.4335796023882139
F1,decomp,family dummies only,115,2,5,0.0,0.4040306729461888
F1,decomp,family dummies only,115,2,10,0.0,0.42383153614309155
F1,decomp,family dummies only,115,2,LOO,0.0,0.4209591662295512
F1,decomp,family dummies only,115,2,IS,0.1,0.44533763241623536
F1,decomp,family dummies only,115,2,2,0.1,0.4338088755781987
F1,decomp,family dummies only,115,2,5,0.1,0.404069693037145
F1,decomp,family dummies only,115,2,10,0.1,0.42385000132032613
F1,decomp,family dummies only,115,2,LOO,0.1,0.42097307744358525
F1,decomp,family dummies only,115,2,IS,1.0,0.44527563006277737
F1,decomp,family dummies only,115,2,2,1.0,0.43542192464808305
F1,decomp,family dummies only,115,2,5,1.0,0.40432218930834896
F1,decomp,family dummies only,115,2,10,1.0,0.42393911468883294
F1,decomp,family dummies only,115,2,LOO,1.0,0.42103710916610626
F1,decomp,family dummies only,115,2,IS,10.0,0.44059553887224656
F1,decomp,family dummies only,115,2,2,10.0,0.4283629256071878
F1,decomp,family dummies only,115,2,5,10.0,0.40016540723548255
F1,decomp,family dummies only,115,2,10,10.0,0.41943719621642694
F1,decomp,family dummies only,115,2,LOO,10.0,0.41726228378916275
F1,decomp,family dummies only,115,2,IS,100.0,0.3420017806910175
F1,decomp,family dummies only,115,2,2,100.0,0.2662908937352373
F1,decomp,family dummies only,115,2,5,100.0,0.2907715177914386
F1,decomp,family dummies only,115,2,10,100.0,0.31309783176230355
F1,decomp,family dummies only,115,2,LOO,100.0,0.3210210493850747
F1,decomp,"log h* (IR, stride 21)",115,1,IS,0.0,0.05592620627228839
F1,decomp,"log h* (IR, stride 21)",115,1,2,0.0,0.027516759479635056
F1,decomp,"log h* (IR, stride 21)",115,1,5,0.0,-0.0122482366510277
F1,decomp,"log h* (IR, stride 21)",115,1,10,0.0,-0.008309717668462335
F1,decomp,"log h* (IR, stride 21)",115,1,LOO,0.0,-0.0030845168533895073
F1,decomp,"log h* (IR, stride 21)",115,1,IS,0.1,0.055926164057490624
F1,decomp,"log h* (IR, stride 21)",115,1,2,0.1,0.027599113263641173
F1,decomp,"log h* (IR, stride 21)",115,1,5,0.1,-0.012166577576500748
F1,decomp,"log h* (IR, stride 21)",115,1,10,0.1,-0.008244157019735798
F1,decomp,"log h* (IR, stride 21)",115,1,LOO,0.1,-0.0030274917144126334
F1,decomp,"log h* (IR, stride 21)",115,1,IS,1.0,0.05592205004411699
F1,decomp,"log h* (IR, stride 21)",115,1,2,1.0,0.02830656854171887
F1,decomp,"log h* (IR, stride 21)",115,1,5,1.0,-0.011447993554641211
F1,decomp,"log h* (IR, stride 21)",115,1,10,1.0,-0.007666247195485809
F1,decomp,"log h* (IR, stride 21)",115,1,LOO,1.0,-0.002524145448093762
F1,decomp,"log h* (IR, stride 21)",115,1,IS,10.0,0.05556827855214552
F1,decomp,"log h* (IR, stride 21)",115,1,2,10.0,0.03280142387472473
F1,decomp,"log h* (IR, stride 21)",115,1,5,10.0,-0.005647166955909277
F1,decomp,"log h* (IR, stride 21)",115,1,10,10.0,-0.0029309516046112094
F1,decomp,"log h* (IR, stride 21)",115,1,LOO,10.0,0.0016501899813506915
F1,decomp,"log h* (IR, stride 21)",115,1,IS,100.0,0.04382751373096039
F1,decomp,"log h* (IR, stride 21)",115,1,2,100.0,0.025128791264895534
F1,decomp,"log h* (IR, stride 21)",115,1,5,100.0,0.0049291087600610295
F1,decomp,"log h* (IR, stride 21)",115,1,10,100.0,0.006011225371315931
F1,decomp,"log h* (IR, stride 21)",115,1,LOO,100.0,0.009955528499315025
F1,decomp,log episode_days,115,1,IS,0.0,0.17263958288007186
F1,decomp,log episode_days,115,1,2,0.0,0.17006315884993117
F1,decomp,log episode_days,115,1,5,0.0,0.13439774699380103
F1,decomp,log episode_days,115,1,10,0.0,0.142898880658062
F1,decomp,log episode_days,115,1,LOO,0.0,0.14764257715681917
F1,decomp,log episode_days,115,1,IS,0.1,0.17263945256647528
F1,decomp,log episode_days,115,1,2,0.1,0.17009194380916448
F1,decomp,log episode_days,115,1,5,0.1,0.1344246632845384
F1,decomp,log episode_days,115,1,10,0.1,0.14291177070103456
F1,decomp,log episode_days,115,1,LOO,0.1,0.14765321713888602
F1,decomp,log episode_days,115,1,IS,1.0,0.17262675294674235
F1,decomp,log episode_days,115,1,2,1.0,0.17029591387392362
F1,decomp,log episode_days,115,1,5,1.0,0.13464584663408863
F1,decomp,log episode_days,115,1,10,1.0,0.14301216884502266
