book,H,s,n,pass_4b,pass_S2,leg_sharpe,leg_halves,leg_dd,leg_cagr,med_CAGR,med_Sharpe,worst_MaxDD,spy_neg
CAND g=1.00,756,21,176,0.3977272727272727,0.3977272727272727,0.9147727272727273,0.5170454545454546,0.8636363636363636,0.7272727272727273,0.106469268932735,1.1875404053358858,-0.15910990262744007,0
CAND g=1.00,756,63,59,0.3389830508474576,0.3389830508474576,0.9322033898305084,0.4915254237288136,0.8813559322033898,0.711864406779661,0.10629096716185571,1.1758972736700883,-0.15910990262743996,0
CAND g=1.00,1008,21,164,0.5609756097560976,0.5609756097560976,0.9878048780487805,0.6402439024390244,0.8963414634146342,0.7560975609756098,0.10869865926218225,1.1732304244739264,-0.15910990262744007,0
CAND g=1.00,1008,63,55,0.5636363636363636,0.5636363636363636,0.9818181818181818,0.6363636363636364,0.9090909090909091,0.7454545454545455,0.10867479568961991,1.1729046176260756,-0.15910990262743996,0
CAND g=1.00,1260,21,152,0.6513157894736842,0.6513157894736842,1.0,0.7828947368421053,0.9276315789473685,0.7960526315789473,0.11029715434240583,1.2128245443611299,-0.15910990262744007,0
CAND g=1.00,1260,63,51,0.6862745098039216,0.6862745098039216,1.0,0.8235294117647058,0.9411764705882353,0.7843137254901961,0.10962610593965039,1.2125041227338205,-0.15910990262744007,0
CAND g=1.00,1890,21,122,0.9344262295081968,0.9344262295081968,1.0,0.9508196721311475,1.0,0.9344262295081968,0.10971937503876372,1.168924099128727,-0.15910990262744007,0
CAND g=1.00,1890,63,41,0.926829268292683,0.926829268292683,1.0,0.9512195121951219,1.0,0.926829268292683,0.11029025931901293,1.1799938943249617,-0.15910990262744007,0
LIVE g=0.75,756,21,176,0.1875,0.1875,0.9147727272727273,0.5170454545454546,0.9545454545454546,0.24431818181818182,0.07981660706238913,1.1866509450212632,-0.12054943679771224,0
LIVE g=0.75,756,63,59,0.1694915254237288,0.1694915254237288,0.9322033898305084,0.4915254237288136,0.9661016949152542,0.23728813559322035,0.08005435076417,1.1776671011912427,-0.12054943679771202,0
LIVE g=0.75,1008,21,164,0.17682926829268292,0.17682926829268292,0.9878048780487805,0.6402439024390244,0.9939024390243902,0.18902439024390244,0.08107593414610048,1.1723111594958002,-0.12054943679771224,0
LIVE g=0.75,1008,63,55,0.18181818181818182,0.18181818181818182,0.9818181818181818,0.6363636363636364,1.0,0.2,0.0809367685838509,1.172657231558778,-0.12054943679771202,0
LIVE g=0.75,1260,21,152,0.11842105263157894,0.11842105263157894,1.0,0.7828947368421053,1.0,0.125,0.08250585399599586,1.2132082632567756,-0.12054943679771224,0
LIVE g=0.75,1260,63,51,0.1568627450980392,0.1568627450980392,1.0,0.8235294117647058,1.0,0.1568627450980392,0.08228937262062508,1.2138034552833756,-0.12054943679771202,0
LIVE g=0.75,1890,21,122,0.040983606557377046,0.040983606557377046,1.0,0.9508196721311475,1.0,0.040983606557377046,0.08188680827854611,1.169090403638985,-0.12054943679771213,0
LIVE g=0.75,1890,63,41,0.04878048780487805,0.04878048780487805,1.0,0.9512195121951219,1.0,0.04878048780487805,0.08272032053372835,1.1809052639528366,-0.12054943679771202,0
RULES v1,756,21,176,0.011363636363636364,0.011363636363636364,0.19886363636363635,0.011363636363636364,0.7045454545454546,0.17045454545454544,0.06787270951563851,0.7001236080570692,-0.13827818499624545,0
RULES v1,756,63,59,0.0,0.0,0.22033898305084745,0.0,0.711864406779661,0.1694915254237288,0.06758269058417166,0.6934909409489897,-0.13827818499624522,0
RULES v1,1008,21,164,0.006097560975609756,0.006097560975609756,0.23780487804878048,0.012195121951219513,0.7073170731707317,0.11585365853658537,0.07049897830269547,0.7140066695744598,-0.13827818499624545,0
RULES v1,1008,63,55,0.0,0.0,0.2545454545454545,0.0,0.7090909090909091,0.14545454545454545,0.06932246164127709,0.7131370860265582,-0.13827818499624522,0
RULES v1,1260,21,152,0.02631578947368421,0.02631578947368421,0.17763157894736842,0.03289473684210526,0.6776315789473685,0.08552631578947369,0.06953550794953245,0.713742375163728,-0.13827818499624545,0
RULES v1,1260,63,51,0.0196078431372549,0.0196078431372549,0.1568627450980392,0.0196078431372549,0.6862745098039216,0.09803921568627451,0.06855449642593081,0.7096837867829429,-0.13827818499624522,0
RULES v1,1890,21,122,0.00819672131147541,0.00819672131147541,0.18032786885245902,0.02459016393442623,0.6475409836065574,0.03278688524590164,0.06932212453934561,0.7019993721811777,-0.13827818499624545,0
RULES v1,1890,63,41,0.024390243902439025,0.024390243902439025,0.1951219512195122,0.024390243902439025,0.6585365853658537,0.024390243902439025,0.06788663032172804,0.7022677565240067,-0.13827818499624545,0
