family,score,dial,arm,ref,mean_d,median_d,t,wins,losses,ties,sign_p,n,verdict,n_changed
MODE_vs_SEL,OOS_Sharpe,GROSS,MODE-SHARPE-LOO,SEL-SHARPE,-5.7075566925405714e-05,0.0,-1.0633866969310128,1,2,50,1.0,53,mode behind (n.s.),
MODE_vs_SEL,OOS_Sharpe,GROSS,MODE-SHARPE-IC,SEL-SHARPE,-5.7075566925405714e-05,0.0,-1.0633866969310128,1,2,50,1.0,53,mode behind (n.s.),
MODE_vs_SEL,OOS_Sharpe,GROSS,MODE-4B-LOO,SEL-4B,-0.00010554307157149545,0.0,-0.8048200405771648,10,23,20,0.03508203336969018,53,MODE LOSES,
MODE_vs_SEL,OOS_Sharpe,N,MODE-SHARPE-LOO,SEL-SHARPE,0.02152851876388876,0.0,1.4725692699513038,21,20,12,1.0,53,mode ahead (n.s.),
MODE_vs_SEL,OOS_Sharpe,N,MODE-SHARPE-IC,SEL-SHARPE,0.02152851876388876,0.0,1.4725692699513038,21,20,12,1.0,53,mode ahead (n.s.),
MODE_vs_SEL,OOS_Sharpe,N,MODE-4B-LOO,SEL-4B,-0.03463753204502096,-0.024070380646624923,-2.650199194913384,8,29,16,0.0007528970600105822,53,MODE LOSES,
MODE_vs_SEL,OOS_Sharpe,BAND,MODE-SHARPE-LOO,SEL-SHARPE,0.0005037875854642523,0.0,0.16166241611282137,8,2,43,0.109375,53,mode ahead (n.s.),
MODE_vs_SEL,OOS_Sharpe,BAND,MODE-SHARPE-IC,SEL-SHARPE,0.0005037875854642523,0.0,0.16166241611282137,8,2,43,0.109375,53,mode ahead (n.s.),
MODE_vs_SEL,OOS_Sharpe,BAND,MODE-4B-LOO,SEL-4B,0.0030911102503661247,0.0,1.223144148090413,13,3,37,0.021270751953125,53,MODE WINS,
MODE_vs_SEL,OOS_Sharpe,CADENCE,MODE-SHARPE-LOO,SEL-SHARPE,0.026083724940281605,0.0,2.887937977385498,9,0,44,0.00390625,53,MODE WINS,
MODE_vs_SEL,OOS_Sharpe,CADENCE,MODE-SHARPE-IC,SEL-SHARPE,0.026083724940281605,0.0,2.887937977385498,9,0,44,0.00390625,53,MODE WINS,
MODE_vs_SEL,OOS_Sharpe,CADENCE,MODE-4B-LOO,SEL-4B,0.04437322832639935,0.0,4.0154620366855385,14,0,39,0.0001220703125,53,MODE WINS,
MODE_vs_SEL,OOS_Sharpe,SLEEVE,MODE-SHARPE-LOO,SEL-SHARPE,0.0,0.0,,0,0,53,1.0,53,identical (selector never deviates),
MODE_vs_SEL,OOS_Sharpe,SLEEVE,MODE-SHARPE-IC,SEL-SHARPE,0.0,0.0,,0,0,53,1.0,53,identical (selector never deviates),
MODE_vs_SEL,OOS_Sharpe,SLEEVE,MODE-4B-LOO,SEL-4B,-0.02834042116922415,-0.02207887259166552,-5.899041488722154,0,27,26,1.4901161193847656e-08,53,MODE LOSES,
MODE_vs_SEL,OOS_margin,GROSS,MODE-SHARPE-LOO,SEL-SHARPE,-0.005477965366214249,0.0,-1.0738204899135493,1,2,50,1.0,53,mode behind (n.s.),
MODE_vs_SEL,OOS_margin,GROSS,MODE-SHARPE-IC,SEL-SHARPE,-0.005477965366214249,0.0,-1.0738204899135493,1,2,50,1.0,53,mode behind (n.s.),
MODE_vs_SEL,OOS_margin,GROSS,MODE-4B-LOO,SEL-4B,-0.11147623738996028,-0.029936823968318156,-6.001644738268733,5,28,20,6.618769839406013e-05,53,MODE LOSES,
MODE_vs_SEL,OOS_margin,N,MODE-SHARPE-LOO,SEL-SHARPE,0.011170949752258236,0.0,0.6108194246118979,24,17,12,0.34888887944907765,53,mode ahead (n.s.),
MODE_vs_SEL,OOS_margin,N,MODE-SHARPE-IC,SEL-SHARPE,0.011170949752258236,0.0,0.6108194246118979,24,17,12,0.34888887944907765,53,mode ahead (n.s.),
MODE_vs_SEL,OOS_margin,N,MODE-4B-LOO,SEL-4B,-0.023043180642330446,0.0,-1.8819756968658814,14,23,16,0.18774155899882317,53,mode behind (n.s.),
MODE_vs_SEL,OOS_margin,BAND,MODE-SHARPE-LOO,SEL-SHARPE,0.0028825246318858193,0.0,1.0441800012495592,5,5,43,1.0,53,mode ahead (n.s.),
MODE_vs_SEL,OOS_margin,BAND,MODE-SHARPE-IC,SEL-SHARPE,0.0028825246318858193,0.0,1.0441800012495592,5,5,43,1.0,53,mode ahead (n.s.),
MODE_vs_SEL,OOS_margin,BAND,MODE-4B-LOO,SEL-4B,0.002793339711064963,0.0,0.913302361347523,6,10,37,0.454498291015625,53,mode ahead (n.s.),
MODE_vs_SEL,OOS_margin,CADENCE,MODE-SHARPE-LOO,SEL-SHARPE,0.034288603315265224,0.0,2.476119241209614,9,0,44,0.00390625,53,MODE WINS,
MODE_vs_SEL,OOS_margin,CADENCE,MODE-SHARPE-IC,SEL-SHARPE,0.034288603315265224,0.0,2.476119241209614,9,0,44,0.00390625,53,MODE WINS,
