panel,N,basis,argmax,argmax_Sharpe,W_Sharpe,gap_vs_W,cadence
U56,10.0,FULL_SHARPE,M,1.1209544322541396,1.10753992080054,0.01341451145359951,
U56,15.0,FULL_SHARPE,W,1.1716623554016101,1.1716623554016101,0.0,
U56,20.0,FULL_SHARPE,W,1.1531998522566123,1.1531998522566123,0.0,
U56,30.0,FULL_SHARPE,Q,1.2096508477876249,1.149334962589179,0.06031588519844577,
B136,10.0,FULL_SHARPE,M,1.0792641903809417,1.0627395939281967,0.016524596452744955,
B136,15.0,FULL_SHARPE,M,1.0949664969412303,1.0630027470342966,0.031963749906933625,
B136,20.0,FULL_SHARPE,M,1.079318505627504,1.0641181864176983,0.015200319209805802,
B136,30.0,FULL_SHARPE,W,1.0893790246227069,1.0893790246227069,0.0,
SMALL,10.0,FULL_SHARPE,M,0.6076057482771915,0.5301813565608051,0.07742439171638638,
SMALL,15.0,FULL_SHARPE,W,0.5569518940285322,0.5569518940285322,0.0,
SMALL,20.0,FULL_SHARPE,2W,0.5250916296059283,0.5083902479756214,0.016701381630306877,
SMALL,30.0,FULL_SHARPE,2W,0.502088670213294,0.4979753337557263,0.004113336457567673,
U56,,FULL_SHARPE_over_N,15,1.0847081249340336,,,D
U56,,FULL_SHARPE_over_N,15,1.1716623554016101,,,W
U56,,FULL_SHARPE_over_N,20,1.1272331593021276,,,2W
U56,,FULL_SHARPE_over_N,10,1.1209544322541396,,,M
U56,,FULL_SHARPE_over_N,30,1.2096508477876249,,,Q
B136,,FULL_SHARPE_over_N,30,1.0818275498069676,,,D
B136,,FULL_SHARPE_over_N,30,1.0893790246227069,,,W
B136,,FULL_SHARPE_over_N,15,1.0590642560457122,,,2W
B136,,FULL_SHARPE_over_N,15,1.0949664969412303,,,M
B136,,FULL_SHARPE_over_N,30,1.0332123703715823,,,Q
SMALL,,FULL_SHARPE_over_N,30,0.47614910019795414,,,D
SMALL,,FULL_SHARPE_over_N,15,0.5569518940285322,,,W
SMALL,,FULL_SHARPE_over_N,10,0.5932593743941565,,,2W
SMALL,,FULL_SHARPE_over_N,10,0.6076057482771915,,,M
SMALL,,FULL_SHARPE_over_N,30,0.41349572646695903,,,Q
