vi,vintage,commit_date,postfix,panel,reading,tape_blob,pick_N,pick_H,pick_is_Sharpe,pick_oos_Sharpe,pick_oos_CAGR,pick_oos_MaxDD,pick_keep4b,pick_keep4a,anchor_is_Sharpe,anchor_oos_Sharpe,anchor_oos_CAGR,anchor_oos_MaxDD,anchor_keep4b,anchor_keep4a,spy_oos_Sharpe,edge_oos,is_margin,n_keep4b,n_keep4a
0,fb208174,2026-09-03,False,U56,V_RAW,3fb16007,10,63,1.19974476,0.85012960,0.11264101,-0.19481033,True,False,1.06403251,0.96554970,0.11537799,-0.20894102,False,False,0.72859078,-0.11542010,0.13571226,1,0
0,fb208174,2026-09-03,False,U56,V_TRUNC,3fb16007,10,63,1.19974476,0.85025028,0.11267463,-0.19481033,True,False,1.06403251,0.96568688,0.11541247,-0.20894102,False,False,0.72869413,-0.11543660,0.13571226,1,0
1,0ede2282,2026-09-03,False,U56,V_RAW,8679938d,10,63,1.19974323,0.85240593,0.11297509,-0.19481031,True,False,1.06403083,0.96816194,0.11571846,-0.20894120,False,False,0.73332427,-0.11575601,0.13571240,1,0
1,0ede2282,2026-09-03,False,BROAD,V_RAW,63f7ffd8,10,63,1.29509133,1.07330547,0.21023663,-0.28155506,False,False,1.14516882,1.00993607,0.16027455,-0.20740302,False,False,0.88461258,0.06336940,0.14992251,1,0
1,0ede2282,2026-09-03,False,U56,V_TRUNC,8679938d,10,63,1.19974323,0.85252690,0.11300881,-0.19481031,True,False,1.06403083,0.96829945,0.11575304,-0.20894120,False,False,0.73342827,-0.11577255,0.13571240,1,0
1,0ede2282,2026-09-03,False,BROAD,V_TRUNC,63f7ffd8,10,63,1.29509133,1.07330547,0.21023663,-0.28155506,False,False,1.14516882,1.00993607,0.16027455,-0.20740302,False,False,0.88461258,0.06336940,0.14992251,1,0
2,c006b439,2026-09-04,True,U56,V_RAW,d684d690,16,63,1.21207996,1.14439996,0.17673678,-0.26480029,False,False,1.11574955,1.18477337,0.17334383,-0.19127637,True,False,0.88460063,-0.04037341,0.09633042,1,0
2,c006b439,2026-09-04,True,BROAD,V_RAW,63f7ffd8,10,63,1.29509133,1.07330547,0.21023663,-0.28155506,False,False,1.14516882,1.00993607,0.16027455,-0.20740302,False,False,0.88461258,0.06336940,0.14992251,1,0
2,c006b439,2026-09-04,True,U56,V_TRUNC,d684d690,16,63,1.21207996,1.14439996,0.17673678,-0.26480029,False,False,1.11574955,1.18477337,0.17334383,-0.19127637,True,False,0.88460063,-0.04037341,0.09633042,1,0
2,c006b439,2026-09-04,True,BROAD,V_TRUNC,63f7ffd8,10,63,1.29509133,1.07330547,0.21023663,-0.28155506,False,False,1.14516882,1.00993607,0.16027455,-0.20740302,False,False,0.88461258,0.06336940,0.14992251,1,0
3,50585c86,2026-09-04,True,U56,V_RAW,95363cf6,16,63,1.21208027,1.14373186,0.17658118,-0.26480037,False,False,1.11574900,1.18560181,0.17344760,-0.19127631,True,False,0.88219216,-0.04186995,0.09633126,1,0
3,50585c86,2026-09-04,True,BROAD,V_RAW,3b7482a2,10,63,1.29509973,1.07253727,0.21001285,-0.28155506,False,False,1.14517748,1.01765882,0.16172189,-0.20740302,False,False,0.88220532,0.05487845,0.14992224,2,0
3,50585c86,2026-09-04,True,SMALL,V_RAW,58fe7e96,20,63,0.75666327,0.48970234,0.07805330,-0.36019167,False,False,0.64977448,0.37756895,0.05481951,-0.40185639,False,False,0.88219216,0.11213339,0.10688880,0,0
3,50585c86,2026-09-04,True,U56,V_TRUNC,95363cf6,16,63,1.21208027,1.14439990,0.17673676,-0.26480037,False,False,1.11574900,1.18477372,0.17334386,-0.19127631,True,False,0.88460046,-0.04037381,0.09633126,1,0
3,50585c86,2026-09-04,True,BROAD,V_TRUNC,3b7482a2,10,63,1.29509973,1.07330782,0.21023692,-0.28155506,False,False,1.14517748,1.00993629,0.16027474,-0.20740302,False,False,0.88461371,0.06337154,0.14992224,1,0
3,50585c86,2026-09-04,True,SMALL,V_TRUNC,58fe7e96,20,63,0.75666327,0.48970234,0.07805330,-0.36019167,False,False,0.64977448,0.37756895,0.05481951,-0.40185639,False,False,0.88219216,0.11213339,0.10688880,0,0
4,f138ee9a,2026-09-07,True,U56,V_RAW,031a3a69,16,63,1.21208126,1.14375219,0.17658480,-0.26480031,False,False,1.11575031,1.18561881,0.17345050,-0.19127630,True,False,0.88219238,-0.04186663,0.09633095,1,0
4,f138ee9a,2026-09-07,True,BROAD,V_RAW,3b7482a2,10,63,1.29509973,1.07253727,0.21001285,-0.28155506,False,False,1.14517748,1.01765882,0.16172189,-0.20740302,False,False,0.88220532,0.05487845,0.14992224,2,0
4,f138ee9a,2026-09-07,True,SMALL,V_RAW,58fe7e96,20,63,0.75666327,0.48970234,0.07805330,-0.36019167,False,False,0.64977448,0.37756895,0.05481951,-0.40185639,False,False,0.88219238,0.11213339,0.10688880,0,0
4,f138ee9a,2026-09-07,True,U56,V_TRUNC,031a3a69,16,63,1.21208126,1.14440027,0.17673683,-0.26480031,False,False,1.11575031,1.18477361,0.17334386,-0.19127630,True,False,0.88460068,-0.04037334,0.09633095,1,0
4,f138ee9a,2026-09-07,True,BROAD,V_TRUNC,3b7482a2,10,63,1.29509973,1.07330782,0.21023692,-0.28155506,False,False,1.14517748,1.00993629,0.16027474,-0.20740302,False,False,0.88461371,0.06337154,0.14992224,1,0
