panel,cadence,m,band_dS,band_dturn
B80held,D,10,0.17689658328257252,-18.815710180632394
B80held,W,10,0.0704131573068737,-6.09444165266425
B80held,2W,10,0.037491964057920435,-3.5952488926475255
B80held,M,10,0.050951316284271186,-1.8376858144929082
B80held,6W,10,-0.0477219810410473,-1.4069614654753821
B80held,Q,10,0.06768300040588648,-0.6586298025747448
B80held,D,20,0.16124853429975172,-20.724212284772126
B80held,W,20,0.025809576926882016,-7.235825622648415
B80held,2W,20,-0.030646014113631548,-4.489569601956487
B80held,M,20,-0.01528739832738657,-2.5473477355325578
B80held,6W,20,-0.027428244849613592,-2.1186183269919048
B80held,Q,20,0.08066361343272344,-1.092662546049437
B80held,D,40,0.1863836946334949,-21.5231499040678
B80held,W,40,-0.003606794790955048,-8.047751522421908
B80held,2W,40,-0.02421527874973639,-5.2769021705394135
B80held,M,40,-0.04890460237289984,-3.2551318694716627
B80held,6W,40,-0.0462248277342906,-2.710405848979824
B80held,Q,40,0.14810402395905675,-1.6244830790224072
U56,D,10,0.09723599738472943,-14.69626215923081
U56,W,10,0.024837672094442764,-4.870106507491391
U56,2W,10,-0.028254715456512702,-2.8977575086004848
U56,M,10,-0.022281539918002524,-1.4906921572984917
U56,6W,10,0.006100306340133255,-1.2269737388315174
U56,Q,10,-0.01976570397278965,-0.7372252007250621
U56,D,20,0.0839013200974803,-15.706478295969916
U56,W,20,0.048052962740917415,-5.731439197741528
U56,2W,20,-0.049805949359122526,-3.589958284234523
U56,M,20,-0.10395935697816139,-2.0550406284317315
U56,6W,20,-0.03822994128024515,-1.71563271994992
U56,Q,20,-0.010640532705058048,-1.046818312152439
U56,D,40,0.08664525040816162,-15.880194865051003
U56,W,40,0.06340590561134896,-5.927085546965151
U56,2W,40,-0.014077992154367669,-3.790563816340355
U56,M,40,-0.048212339270379934,-2.2426182350972237
U56,6W,40,-0.027692939742220535,-1.8630643833097649
U56,Q,40,0.05990955193182179,-1.2013529043625972
B136,D,10,0.2002298131573248,-21.09145034234498
B136,W,10,0.033161448332449384,-6.69893653719385
B136,2W,10,0.060788784286489594,-3.5716119830362345
B136,M,10,-0.056139157964621544,-1.5845337064894878
B136,6W,10,-0.0317003223214789,-1.313439688107712
B136,Q,10,-0.0030368582787688725,-0.5286989636955801
B136,D,20,0.24070843782909324,-23.732197796529405
B136,W,20,0.06539143814390413,-8.109482446685913
B136,2W,20,0.04869453811559765,-4.581970498901701
B136,M,20,-0.001113541321211553,-2.36565753794841
B136,6W,20,-0.002524567688614976,-2.0196432785866634
B136,Q,20,0.07131311722006217,-1.0115804760448728
B136,D,40,0.25433214542449256,-25.2187904409289
B136,W,40,0.03372125852375574,-9.22266340843278
B136,2W,40,0.0022473068001149787,-5.522250215719364
B136,M,40,-0.028676821174099087,-3.1642065719017034
B136,6W,40,-0.07644008616779563,-2.6858297006099563
B136,Q,40,0.10135726671784562,-1.5094422604581923
