boundary,score_class,k_cells,chosen_score,chosen_quantile,inner_lic_minus_ref,inner_n_fire,outer_lic_minus_ref,outer_n_fire,outer_n_distinct,sel_mean_OOS_Sharpe,d_sel,n_4b_both,do_nothing_4b,rho_inner_outer,best_outer_in_class,regret_lic,best_dsel_in_class,regret_dsel
2011-12-31,OBS,12,S_OBS_MARGIN,0.9,0.039171912439266,8,0.02966978583245081,8,6,0.7962281417849161,0.003980601587749155,23,24,-0.30069930069930073,0.1838774649649858,0.154207679132535,0.01491364478607271,0.010933043198323555
2011-12-31,BAR,12,S_PBOOT_MARGIN,0.6,0.03274529662998835,29,-0.015098135704200396,29,22,0.7924228811132197,0.00017534091605275748,16,24,0.16519212219114782,0.003903132975517051,0.019001268679717447,0.0037164051033818923,0.003541064187329135
2011-12-31,ALL,24,S_OBS_MARGIN,0.9,0.039171912439266,8,0.02966978583245081,8,6,0.7962281417849161,0.003980601587749155,23,24,-0.2625959257474048,0.1838774649649858,0.154207679132535,0.01491364478607271,0.010933043198323555
2012-12-31,OBS,12,S_OBS_MARGIN,0.9,0.07880952846734385,8,0.02966978583245081,8,6,0.7962281417849161,0.003980601587749155,23,24,-0.6503496503496504,0.1838774649649858,0.154207679132535,0.01491364478607271,0.010933043198323555
2012-12-31,BAR,12,S_PBOOT_MARGIN,0.5,0.02283575878929312,36,-0.02628905537983131,36,27,0.7904014120159916,-0.001846128181175355,14,24,0.010773399273335729,0.003903132975517051,0.030192188355348364,0.0037164051033818923,0.005562533284557247
2012-12-31,ALL,24,S_OBS_MARGIN,0.9,0.07880952846734385,8,0.02966978583245081,8,6,0.7962281417849161,0.003980601587749155,23,24,-0.4292265630156916,0.1838774649649858,0.154207679132535,0.01491364478607271,0.010933043198323555
2013-12-31,OBS,12,S_OBS_MARGIN,0.5,0.023290708115352984,36,-0.04202997054048728,36,32,0.7864661832258276,-0.005781356971339302,14,24,-0.5734265734265735,0.1838774649649858,0.2259074355054731,0.01491364478607271,0.020695001757412013
2013-12-31,BAR,12,S_PBOOT_MARGIN,0.5,0.03662638261269872,36,-0.02628905537983131,36,27,0.7904014120159916,-0.001846128181175355,14,24,-0.5245910341894509,0.003903132975517051,0.030192188355348364,0.0037164051033818923,0.005562533284557247
2013-12-31,ALL,24,S_PBOOT_MARGIN,0.5,0.03662638261269872,36,-0.02628905537983131,36,27,0.7904014120159916,-0.001846128181175355,14,24,-0.6436530632103692,0.1838774649649858,0.21016652034481711,0.01491364478607271,0.016759772967248066
2014-12-31,OBS,12,S_OBS_MARGIN,0.95,0.08952526211944295,4,0.1838774649649858,4,2,0.8024205580622933,0.010173017865126366,24,24,-0.30069930069930073,0.1838774649649858,0.0,0.01491364478607271,0.004740626920946345
2014-12-31,BAR,12,S_PBOOT_TOP,0.6,0.011868040618738678,29,-0.0073500905831418144,29,21,0.7942866566274867,0.0020391164303197318,15,24,0.11313868613138688,0.003903132975517051,0.011253223558658865,0.0037164051033818923,0.0016772886730621606
2014-12-31,ALL,24,S_OBS_MARGIN,0.95,0.08952526211944295,4,0.1838774649649858,4,2,0.8024205580622933,0.010173017865126366,24,24,-0.05681818181818182,0.1838774649649858,0.0,0.01491364478607271,0.004740626920946345
