claim_set,wording,n,passes,pass_rate,moved,convicted,acquitted,feasible,leg_H1,leg_H2,leg_OOS,leg_DD,leg_CAGR
ALL,W0_SPY,72,9,0.125,0,0,0,True,24,27,27,37,41
ALL,W1_EWP_FULL,72,0,0.0,9,9,0,False,60,47,46,37,51
ALL,W2_EWP_GROSS,72,0,0.0,9,9,0,False,55,51,51,72,12
ALL,W3_EWP_BH,72,3,0.041666666666666664,12,9,3,True,54,9,9,27,43
ALL,W4_MAX_SPY_EWP,72,0,0.0,9,9,0,False,62,53,49,44,52
GATED,W0_SPY,54,9,0.16666666666666666,0,0,0,True,18,21,21,23,34
GATED,W1_EWP_FULL,54,0,0.0,9,9,0,False,45,41,40,25,45
GATED,W2_EWP_GROSS,54,0,0.0,9,9,0,False,45,45,45,54,12
GATED,W3_EWP_BH,54,1,0.018518518518518517,10,9,1,True,42,9,9,17,37
GATED,W4_MAX_SPY_EWP,54,0,0.0,9,9,0,False,45,45,41,30,45
U56,W0_SPY,24,6,0.25,0,0,0,True,0,0,0,8,10
U56,W1_EWP_FULL,24,0,0.0,6,6,0,False,14,10,10,13,15
U56,W2_EWP_GROSS,24,0,0.0,6,6,0,False,9,12,12,24,0
U56,W3_EWP_BH,24,0,0.0,6,6,0,False,24,0,0,2,19
U56,W4_MAX_SPY_EWP,24,0,0.0,6,6,0,False,14,10,10,13,15
SHELF,W0_SPY,9,9,1.0,0,0,0,True,0,0,0,0,0
SHELF,W1_EWP_FULL,9,0,0.0,9,9,0,False,6,6,5,6,8
SHELF,W2_EWP_GROSS,9,0,0.0,9,9,0,False,6,7,7,9,0
SHELF,W3_EWP_BH,9,0,0.0,9,9,0,False,9,1,1,1,9
SHELF,W4_MAX_SPY_EWP,9,0,0.0,9,9,0,False,6,6,5,6,8
