panel,gate,value,pass_
U56,G1 eager runner == engine.backtest (returns),1.3877787807814457e-17,True
U56,G1b eager runner == engine.backtest (turnover),1.0685896612017132e-15,True
U56,G2 max total weight (no leverage),1.000000000000001,True
U56,G4 derived 25 bps == fresh engine 25 bps,1.3877787807814457e-17,True
U56,G5 NOSLEEVE == baseline.rules_v2_weights,0.0,True
U56,G6 years of sample,17.650793650793652,True
B136,G1 eager runner == engine.backtest (returns),2.0816681711721685e-17,True
B136,G1b eager runner == engine.backtest (turnover),1.824929096727601e-15,True
B136,G2 max total weight (no leverage),1.0000000000000007,True
B136,G4 derived 25 bps == fresh engine 25 bps,2.0816681711721685e-17,True
B136,G5 NOSLEEVE == baseline.rules_v2_weights,0.0,True
B136,G6 years of sample,17.650793650793652,True
