panel,rows,n_unres,eta2_lad,eta2_stat,sst,margin_x,rel_eta2_lad,rel_eta2_stat,concord_within_ladder,concord_within_stat,lad_wins_binary,degenerate
U56,4200,9.0,0.8095238095238095,0.047619047619047616,3.9375,17.0,0.6594586641299236,0.09624815668096277,0.875,0.37499999999999994,True,False
B136,4198,10.0,0.7333333333333333,0.06666666666666667,3.75,11.0,0.9737546139155834,0.006671130452149378,0.8333333333333333,0.41666666666666663,True,False
SMALL,3938,7.0,0.30158730158730157,0.047619047619047616,3.9375,6.333333333333333,0.3019856190660908,0.19476232907540642,0.5416666666666666,0.37499999999999994,True,False
