family,cost,arms,keep4b_full,keep4b_oos,keep4a,keep4a_oos,keep4b
BAND_v2,0,12,0,0,5,6,0
BAND_v2,10,12,0,0,0,0,0
BAND_v2,25,12,0,0,0,0,0
BAND_v2,50,12,0,0,0,0,0
CAD_v1,0,12,1,1,0,0,1
CAD_v1,10,12,0,0,0,0,0
CAD_v1,25,12,0,0,0,0,0
CAD_v1,50,12,0,0,0,0,0
CAD_v2,0,12,0,0,6,6,0
CAD_v2,10,12,0,0,0,2,0
CAD_v2,25,12,0,0,0,0,0
CAD_v2,50,12,0,0,0,0,0
GROSS_v2,0,12,2,2,9,9,2
GROSS_v2,10,12,2,1,0,6,1
GROSS_v2,25,12,1,1,0,0,1
GROSS_v2,50,12,0,1,0,0,0
N_v1,0,15,1,1,0,0,1
N_v1,10,15,0,0,0,0,0
N_v1,25,15,0,0,0,0,0
N_v1,50,15,0,0,0,0,0
VOLSC_v1,0,6,0,0,0,0,0
VOLSC_v1,10,6,0,0,0,0,0
VOLSC_v1,25,6,0,0,0,0,0
VOLSC_v1,50,6,0,0,0,0,0
