knob,output_set,n,n_obs,n_bar,cell1,cell2,cell3,LINE_IS_WHOLE_STORY,LINE_PREDICTS_SIDE,max_bar_ratio,min_bar_ratio
K_SEED,OS_CORE,7,1,6,1,6,0,False,True,1.0,1.0
K_SEED,OS_WIDE,14,1,13,3,11,0,False,False,1.0,1.0
K_SEED,OS_ALL,18,5,13,7,11,0,False,False,1.0,1.0
K_B,OS_CORE,7,1,6,1,6,0,False,True,0.7165831244778615,0.620444891802791
K_B,OS_WIDE,14,1,13,3,11,0,False,False,0.7777777777777778,0.6
K_B,OS_ALL,18,5,13,7,11,0,False,False,0.7777777777777778,0.6
K_DRAWKIND,OS_CORE,7,1,6,1,2,4,False,True,3.2004108265358693,1.5262442535086356
K_DRAWKIND,OS_WIDE,14,1,13,2,4,8,False,False,3.8411149972300884,1.5262442535086356
K_DRAWKIND,OS_ALL,18,5,13,6,4,8,False,False,3.8411149972300884,1.5262442535086356
K_RECENTRE,OS_CORE,7,1,6,1,1,5,False,True,30.399228756068357,4.3151613893252054e-16
K_RECENTRE,OS_WIDE,14,1,13,1,2,11,False,True,30.399228756068357,4.3151613893252054e-16
K_RECENTRE,OS_ALL,18,5,13,5,2,11,False,True,30.399228756068357,4.3151613893252054e-16
