panel,book,cost,arm,CAGR,Sharpe,MaxDD,H1,H2,full_4a_v2,full_4b,full_fail4b,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,oos_window_4b,oos_window_fail
broad,EWall,10.0,vol60-dg,0.12359420654058484,1.1381201336577496,-0.18696236312424186,1.2550969789577595,1.0269842529994457,False,True,-,0.12011126700793429,1.1224553129457142,-0.18696236312424186,True,-
broad,EWall,10.0,band3-rw,0.11734120862469899,1.06900647415774,-0.18528570357900864,1.1722149107973217,0.9791459258042249,False,True,-,0.12014792469678315,1.0759636446032401,-0.18528570357900875,True,-
broad,EWall,10.0,band3-dg,0.0803031894255104,1.1057901818007876,-0.12240793860208032,1.229067725847855,0.9843850631086558,False,False,CAGR,0.07983337481604336,1.1185082795688426,-0.12240793860208021,False,CAGR
broad,EWall,10.0,control,0.14157411947237497,1.1219549467170122,-0.2537106610635025,1.2311809584625346,1.0240240275629424,False,False,DD,0.13933574083806333,1.1022031339130582,-0.2537106610635026,False,DD
broad,EWall,25.0,vol60-dg,0.12130922960363022,1.1191160964632159,-0.18709252316824732,1.2377017236737897,1.0064365016081922,False,True,-,0.11769385576362001,1.1020383628219215,-0.18709252316824732,True,-
broad,EWall,25.0,band3-dg,0.07704992234239327,1.0639810341503695,-0.12284879701088991,1.1905864581466725,0.9393033946163348,False,False,CAGR,0.07643420182382155,1.0740236940215924,-0.12284879701089035,False,CAGR
broad,EWall,25.0,control,0.1400924235152614,1.1115111687130292,-0.25391347869315684,1.2210337678029726,1.0132839604042891,False,False,DD,0.13778891144087635,1.0913501695849346,-0.25391347869315706,False,DD
broad,R10,10.0,band3-dg,0.17492274663697915,0.9870939889525181,-0.24145518175623026,1.2736148026535787,0.7879185217763469,False,False,"H2,OOS,DD",0.16160021580620754,0.8568666190508228,-0.24145518175623015,False,"H1,OOS,DD"
broad,R10,10.0,control,0.17512780678851825,0.9791249135486445,-0.26014890056084927,1.2613137694363956,0.785535881472006,False,False,"H2,OOS,DD",0.1628288660061299,0.8534425957437469,-0.26014890056084927,False,"H1,OOS,DD"
broad,R10,10.0,ebud-0.20,0.17136762860466415,0.9770759350473284,-0.26014890056084927,1.2742478073386136,0.7746718534329259,False,False,"H2,OOS,DD",0.15805051114787916,0.8437926973351016,-0.26014890056084927,False,"H1,OOS,DD"
broad,R10,10.0,ddctl-8/.5/high,0.11114315939263464,0.8589412293991672,-0.16895241130906735,1.1166571677052268,0.651872649256042,False,False,"H2,OOS",0.10434493166127545,0.7629897961181844,-0.16895241130906746,False,"H1,H2,OOS,CAGR"
broad,R10,25.0,ebud-0.10,0.12535691710471153,0.8370917715604024,-0.24263441382584328,1.1261715487557005,0.6560164376341999,False,False,"H2,OOS,DD",0.11648785404691053,0.7167324408802775,-0.2426344138258434,False,"H1,H2,OOS,DD"
broad,R10,25.0,control,0.1475350792479997,0.848377537329943,-0.2611332714434831,1.1100704145827425,0.6676903253607106,False,False,"H2,OOS,DD",0.13518549597567442,0.7334538148772907,-0.2611332714434833,False,"H1,H2,OOS,DD"
broad,R10,25.0,ebud-0.20,0.14554142494296074,0.851994543010085,-0.26459747396366984,1.127470274831893,0.6633354479553266,False,False,"H2,OOS,DD",0.13239807319082053,0.7301557221161135,-0.26459747396366884,False,"H1,H2,OOS,DD"
broad,R10,25.0,ddctl-8/.5/recover,0.10038590650619916,0.7605597116704605,-0.18548657983398842,1.0121554835118618,0.5671657301529566,False,False,"H2,OOS,CAGR",0.09327865372010447,0.6664626321104747,-0.18548657983398853,False,"H1,H2,OOS,CAGR"
broad,R10,25.0,band3-dg,0.14754782872412942,0.8558860530490358,-0.24442587356829137,1.123528456210939,0.6686527045297044,False,False,"H2,OOS,DD",0.1340428991192384,0.7354708819201988,-0.24442587356829115,False,"H1,H2,OOS,DD"
broad,R20,10.0,ebud-0.10,0.13109579172129493,0.9672442730359546,-0.22888281703304925,1.231084185079899,0.7681275318817578,False,False,"H2,OOS,DD",0.12228211061770566,0.8535342288080167,-0.2288828170330488,False,"H1,H2,OOS,DD"
broad,R20,10.0,g200-rw,0.1466309996034283,0.9906760628694204,-0.24003217139106858,1.1922123488493965,0.8366139294283449,False,False,DD,0.14302056202458124,0.9159129654787671,-0.24003217139106858,False,"H1,DD"
broad,R20,25.0,ebud-0.10,0.114206466055917,0.8574289131192526,-0.23016855578352668,1.107588624901401,0.6679064838081009,False,False,"H2,OOS,DD",0.10539299399804758,0.7510865702437203,-0.23016855578352646,False,"H1,H2,OOS,DD,CAGR"
broad,R20,25.0,g200-rw,0.12424823126699658,0.858423575100215,-0.2415272961150422,1.0502222217254458,0.7109980051270524,False,False,"H2,OOS,DD",0.12006954898016953,0.7888497116196522,-0.2415272961150421,False,"H1,H2,OOS,DD"
broad,R40,10.0,ebud-0.10,0.1385456865457706,1.087652098775314,-0.2217811487129544,1.2139384171313774,0.9827560344268302,False,False,DD,0.1408506065341104,1.0673453091070997,-0.2217811487129545,False,DD
broad,R40,10.0,ddctl-8/.5/high,0.08618996213160668,0.8631853419484414,-0.1812680728182975,0.9544665285046329,0.7783983470904998,False,False,"H1,H2,CAGR",0.0926035306680777,0.9075007320727242,-0.1812680728182977,False,CAGR
broad,R40,10.0,band3-dg,0.1313797806348842,1.0555276896714738,-0.20505785763670548,1.1981984719659886,0.9347149424396647,False,False,DD,0.1317577573420481,1.0254861315789927,-0.2050578576367056,False,DD
