instance,arm_col,conv,n_cells,n_arms,ladder,conc,corner_share,ctl,ch_mean,ch_hit,ch_skew,ch_sd,CONTROL_q,CONTROL_mean,CONTROL_hit,MEDIAN_arm,MEDIAN_mean,MEDIAN_hit,MEDIAN_q,LADMIN_arm,LADMIN_mean,LADMIN_hit,LADMIN_q,LADMAX_arm,LADMAX_mean,LADMAX_hit,LADMAX_q,n_DIVERGE,n_REVERSE,n_DOMINATE,n_LOSE,n_IDENTICAL,besthit_arm,besthit_mean,besthit_hit,q_besthit,n_alt_splits,alt,CONTROL_arm
2026-09-06_audit-gross-normalisation-across-the-book_cloud.walkforward.csv,panel,POOLMEAN,12,7,STK20|ETF24|ETF36|U56|BSTK100|B136|SMALL480,0.5,0.6666666666666666,None,0.349226102197062,0.6666666666666666,-0.5367091319143557,0.3018929910602433,,,,U56,0.2782703853265526,1.0,DIVERGE,STK20,0.5128307860353766,1.0,LOSE,SMALL480,-0.5348536274373281,0.0,DOMINATE,1,0,5,1,0,STK20,0.5128307860353766,1.0,LOSE,2,True,
2026-09-06_back-fill-the-breakeven-column-arithmetically_cloud.keep.csv,panel,POOLMEAN,168,3,U56|B136|SMALL439,0.7203089569160999,0.16666666666666666,None,0.10940564332762337,0.9761904761904762,1.2778692967778145,0.09716600162746336,,,,B136,0.0759384542567784,0.8928571428571429,DOMINATE,U56,0.3018264465167696,1.0,LOSE,SMALL439,-0.3777649007735481,0.0,DOMINATE,0,0,2,1,0,U56,0.3018264465167696,1.0,LOSE,3,False,
2026-09-06_back-fill-the-breakeven-column-arithmetically_cloud.keep.csv,cost_bps,POOLMEAN,72,7,0|1|2|5|10|15|25,1.0,1.0,None,0.08289702268003146,1.0,1.1033569908474894,0.05859790532659652,,,,5,0.03290843065219952,1.0,DOMINATE,0,0.08289702268003146,1.0,IDENTICAL,25,-0.16732378662471536,0.0,DOMINATE,0,0,6,0,1,0,0.08289702268003146,1.0,IDENTICAL,3,True,
2026-09-06_back-fill-the-zero-bps-rung-under-every-gross-matched-arm-difference_cloud.grid.csv,panel,POOLMEAN,48,3,U56|B136|SMALL439,0.625,0.25,None,0.18193247514786148,1.0,0.3962726753790625,0.10762198185134604,,,,B136,0.12701080066813242,0.9375,DOMINATE,U56,0.30167681294331306,1.0,LOSE,SMALL439,-0.4286876136114454,0.0,DOMINATE,0,0,2,1,0,U56,0.30167681294331306,1.0,LOSE,3,False,
2026-09-06_back-fill-the-zero-bps-rung-under-every-gross-matched-arm-difference_cloud.grid.csv,cost,POOLMEAN,48,3,0|10|25,1.0,1.0,None,0.1164727260922711,1.0,2.0689066997819903,0.06766292682918856,,,,10,0.016665281692369843,1.0,DOMINATE,0,0.1164727260922711,1.0,IDENTICAL,25,-0.13313800778464094,0.0,DOMINATE,0,0,2,0,1,0,0.1164727260922711,1.0,IDENTICAL,3,True,
2026-09-06_do-the-18-majority-reversing-files-have-reversing-HEADLINES_cloud.walkforward.csv,panel,POOLMEAN,20,4,B136|BSTK100|SMALL|U56,0.58,0.7,None,0.047019970574948215,0.8,0.2464941573681788,0.07793277968628119,,,,SMALL,-0.29583963757382226,0.0,DOMINATE,B136,0.060372668414605576,0.9,LOSE,U56,0.19012301727832598,0.8,LOSE,0,0,2,2,0,B136,0.060372668414605576,0.9,LOSE,1,False,
2026-09-06_does-any-dial-argmax-move-with-cost_C.grid.csv,panel,POOLMEAN,217,3,U56|B136|SMALL484,0.7232474675614263,0.16589861751152074,None,0.09753864606225268,0.9400921658986175,1.8031961363159188,0.11633966742100361,,,,B136,0.044090726708210924,0.8755760368663594,DOMINATE,U56,0.32327626001337334,1.0,LOSE,SMALL484,-0.3673669867215843,0.0,DOMINATE,0,0,2,1,0,U56,0.32327626001337334,1.0,LOSE,3,False,
2026-09-06_does-any-dial-argmax-move-with-cost_C.grid.csv,bps,POOLMEAN,95,7,0|5|10|15|20|25|30,1.0,1.0,None,0.1399584624466742,1.0,0.5391841929338522,0.05641552554524922,,,,15,3.822859049426045e-05,0.8105263157894737,DOMINATE,0,0.1399584624466742,1.0,IDENTICAL,30,-0.14005405538955876,0.0,DOMINATE,0,0,6,0,1,0,0.1399584624466742,1.0,IDENTICAL,3,True,
2026-09-06_does-every-regime-conditional-dial-lose-its-own-regime_C.grid.csv,book,POOLMEAN,198,3,EWall|TOP20|V1u,0.6033057851239669,0.7272727272727273,None,0.2042020193653308,0.898989898989899,0.09332863037449644,0.14961963254574673,,,,TOP20,0.1338847823733604,1.0,DIVERGE,EWall,0.2071277661791533,0.8484848484848485,REVERSE,V1u,-0.34101254855251373,0.010101010101010102,DOMINATE,1,1,1,0,0,TOP20,0.1338847823733604,1.0,DIVERGE,3,False,
2026-09-06_does-every-regime-conditional-dial-lose-its-own-regime_C.grid.csv,instr,POOLMEAN,72,8,band3-dg|ddctl8|abs12-dg|stop15|stop25|gross50|vol60-dg|g200-dg,0.1535493827160494,0.2777777777777778,None,0.012753064628372689,0.6111111111111112,0.6827764747992086,0.03871490126866383,,,,stop25,-0.0034163529936002833,0.5833333333333334,DOMINATE,band3-dg,0.014167668467733006,0.7083333333333334,LOSE,g200-dg,0.016182868015510592,0.7222222222222222,LOSE,1,0,4,3,0,g200-dg,0.016182868015510592,0.7222222222222222,LOSE,3,True,
2026-09-06_does-every-regime-conditional-dial-lose-its-own-regime_C.grid.csv,panel,POOLMEAN,54,3,broad|small|u56,0.4958847736625514,0.9814814814814815,None,0.11196827355584232,0.6851851851851852,-0.482946985876445,0.13744029954047043,,,,small,-0.20555671758022795,0.037037037037037035,DOMINATE,broad,0.015912788188016485,0.37037037037037035,DOMINATE,u56,0.18964392939221145,1.0,LOSE,0,0,2,1,0,u56,0.18964392939221145,1.0,LOSE,3,True,
2026-09-06_does-the-12-1-plus-scaler-book-survive-a-second-panel_cloud.grid.csv,panel,POOLMEAN,144,3,U56|B136|SMALL439,1.0,0.0,None,0.12287719464819885,1.0,0.4265814612699011,0.063956554940083,,,,B136,0.12287719464819885,1.0,IDENTICAL,U56,0.22890458472171346,1.0,LOSE,SMALL439,-0.3517817793699123,0.0,DOMINATE,0,0,1,1,1,U56,0.22890458472171346,1.0,LOSE,3,False,
2026-09-06_does-the-12-1-plus-scaler-book-survive-a-second-panel_cloud.grid.csv,cad,POOLMEAN,144,3,D|M|W,0.654320987654321,0.2222222222222222,None,0.07008262098082671,0.7708333333333334,0.049917894167146884,0.10100650551038189,,,,M,0.07192871073148632,0.7569444444444444,REVERSE,D,-0.10325969902894706,0.2361111111111111,DOMINATE,W,0.031330988297460755,0.7291666666666666,DOMINATE,0,1,2,0,0,M,0.07192871073148632,0.7569444444444444,REVERSE,3,True,
2026-09-06_does-the-12-1-plus-scaler-book-survive-a-second-panel_cloud.grid.csv,cost,POOLMEAN,144,3,0|10|25,1.0,1.0,None,0.13671114385433014,1.0,0.5409205864148066,0.08892933769220696,,,,10,0.019562897689425936,1.0,DOMINATE,0,0.13671114385433014,1.0,IDENTICAL,25,-0.1562740415437561,0.0,DOMINATE,0,0,2,0,1,0,0.13671114385433014,1.0,IDENTICAL,3,True,
