corpus,cost_bps,rows,pass4a,pass4b,fixed_rows,fixed4a,fixed4b
A,5,1908,1215,396,180,51,55
A,10,1908,1507,250,180,74,36
A,15,1908,1637,146,180,83,29
A,20,1908,1698,84,180,91,19
A,25,1908,1745,47,180,101,14
B,5,4140,953,359,108,22,25
B,10,4140,1214,256,108,23,20
B,15,4140,1464,198,108,22,19
B,20,4140,1675,134,108,28,17
B,25,4140,1942,98,108,36,13
